# scorer=cert K=3 N=300 M=1245 seed=1 r=0.9 theta=0 veto=0 lookahead_k=4 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed
0,dec,300,1245,2.666799837,0.00888933279,64,0,1,0
1,back,299,1241,2.666956964,0.008889856546,0,0,1,1
2,dec,300,1245,2.667308966,0.008891029887,0,0,1,0
3,back,299,1241,2.667039213,0.008890130709,0,0,1,1
4,dec,300,1245,2.666744252,0.008889147507,0,0,1,0
5,back,299,1241,2.667167276,0.008890557586,0,0,1,1
6,dec,300,1245,2.667350728,0.008891169094,0,0,1,0
7,back,299,1241,2.666811258,0.008889370861,0,0,1,1
8,dec,300,1245,2.66680323,0.0088893441,0,0,1,0
9,back,299,1241,2.667348918,0.008891163059,0,0,1,1
10,dec,300,1245,2.667223922,0.008890746406,0,0,1,0
11,back,299,1241,2.666783443,0.008889278143,0,0,1,1
12,dec,300,1245,2.666972852,0.008889909507,0,0,1,0
13,back,299,1241,2.667274077,0.00889091359,0,0,1,1
14,dec,300,1245,2.667078769,0.008890262563,0,0,1,0
15,back,299,1241,2.66689485,0.008889649499,0,0,1,1
16,dec,300,1245,2.66705577,0.0088901859,0,0,1,0
17,dec,299,1241,2.667156944,0.008890523148,0,0,1,1
18,back,298,1232,2.662580348,0.008875267826,2,0,0.9954978818,2
19,dec,299,1241,2.667056403,0.008890188011,2,0,0.9954978818,1
20,back,298,1232,2.662546965,0.008875156551,2,0,0.9954978818,2
21,dec,299,1241,2.667021886,0.008890072954,2,0,0.9954978818,1
22,back,298,1232,2.662554086,0.008875180286,2,0,0.9954978818,2
23,dec,299,1241,2.667056378,0.008890187928,2,0,0.9954978818,1
24,back,298,1232,2.662553727,0.00887517909,2,0,0.9954978818,2
25,dec,299,1241,2.667042352,0.008890141174,2,0,0.9954978818,1
26,back,298,1232,2.662551955,0.008875173183,2,0,0.9954978818,2
27,dec,299,1241,2.667040201,0.008890134004,2,0,0.9954978818,1
28,back,298,1232,2.662548519,0.00887516173,2,0,0.9954978818,2
29,dec,299,1241,2.667041008,0.008890136693,2,0,0.9954978818,1
30,back,298,1232,2.662548938,0.008875163128,2,0,0.9954978818,2
31,dec,299,1241,2.667041638,0.008890138792,2,0,0.9954978818,1
32,back,298,1232,2.662551,0.008875169999,2,0,0.9954978818,2
33,dec,299,1241,2.667042714,0.00889014238,2,0,0.9954978818,1
34,back,298,1232,2.66255024,0.008875167466,2,0,0.9954978818,2
35,dec,299,1241,2.667041738,0.008890139125,2,0,0.9954978818,1
36,dec,298,1232,2.662549935,0.008875166448,2,0,0.9954978818,2
37,back,297,1222,2.655248681,0.008850828935,2,0,0.9927723062,3
38,dec,298,1232,2.662557342,0.00887519114,2,0,0.9927723062,2
39,back,297,1222,2.65529986,0.008850999535,2,0,0.9926994207,3
40,dec,298,1232,2.662621722,0.008875405741,2,0,0.9926994207,2
41,back,297,1222,2.655345084,0.008851150279,2,0,0.9926994207,3
42,dec,298,1232,2.662610843,0.008875369477,2,0,0.9926994207,2
43,back,297,1222,2.65529877,0.008850995899,2,0,0.9926994207,3
44,dec,298,1232,2.662565413,0.008875218045,2,0,0.9926994207,2
45,back,297,1222,2.655269147,0.008850897157,2,0,0.9926994207,3
46,dec,298,1232,2.662565491,0.008875218303,2,0,0.9926994207,2
47,back,297,1222,2.655282806,0.008850942685,2,0,0.9926994207,3
48,dec,298,1232,2.662581553,0.008875271843,2,0,0.9926994207,2
49,back,297,1222,2.655292167,0.008850973889,2,0,0.9926994207,3
50,dec,298,1232,2.662583411,0.008875278036,2,0,0.9926994207,2
51,back,297,1222,2.655289628,0.008850965427,2,0,0.9926994207,3
52,dec,298,1232,2.662580571,0.00887526857,2,0,0.9926994207,2
53,back,297,1222,2.655288328,0.008850961093,2,0,0.9926994207,3
54,dec,298,1232,2.662578749,0.008875262496,2,0,0.9926994207,2
55,dec,297,1222,2.655285531,0.00885095177,2,0,0.9926994207,3
56,back,296,1219,2.647976802,0.008826589341,2,0,0.9926628137,4
57,dec,297,1222,2.655196869,0.008850656231,2,0,0.9926628137,3
58,back,296,1219,2.647896517,0.008826321725,2,0,0.9926628137,4
59,dec,297,1229,2.655236974,0.008850789914,2,0,0.9926628137,3
60,back,296,1219,2.648063384,0.008826877946,2,0,0.9926628137,4
61,dec,297,1229,2.655402393,0.00885134131,2,0,0.9926628137,3
62,back,296,1219,2.648111605,0.008827038684,2,0,0.9926628137,4
63,dec,297,1229,2.655311932,0.008851039774,2,0,0.9926628137,3
64,back,296,1219,2.64800721,0.008826690701,2,0,0.9926628137,4
65,dec,297,1229,2.655259868,0.008850866228,2,0,0.9926628137,3
66,back,296,1219,2.648000336,0.008826667787,2,0,0.9926628137,4
67,dec,297,1229,2.65527506,0.008850916865,2,0,0.9926628137,3
68,back,296,1219,2.64803318,0.008826777266,2,0,0.9926628137,4
69,dec,297,1229,2.655294684,0.008850982282,2,0,0.9926628137,3
70,back,296,1219,2.648043198,0.00882681066,2,0,0.9926628137,4
71,dec,297,1229,2.655295322,0.008850984405,2,0,0.9926628137,3
72,back,296,1219,2.648037471,0.008826791569,2,0,0.9926628137,4
73,dec,297,1229,2.655288077,0.008850960256,2,0,0.9926628137,3
74,dec,296,1219,2.648030259,0.008826767529,2,0,0.9926628137,4
75,back,295,1211,2.638069181,0.008793563936,2,0,0.9900883986,5
76,dec,296,1219,2.648003386,0.008826677955,2,0,0.9900883986,4
77,back,295,1211,2.638035765,0.008793452551,2,0,0.9900883986,5
78,dec,296,1219,2.648030996,0.008826769986,2,0,0.9900883986,4
79,back,295,1211,2.638019902,0.008793399672,2,0,0.9900571203,5
80,dec,296,1219,2.648011235,0.008826704118,2,0,0.9900571203,4
81,back,295,1211,2.638024597,0.008793415323,2,0,0.9900518474,5
82,dec,296,1219,2.648040807,0.008826802691,2,0,0.9900518474,4
83,back,295,1211,2.638055213,0.008793517378,2,0,0.990037837,5
84,dec,296,1219,2.648065361,0.008826884537,2,0,0.990037837,4
85,back,295,1211,2.638065446,0.008793551485,2,0,0.990037837,5
86,dec,296,1219,2.648066132,0.008826887106,2,0,0.990037837,4
87,back,295,1211,2.638066256,0.008793554188,2,0,0.990037837,5
88,dec,296,1219,2.648068107,0.00882689369,2,0,0.990037837,4
89,back,295,1211,2.638068172,0.008793560573,2,0,0.990037837,5
90,dec,296,1219,2.648067963,0.008826893209,2,0,0.990037837,4
91,back,295,1211,2.638066576,0.008793555255,2,0,0.990037837,5
92,dec,296,1219,2.64806615,0.008826887167,2,0,0.990037837,4
93,dec,295,1211,2.63806619,0.008793553966,2,0,0.990037837,5
94,back,294,1206,2.630909875,0.008769699582,1,0,0.990037837,6
95,dec,295,1214,2.633264868,0.008777549559,2,0,0.990037837,5
96,back,294,1206,2.630894182,0.008769647272,0,0,0.990037837,6
97,dec,295,1215,2.637180314,0.008790601046,2,0,0.990037837,5
98,back,294,1206,2.630820883,0.008769402942,2,0,0.990037837,6
99,dec,295,1211,2.638018397,0.008793394655,1,0,0.990037837,5
100,back,294,1206,2.630818699,0.008769395662,1,0,0.990037837,6
101,dec,295,1211,2.638037045,0.008793456817,1,0,0.990037837,5
102,back,294,1206,2.630828353,0.008769427845,1,0,0.990037837,6
103,dec,295,1209,2.637969241,0.008793230802,2,0,0.990037837,5
104,back,294,1206,2.630803219,0.008769344063,2,0,0.990037837,6
105,dec,295,1211,2.638011517,0.008793371725,1,0,0.990037837,5
106,back,294,1206,2.630818428,0.008769394759,1,0,0.990037837,6
107,dec,295,1211,2.638022218,0.008793407394,1,0,0.990037837,5
108,back,294,1206,2.630867648,0.008769558826,1,0,0.990037837,6
109,dec,295,1211,2.638027681,0.008793425603,1,0,0.990037837,5
110,back,294,1206,2.630838825,0.008769462751,1,0,0.990037837,6
111,dec,295,1211,2.638019991,0.008793399971,1,0,0.990037837,5
112,dec,294,1206,2.630855837,0.008769519457,1,0,0.990037837,6
113,back,293,1200,2.62057696,0.008735256534,2,0,0.9894496152,7
114,dec,294,1206,2.630871393,0.008769571312,2,0,0.9894496152,6
115,back,293,1200,2.620466512,0.008734888373,1,0,0.9894496152,7
116,dec,294,1206,2.630849987,0.008769499956,2,0,0.9894496152,6
117,back,293,1200,2.620537448,0.008735124825,2,0,0.9894496152,7
118,dec,294,1206,2.630855025,0.008769516751,2,0,0.9894496152,6
119,back,293,1200,2.620632391,0.008735441303,2,0,0.9894496152,7
120,dec,294,1206,2.630914487,0.008769714957,2,0,0.9894496152,6
121,back,293,1200,2.620628893,0.008735429643,2,0,0.9894496152,7
122,dec,294,1206,2.630895764,0.008769652546,2,0,0.9894496152,6
123,back,293,1200,2.6206214,0.008735404667,2,0,0.9894496152,7
124,dec,294,1206,2.630896908,0.008769656359,2,0,0.9894496152,6
125,back,293,1200,2.620623727,0.008735412423,2,0,0.9894496152,7
126,dec,294,1206,2.63090247,0.0087696749,2,0,0.9894496152,6
127,back,293,1200,2.620620819,0.008735402731,2,0,0.9894496152,7
128,dec,294,1206,2.630897043,0.00876965681,2,0,0.9894496152,6
129,back,293,1200,2.620617936,0.00873539312,2,0,0.9894496152,7
130,dec,294,1206,2.630898274,0.008769660913,2,0,0.9894496152,6
131,dec,293,1200,2.620621616,0.008735405386,2,0,0.9894496152,7
132,back,292,1189,2.610745457,0.008702484856,2,0,0.9894496152,8
133,dec,293,1195,2.616351136,0.008721170453,1,0,0.9894496152,7
134,back,292,1189,2.610738361,0.008702461202,1,0,0.9894496152,8
135,dec,293,1200,2.620553396,0.008735177988,2,0,0.9894496152,7
136,back,292,1189,2.610785223,0.00870261741,2,0,0.9894496152,8
137,dec,293,1200,2.620487051,0.008734956838,2,0,0.9894496152,7
138,back,292,1189,2.610762304,0.008702541014,2,0,0.9894496152,8
139,dec,293,1200,2.620562557,0.008735208522,2,0,0.9894496152,7
140,back,292,1189,2.610759077,0.008702530255,2,0,0.9894496152,8
141,dec,293,1200,2.620516552,0.008735055173,2,0,0.9894496152,7
142,back,292,1189,2.610732099,0.00870244033,2,0,0.9894496152,8
143,dec,293,1200,2.620534211,0.008735114036,2,0,0.9894496152,7
144,back,292,1189,2.610756444,0.008702521479,2,0,0.9894496152,8
145,dec,293,1200,2.620550282,0.008735167606,2,0,0.9894496152,7
146,back,292,1189,2.610754897,0.008702516322,2,0,0.9894496152,8
147,dec,293,1200,2.620540188,0.008735133959,2,0,0.9894496152,7
148,back,292,1189,2.610748271,0.008702494235,2,0,0.9894496152,8
