config	seed	status	returncode	steps	sigma_initial	sigma_final	max_drop	mean_drop	mean_abs_delta	auc_sigma	auc_per_step	eta_mean	wall_seconds
certainty	1	sat	0	1680	6.16226307	0.0	2.3153785809988956	0.003668013732142857	0.03949529713214286	7553.076203434999	4.495878692520833	4.043426531826294	0.5443132799991872
certainty	2	walksat-fail	0	2237	5.340119254	0.0	0.5841952028858473	0.0023871789244523916	0.031463935606884215	7501.59822574703	3.3534189654658157	4.14343163538874	75.4673798570002
certainty	3	sp-nonconvergence	255	2822	4.348830189	0.3712385897	0.04065518300000015	0.0014094938339121192	0.024720772043621483	7027.147207783438	2.490130123240056	4.746723343960326	0.6531347789859865
certainty	4	sat	0	802	6.097559656	0.0	4.8915790299785975	0.00760294221446384	0.03047075143391518	4579.170983782024	5.709689505962624	2.87920298879203	0.272677722008666
certainty	5	sp-nonconvergence	255	2080	5.481132405	0.5416465349	0.07582570399999966	0.002374752822163462	0.03988501797562502	6625.748610511543	3.185456062745934	5.840461316674675	0.6899278170021717
polarization	1	sat	0	1129	6.16226307	0.0	2.596707980000001	0.005458160380868025	0.050570936186005264	5281.821413311007	4.678318346599652	4.251327433628319	0.40786264100461267
polarization	2	sat	0	1670	5.340119254	0.0	1.4760581027359192	0.0031976762	0.04087304571377249	5889.395732819255	3.5265842711492543	4.674446439257929	0.6222667070105672
polarization	3	sp-nonconvergence	255	2090	4.348830189	0.4490091841	0.08776079800000014	0.0018659430645454546	0.03048112365440186	4841.356770712257	2.316438646273807	5.328072692491631	0.6612753049994353
polarization	4	sat	0	454	6.097559656	0.0	4.991237953995764	0.013430748140969163	0.042091509784141015	2600.2514732220056	5.727426152471378	3.0197802197802197	0.16955142299411818
polarization	5	sat	0	1391	5.481132405	0.0	2.0472762579998514	0.0039404258842559315	0.040756085441409046	5276.8117341095085	3.7935382703878564	4.405890804597701	0.47634796099737287
theta025	1	sat	0	1680	6.16226307	0.0	2.3153785809997416	0.003668013732142857	0.03949529713214285	7553.076203434998	4.495878692520832	4.043426531826294	0.5515104840160348
theta025	2	sat	0	2223	5.340119254	0.0	0.7079300018973584	0.002402212889788574	0.03174457601349528	7494.584332366439	3.3713829655269634	4.173561151079137	0.6993211320077535
theta025	3	sp-nonconvergence	255	2856	4.348830189	0.315810812	0.04065518300000015	0.0014121216306022411	0.02472932676911761	7037.736998992991	2.4641936270983864	4.7332866643332165	0.6602561409818009
theta025	4	sat	0	802	6.097559656	0.0	4.8915790299785975	0.00760294221446384	0.03047075143391518	4579.170983782024	5.709689505962624	2.87920298879203	0.27453058399260044
theta025	5	sp-nonconvergence	255	2080	5.481132405	0.5416465349	0.07582570399999966	0.002374752822163462	0.03988501797562502	6625.748610511543	3.185456062745934	5.840461316674675	0.705535051994957
theta050	1	sat	0	1680	6.16226307	0.0	2.3153785809997416	0.003668013732142857	0.03949529713214285	7553.076203434998	4.495878692520832	4.043426531826294	0.5751489920075983
theta050	2	sat	0	2244	5.340119254	0.0	0.6281140949381416	0.002379732287878788	0.0314602700292335	7506.8470189316895	3.3452972455132306	4.146102449888642	0.6572699729877058
theta050	3	sp-nonconvergence	255	2706	4.348830189	0.4550617347	0.04065518300000015	0.0014389388227272727	0.024856215622357705	6969.74114115774	2.575661914692439	4.510528260066494	0.6894108059932478
theta050	4	sat	0	802	6.097559656	0.0	4.8915790299785975	0.00760294221446384	0.03047075143391518	4579.170983782024	5.709689505962624	2.87920298879203	0.27048790198750794
theta050	5	sp-nonconvergence	255	2080	5.481132405	0.5416465349	0.07582570399999966	0.002374752822163462	0.03988501797562502	6625.748610511543	3.185456062745934	5.840461316674675	0.6786389400076587
theta075	1	sat	0	1680	6.16226307	0.0	2.228938476999975	0.003668013732142857	0.03954890837976186	7577.1154571009965	4.510187772083927	3.9173111243307557	0.5364462909928989
theta075	2	sat	0	2170	5.340119254	0.0	0.710075718691924	0.0024608844488479263	0.032236504502764926	7408.227896245195	3.4139299061037764	4.266236757254721	0.6482085669995286
theta075	3	sp-nonconvergence	255	2658	4.348830189	0.4349649932	0.04618489299999995	0.0014724850247554552	0.02528420055417605	6898.2484425314815	2.5952778188606027	4.649492290334712	0.6692482469952665
theta075	4	sat	0	802	6.097559656	0.0	4.8915790299786	0.00760294221446384	0.030381467568578513	4579.208530809025	5.70973632270452	2.86425902864259	0.27649759899941273
theta075	5	sp-nonconvergence	255	2187	5.481132405	0.5027615246	0.07582570399999966	0.0022763469960676726	0.04075747121499773	6756.860729764594	3.089556803733239	6.396252285191956	0.7542945739987772
