# scorer=gamma:0.1 K=3 N=300 M=1200 seed=1 r=0.9 theta=0 veto=0 lookahead_k=0 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed
0,dec,300,1200,6.16226307,0.0205408769,44,0,1,0
1,back,299,1192,6.151087199,0.020503624,3,0,0.9667061495,1
2,dec,300,1200,6.161672162,0.02053890721,3,0,0.9667061495,0
3,back,299,1192,6.139264509,0.02046421503,2,0,0.9664836137,1
4,dec,300,1200,6.161487375,0.02053829125,2,0,0.9664836137,0
5,back,299,1192,6.139021765,0.02046340588,2,0,0.9664836137,1
6,dec,300,1200,6.161415232,0.02053805077,2,0,0.9664836137,0
7,back,299,1192,6.138949058,0.02046316353,2,0,0.9664836137,1
8,dec,300,1200,6.161392448,0.02053797483,2,0,0.9664836137,0
9,back,299,1192,6.138923134,0.02046307711,2,0,0.9664836137,1
10,dec,300,1200,6.161394299,0.020537981,2,0,0.9664836137,0
11,back,299,1192,6.138915025,0.02046305008,2,0,0.9664836137,1
12,dec,300,1200,6.161394846,0.02053798282,2,0,0.9664836137,0
13,back,299,1192,6.138911445,0.02046303815,2,0,0.9664836137,1
14,dec,300,1200,6.161397403,0.02053799134,2,0,0.9664836137,0
15,back,299,1192,6.138909936,0.02046303312,2,0,0.9664836137,1
16,dec,300,1200,6.161398739,0.0205379958,2,0,0.9664836137,0
17,dec,299,1192,6.138909073,0.02046303024,2,0,0.9664836137,1
18,back,298,1184,6.128225908,0.02042741969,3,0,0.9661320567,2
19,dec,299,1192,6.13903745,0.02046345817,3,0,0.9661320567,1
20,back,298,1184,6.128178955,0.02042726318,3,0,0.9661320567,2
21,dec,299,1192,6.139018854,0.02046339618,3,0,0.9661320567,1
22,back,298,1184,6.128160457,0.02042720152,3,0,0.9660836262,2
23,dec,299,1192,6.139011169,0.02046337056,3,0,0.9660836262,1
24,back,298,1184,6.128156316,0.02042718772,3,0,0.9660743053,2
25,dec,299,1192,6.139009862,0.02046336621,3,0,0.9660743053,1
26,back,298,1184,6.12815513,0.02042718377,3,0,0.9660662856,2
27,dec,299,1192,6.139009779,0.02046336593,3,0,0.9660662856,1
28,back,298,1184,6.128155006,0.02042718335,3,0,0.9660647836,2
29,dec,299,1192,6.139009902,0.02046336634,3,0,0.9660647836,1
30,back,298,1184,6.128154954,0.02042718318,3,0,0.9660636528,2
31,dec,299,1192,6.139009962,0.02046336654,3,0,0.9660636528,1
32,back,298,1184,6.128154931,0.0204271831,3,0,0.9660632067,2
33,dec,299,1192,6.139009986,0.02046336662,3,0,0.9660632067,1
34,back,298,1184,6.128154918,0.02042718306,3,0,0.9660629674,2
35,dec,299,1192,6.139009999,0.02046336666,3,0,0.9660629674,1
36,dec,298,1184,6.128154912,0.02042718304,3,0,0.9660628511,2
37,back,297,1174,6.113254477,0.02037751492,3,0,0.9632402548,3
38,dec,298,1184,6.128179252,0.02042726417,3,0,0.9632402548,2
39,back,297,1174,6.113293649,0.0203776455,3,0,0.9632402548,3
40,dec,298,1184,6.128209729,0.02042736576,3,0,0.9632402548,2
41,back,297,1174,6.113302843,0.02037767614,3,0,0.9632402548,3
42,dec,298,1184,6.128215022,0.02042738341,3,0,0.9632402548,2
43,back,297,1174,6.113303284,0.02037767761,3,0,0.9632402548,3
44,dec,298,1184,6.128215755,0.02042738585,3,0,0.9632402548,2
45,back,297,1174,6.113302926,0.02037767642,3,0,0.9632402548,3
46,dec,298,1184,6.128215804,0.02042738601,3,0,0.9632402548,2
47,back,297,1174,6.11330276,0.02037767587,3,0,0.9632402548,3
48,dec,298,1184,6.128215884,0.02042738628,3,0,0.9632402548,2
49,back,297,1174,6.113302677,0.02037767559,3,0,0.9632402548,3
50,dec,298,1184,6.128215919,0.0204273864,3,0,0.9632402548,2
51,back,297,1174,6.113302639,0.02037767546,3,0,0.9632402548,3
52,dec,298,1184,6.128215937,0.02042738646,3,0,0.9632402548,2
53,back,297,1174,6.113302622,0.02037767541,3,0,0.9632402548,3
54,dec,298,1184,6.128215946,0.02042738649,3,0,0.9632402548,2
55,dec,297,1174,6.113302614,0.02037767538,3,0,0.9632402548,3
56,back,296,1162,6.087227986,0.02029075995,2,0,0.963153673,4
57,dec,297,1174,6.113558987,0.02037852996,2,0,0.963153673,3
58,back,296,1162,6.087514062,0.02029171354,2,0,0.963012251,4
59,dec,297,1174,6.113224955,0.02037741652,3,0,0.963012251,3
60,back,296,1162,6.087032026,0.02029010675,3,0,0.962797678,4
61,dec,297,1174,6.113567114,0.02037855705,2,0,0.962797678,3
62,back,296,1162,6.087054682,0.02029018227,3,0,0.962797678,4
63,dec,297,1174,6.113158265,0.02037719422,3,0,0.962797678,3
64,back,296,1162,6.087435588,0.02029145196,2,0,0.9627140558,4
65,dec,297,1174,6.113225176,0.02037741725,3,0,0.9627140558,3
66,back,296,1162,6.086986613,0.02028995538,3,0,0.9627140558,4
67,dec,297,1174,6.113592994,0.02037864331,2,0,0.9627140558,3
68,back,296,1162,6.087055183,0.02029018394,3,0,0.9627140558,4
69,dec,297,1174,6.113156193,0.02037718731,3,0,0.9627140558,3
70,back,296,1162,6.087437544,0.02029145848,2,0,0.9627140558,4
71,dec,297,1174,6.113227232,0.02037742411,3,0,0.9627140558,3
72,back,296,1162,6.086985304,0.02028995101,3,0,0.9627140558,4
73,dec,297,1174,6.113594795,0.02037864932,2,0,0.9627140558,3
74,dec,296,1162,6.087054979,0.02029018326,3,0,0.9627140558,4
75,back,295,1148,6.056095249,0.02018698416,2,0,0.9627140558,5
76,dec,296,1160,6.066595973,0.02022198658,1,0,0.9627140558,4
77,back,295,1148,6.056052029,0.0201868401,2,0,0.9627140558,5
78,dec,296,1158,6.070309457,0.02023436486,3,0,0.9627140558,4
79,back,295,1148,6.055999685,0.02018666562,3,0,0.9627140558,5
80,dec,296,1162,6.087052795,0.02029017598,2,0,0.9627140558,4
81,back,295,1148,6.056086531,0.0201869551,3,0,0.9627140558,5
82,dec,296,1162,6.08690254,0.02028967513,2,0,0.9627140558,4
83,back,295,1148,6.055974655,0.02018658218,3,0,0.9627140558,5
84,dec,296,1162,6.086832043,0.02028944014,2,0,0.9627140558,4
85,back,295,1148,6.055969796,0.02018656599,3,0,0.9627140558,5
86,dec,296,1162,6.086855906,0.02028951969,2,0,0.9627140558,4
87,back,295,1148,6.055974103,0.02018658034,3,0,0.9627140558,5
88,dec,296,1162,6.086859036,0.02028953012,2,0,0.9627140558,4
89,back,295,1148,6.055975304,0.02018658435,3,0,0.9627140558,5
90,dec,296,1162,6.086859553,0.02028953184,2,0,0.9627140558,4
91,back,295,1148,6.055974898,0.02018658299,3,0,0.9627140558,5
