# scorer=pol K=3 N=300 M=1245 seed=2 r=0.9 theta=0 veto=0 lookahead_k=0 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed
0,dec,300,1245,1.929637424,0.006432124747,73,0,1,0
1,back,299,1232,1.926008995,0.006420029985,0,0,0.9910464509,1
2,dec,300,1245,1.929360276,0.006431200919,0,0,0.9910464509,0
3,back,299,1232,1.926099264,0.006420330879,0,0,0.9909925679,1
4,dec,300,1245,1.929306933,0.006431023109,0,0,0.9909925679,0
5,back,299,1232,1.926171443,0.006420571478,0,0,0.9909925679,1
6,dec,300,1245,1.929391137,0.00643130379,0,0,0.9909925679,0
7,back,299,1232,1.925984072,0.006419946906,0,0,0.9909925679,1
8,dec,300,1245,1.929365971,0.006431219902,0,0,0.9909925679,0
9,back,299,1232,1.926017784,0.006420059279,0,0,0.9909925679,1
10,dec,300,1245,1.929380865,0.006431269549,0,0,0.9909925679,0
11,back,299,1232,1.92597904,0.006419930135,0,0,0.9909925679,1
12,dec,300,1245,1.929390446,0.006431301488,0,0,0.9909925679,0
13,back,299,1232,1.926005317,0.006420017725,0,0,0.9909925679,1
14,dec,300,1245,1.929390383,0.006431301275,0,0,0.9909925679,0
15,back,299,1232,1.926031923,0.006420106409,0,0,0.9909925679,1
16,dec,300,1245,1.929396528,0.00643132176,0,0,0.9909925679,0
17,dec,299,1232,1.926012497,0.006420041657,0,0,0.9909925679,1
18,back,298,1222,1.922092976,0.006406976587,0,0,0.9877527374,2
19,dec,299,1232,1.92601431,0.006420047701,0,0,0.9877527374,1
20,back,298,1222,1.922065484,0.006406884948,0,0,0.9877527374,2
21,dec,299,1232,1.926017539,0.006420058462,0,0,0.9877527374,1
22,back,298,1222,1.922087397,0.00640695799,0,0,0.9877527374,2
23,dec,299,1232,1.926020846,0.006420069488,0,0,0.9877527374,1
24,back,298,1222,1.922074886,0.006406916286,0,0,0.9877527374,2
25,dec,299,1232,1.926029801,0.006420099338,1,0,0.9877527374,1
26,back,298,1222,1.922068454,0.006406894845,0,0,0.9877044171,2
27,dec,299,1232,1.92599564,0.006419985467,0,0,0.9877044171,1
28,back,298,1222,1.922029647,0.00640676549,0,0,0.9877044171,2
29,dec,299,1232,1.925967043,0.006419890142,0,0,0.9877044171,1
30,back,298,1222,1.922051978,0.006406839926,0,0,0.9877044171,2
31,dec,299,1232,1.926025188,0.00642008396,1,0,0.9877044171,1
32,back,298,1222,1.922080284,0.00640693428,0,0,0.9877044171,2
33,dec,299,1232,1.926002582,0.006420008606,0,0,0.9877044171,1
34,back,298,1222,1.922049283,0.006406830944,0,0,0.9877044171,2
35,dec,299,1232,1.925977534,0.006419925115,0,0,0.9877044171,1
36,dec,298,1222,1.922041842,0.006406806139,0,0,0.9877044171,2
37,back,297,1218,1.920604188,0.006402013961,0,0,0.979065528,3
38,dec,298,1222,1.922059062,0.00640686354,0,0,0.979065528,2
39,back,297,1218,1.920622358,0.006402074526,0,0,0.9790443761,3
40,dec,298,1222,1.922078255,0.006406927517,0,0,0.9790443761,2
41,back,297,1218,1.920625203,0.006402084009,0,0,0.9790443761,3
42,dec,298,1222,1.922067141,0.006406890468,0,0,0.9790443761,2
43,back,297,1218,1.920617711,0.006402059038,0,0,0.9790443761,3
44,dec,298,1222,1.92204712,0.006406823735,0,0,0.9790443761,2
45,back,297,1218,1.920623003,0.006402076676,0,0,0.9790443761,3
46,dec,298,1222,1.922057272,0.006406857575,0,0,0.9790443761,2
47,back,297,1218,1.920627907,0.006402093023,0,0,0.9790443761,3
48,dec,298,1222,1.922054751,0.006406849172,0,0,0.9790443761,2
49,back,297,1218,1.920626704,0.006402089012,0,0,0.9790443761,3
50,dec,298,1222,1.922053526,0.006406845087,0,0,0.9790443761,2
51,back,297,1218,1.920621295,0.006402070983,0,0,0.9790443761,3
52,dec,298,1222,1.922050621,0.006406835404,0,0,0.9790443761,2
53,back,297,1218,1.920621732,0.006402072441,0,0,0.9790443761,3
54,dec,298,1222,1.922052339,0.006406841131,0,0,0.9790443761,2
55,dec,297,1218,1.920622201,0.006402074003,0,0,0.9790443761,3
56,back,296,1209,1.911619991,0.006372066637,1,0,0.9762672163,4
57,dec,297,1218,1.920681947,0.006402273158,1,0,0.9762672163,3
