config	seed	status	returncode	steps	sigma_initial	sigma_final	max_drop	terminal_drop	max_drop_preterminal	mean_drop	mean_abs_delta	mean_abs_delta_preterminal	auc_sigma	auc_per_step	eta_mean	wall_seconds
certainty	1	sp-nonconvergence	255	1836	2.666799837	0.5544985292	0.039478734600000065	0.0	0.039478734600000065	0.0011504909083877995	0.02057664974607844	0.02057664974607844	3306.3261024968015	1.8008312105102404	4.006532389765923	0.5456968709768262
certainty	2	sp-nonconvergence	255	1894	1.929637424	0.7663931909	0.017286401000000007	0.0	0.017286401000000007	0.0006141733015311509	0.010323127706705406	0.010323127706705406	2734.1714592929457	1.4435963354239418	2.5767810026385223	0.4499078800145071
certainty	3	sp-nonconvergence	255	986	1.38774508	0.5077658459	0.033790818000000056	0.0	0.033790818000000056	0.0008924738682555781	0.01743962662363083	0.01743962662363083	1044.9442952758493	1.0597812325312874	3.234042553191489	0.36653451999882236
certainty	4	sat	0	1511	3.031969362	0.0	2.1693816487936806	6.583622536e-14	2.1693816487936806	0.0020065978570483122	0.011753250742554594	0.011761034352317831	4084.291537664204	2.7030387410087386	2.611772486772487	0.390058607008541
certainty	5	sp-nonconvergence	255	2127	1.135861589	0.4501783528	0.026323954499999913	0.0	0.026323954499999913	0.0003223710560413727	0.008607714271744227	0.008607714271744227	1771.0003526135013	0.8326282804952991	2.976973684210526	0.5123090799897909
polarization	1	sp-nonconvergence	255	1244	2.666799837	1.099467575	0.05910549500000006	0.0	0.05910549500000006	0.0012599133938906754	0.021925595263665613	0.021925595263665613	2500.5491954579993	2.0100877776993564	4.583935742971888	0.4755988550023176
polarization	2	sp-nonconvergence	255	1274	1.929637424	0.8044024208	0.042539218000000156	0.0	0.042539218000000156	0.0008832299868131869	0.012619471417582417	0.012619471417582417	1890.1511296731	1.4836351096335165	3.0964705882352943	0.38368108100257814
polarization	3	sp-nonconvergence	255	830	1.38774508	0.2783164845	0.0674029062	0.0	0.0674029062	0.0013366609584337347	0.02430516118783133	0.02430516118783133	784.9550178555501	0.9457289371753616	5.935018050541516	0.4386161229922436
polarization	4	sat	0	1097	3.031969362	0.0	2.264994812	2.264994812	0.06517330600000015	0.002763873620783956	0.012350309792160438	0.010294977217153285	3008.4477719349966	2.742431879612577	2.446265938069217	0.2949730800173711
polarization	5	sp-nonconvergence	255	1790	1.135861589	0.3834982148	0.043981345299999974	0.0	0.043981345299999974	0.00042031473418994406	0.009538560208938538	0.009538560208938538	1366.7022547111967	0.7635208126878194	4.420993858179788	0.5687823070038576
gamma005	1	sp-nonconvergence	255	1766	2.666799837	0.582608679	0.045377082999999985	0.0	0.045377082999999985	0.0011801761936579844	0.01808729471200453	0.01808729471200453	3206.2432780182985	1.815539795027349	3.457838143746463	0.5056973900063895
gamma005	2	sp-nonconvergence	255	1661	1.929637424	0.8150871454	0.02402376400000006	0.0	0.02402376400000006	0.0006710116066225164	0.010015731362913921	0.010015731362913921	2441.861438705705	1.4701152550907315	2.4915764139590855	0.40028754898230545
gamma005	3	sp-nonconvergence	255	991	1.38774508	0.3242438831	0.040296501799999995	0.0	0.040296501799999995	0.0010731596336024218	0.018425831994450054	0.018425831994450054	974.8257449306506	0.9836788546222508	4.349798387096774	0.4213599990180228
gamma005	4	sat	0	1397	3.031969362	0.0	2.2174904800000177	0.0	2.2174904800000177	0.002170343136721546	0.010695280572655697	0.010702941948424074	3773.371480313	2.701053314468862	2.3147353361945635	0.3405376879964024
gamma005	5	sp-nonconvergence	255	1846	1.135861589	0.5075929483	0.030802876800000045	0.0	0.030802876800000045	0.0003403405420910075	0.007842127579035742	0.007842127579035742	1561.953478790348	0.8461286450651939	2.5365457498646453	0.44915246198070236
gamma010	1	sp-nonconvergence	255	1711	2.666799837	0.5892319075	0.05561186689999997	0.0	0.05561186689999997	0.0012142419225599065	0.01908196788363532	0.01908196788363532	3117.7751649543484	1.8221947194356214	3.7733644859813085	0.499544580001384
gamma010	2	sp-nonconvergence	255	1461	1.929637424	0.8335175725	0.02756985200000006	0.0	0.02756985200000006	0.0007502531495550993	0.011294124736276506	0.011294124736276506	2178.0283143692504	1.4907791337229641	2.6819425444596443	0.39658278500428423
gamma010	3	sp-nonconvergence	255	957	1.38774508	0.339407484	0.04307239039999994	0.0	0.04307239039999994	0.0010954415841170325	0.017593491498641606	0.017593491498641606	934.3486003631991	0.9763308258758612	3.7651356993736953	0.38225378800416365
gamma010	4	sat	0	1271	3.031969362	0.0	2.214626685000017	-1.720845688e-14	2.214626685000017	0.002385499104642014	0.011893694240755336	0.01190305935433072	3472.699799078003	2.732257906434306	2.3820754716981134	0.3563820490089711
gamma010	5	sp-nonconvergence	255	1688	1.135861589	0.5362554632	0.03581259390000002	0.0	0.03581259390000002	0.0003552168991706161	0.007536705001303309	0.007536705001303309	1424.3948472806003	0.8438358100003556	1.9591474245115452	0.3923506989958696
gamma025	1	sp-nonconvergence	255	1708	2.666799837	0.7116371952	0.05096408660000007	0.0	0.05096408660000007	0.001144708806674473	0.020052328171311442	0.020052328171311442	3113.694656557702	1.8230062392024016	3.7442949093036866	0.5465515409887303
gamma025	2	sp-nonconvergence	255	1397	1.929637424	0.8273064776	0.03163896799999999	0.0	0.03163896799999999	0.0007890701119541875	0.01156086762376519	0.01156086762376519	2093.615936333093	1.4986513502742256	2.919170243204578	0.4065165610227268
gamma025	3	sp-nonconvergence	255	984	1.38774508	0.2247352563	0.05389679110000001	0.0	0.05389679110000001	0.0011819205525406503	0.016485513222256085	0.016485513222256085	889.3354189268495	0.9037961574459852	3.8284263959390863	0.3889483209932223
gamma025	4	sat	0	1171	3.031969362	0.0	2.243310953000017	0.0	2.243310953000017	0.002589213801878736	0.012486224831767754	0.012496896818803453	3206.0408945110057	2.7378658364739588	2.5170648464163823	0.31414181701256894
gamma025	5	sp-nonconvergence	255	1368	1.135861589	0.6034195901	0.03616261529999998	0.0	0.03616261529999998	0.0003892119874999999	0.009879147525219286	0.009879147525219286	1210.30932722685	0.8847290403705044	2.8319941563184807	0.4102108050137758
gamma050	1	sp-nonconvergence	255	1353	2.666799837	1.125191528	0.056186206000000016	0.0	0.056186206000000016	0.001139400080561715	0.018655389780487794	0.018655389780487794	2720.967940714496	2.0110627795376907	3.324963072378139	0.4422400360053871
gamma050	2	sp-nonconvergence	255	1480	1.929637424	0.7749813016	0.03411098300000015	0.0	0.03411098300000015	0.0007801730556756757	0.010864814733648653	0.010864814733648653	2119.122476733396	1.4318395113063487	2.7130317353139772	0.3932161580014508
gamma050	3	sp-nonconvergence	255	723	1.38774508	0.5233667936	0.05685808470000009	0.0	0.05685808470000009	0.0011955439645919778	0.01975786989017979	0.01975786989017979	754.2346756873013	1.0432014878109286	4.179558011049724	0.33846885000821203
