# scorer=macro-default K=3 N=300 M=1245 seed=1 r=0.9 theta=0 veto=0 lookahead_k=0 parisi_exchange=1 parisi_audit=1 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed,P_max,I_min,predicted_delta_sigma,predicted_release_gain,actual_release_gain,release_converged
0,dec,300,1245,2.666799837,0.00888933279,64,0,1,0,1,1,0,-0,0,0
1,dec,299,1241,2.666956964,0.008889856546,0,0,1,1,0.9954784368,1,-0.004531816394,-0,0.0003520021323,1
2,dec,298,1232,2.662193185,0.008873977282,2,0,0.9954784368,2,0.9927964167,0.9955580424,-0.002777801978,0.00445185243,0.004611365915,1
3,dec,297,1229,2.65507925,0.008850264167,2,0,0.9927964167,3,0.9930079624,0.9954494806,-0.002455691964,0.004560904501,0.004831725885,1
4,dec,296,1219,2.648279561,0.008827598537,2,0,0.9927964167,4,0.9901585269,0.9930807205,-0.00294689171,0.006943328761,0.007259901494,1
5,dec,295,1211,2.638315682,0.008794385607,2,0,0.9901585269,5,0.9928985554,0.9930075058,-0.0001097236746,0.007017056229,0.006780044488,1
6,dec,294,1206,2.630805299,0.008769350996,1,0,0.9901585269,6,0.9894339923,0.9929169739,-0.003513994523,0.007108229821,0.007262349359,1
7,dec,293,1200,2.62064839,0.008735494633,1,0,0.9894339923,7,0.989960585,0.9930386665,-0.003104473159,0.00698567665,0.006815319432,1
8,dec,292,1189,2.610892082,0.008702973605,2,0,0.9894339923,8,0.9877030968,0.9903933819,-0.002720076395,0.009653059363,0.009633071785,1
9,dec,291,1177,2.598469751,0.008661565837,1,0,0.9877030968,9,0.9872419754,0.9877475426,-0.0005119695426,0.01232813756,0.01235409617,1
10,dec,290,1170,2.585544374,0.008618481248,2,0,0.9872419754,10,0.986694493,0.987384004,-0.0006985649715,0.01269625339,0.01283757043,1
11,exchange,289,1162,2.572710135,0.008575700451,2,0,0.986694493,11,0.9873852744,0.98724567,0.0001413980098,0.01283636476,0.01266700217,1
12,dec,289,1163,2.572217213,0.008574057375,2,0,0.986694493,11,0.9879198892,1,-0.01215366834,-0,0,0
13,dec,288,1155,2.560143264,0.008533810879,2,0,0.986694493,12,0.9873458133,0.9874692304,-0.0001249910992,0.01260994177,0.01229440877,1
14,dec,287,1140,2.548239303,0.008494131009,2,0,0.986694493,13,0.9867324587,0.9877059422,-0.0009860866441,0.01237025484,0.0124994809,1
15,exchange,286,1131,2.535629019,0.00845209673,3,0,0.986694493,14,0.9871269883,0.9869038525,0.0002260712799,0.0131826582,0.01282727622,1
16,dec,286,1134,2.53618589,0.008453952965,3,0,0.986694493,14,0.9875349346,1,-0.01254340605,-0,0,0
17,exchange,285,1125,2.523538017,0.008411793391,3,0,0.986694493,15,0.9878929465,0.9875460912,0.0003511677657,0.01253210865,0.01230877102,1
18,dec,285,1121,2.524002085,0.008413340282,3,0,0.986694493,15,0.9878795583,1,-0.01219449319,-0,0,0
19,dec,284,1112,2.511541034,0.008371803448,3,0,0.986694493,16,0.9876023915,0.9877466923,-0.0001461015286,0.01232899846,0.01216392402,1
20,exchange,283,1101,2.49872353,0.008329078434,2,0,0.986694493,17,0.9873952753,0.9871553185,0.000243049552,0.01292788772,0.01262466673,1
21,dec,283,1108,2.499081545,0.008330271816,2,0,0.986694493,17,0.9873977692,1,-0.0126823124,-0,0,0
22,dec,282,1097,2.486382821,0.008287942737,2,0,0.986694493,18,0.9869218192,0.9880887445,-0.001181690285,0.01198276294,0.01182919489,1
23,dec,281,1085,2.472932705,0.008243109018,2,0,0.986694493,19,0.9847262098,0.9867203562,-0.002023029239,0.01336860676,0.01322388792,1
24,exchange,280,1076,2.457609807,0.00819203269,2,0,0.9847262098,20,0.9883876648,0.9867217373,0.001686922109,0.01336720703,0.01327023991,1
25,dec,280,1080,2.459157304,0.008197191014,2,0,0.9847262098,20,0.9867020035,1,-0.01338720659,-0,0,0
26,dec,279,1068,2.446201568,0.008154005227,2,0,0.9847262098,21,0.98530524,0.9869067854,-0.001624111148,0.01317968635,0.01305236267,1
27,dec,278,1063,2.431621786,0.008105405953,2,0,0.9847262098,22,0.9852030535,0.9869921067,-0.001814276542,0.01309323682,0.01296842425,1
28,dec,277,1055,2.417295485,0.008057651618,1,0,0.9847262098,23,0.9832445914,0.9852462274,-0.002033676416,0.01486369197,0.01465514928,1
29,dec,276,1045,2.401717936,0.008005726452,3,0,0.9832445914,24,0.9843383305,0.9848934325,-0.0005637751812,0.01522183402,0.01554646101,1
30,dec,275,1040,2.387190491,0.007957301638,2,0,0.9832445914,25,0.9823316161,0.9851355331,-0.002850282868,0.01497605019,0.01454062605,1
31,dec,274,1036,2.370449714,0.007901499047,3,0,0.9823316161,26,0.9838931675,0.9864137032,-0.00255852233,0.01367943512,0.01274076328,1
32,dec,273,1030,2.354388776,0.007847962587,3,0,0.9823316161,27,0.9833950888,0.9845298493,-0.001153256004,0.01559106213,0.01485158636,1
33,dec,272,1023,2.338484915,0.007794949716,2,0,0.9823316161,28,0.9826769084,0.9855850242,-0.00295501107,0.01451988091,0.01396775179,1
34,exchange,271,1016,2.322659526,0.007742198421,3,0,0.9823316161,29,0.9897494213,0.9857456795,0.004053411591,0.01435688924,0.01310426758,1
35,dec,271,1011,2.325310299,0.00775103433,3,0,0.9823316161,29,0.9864900577,1,-0.01360203192,-0,0,0
36,dec,270,1005,2.311901516,0.007706338386,3,0,0.9823316161,30,0.9861386185,0.9871518442,-0.001026940329,0.01293140717,0.01304270095,1
37,dec,269,995,2.297813216,0.007659377385,2,0,0.9823316161,31,0.9826360309,0.9863368081,-0.003759098612,0.01375739237,0.01394244903,1
