config	seed	status	returncode	steps	sigma_initial	sigma_final	max_drop	terminal_drop	max_drop_preterminal	mean_drop	mean_abs_delta	mean_abs_delta_preterminal	auc_sigma	auc_per_step	max_fixed	fixed_frontier_max_drop	fixed_frontier_mean_drop	fixed_frontier_roughness	fixed_frontier_auc	fixed_frontier_auc_per_level	eta_mean	wall_seconds
certainty	1	sat	0	8602	9.533499584	0.0	2.75143776700004	-3.985700658e-14	2.75143776700004	0.0011082887216926295	0.014875741554289756	0.014877471090570915	50753.09583046329	5.900150642927608	529	0.10091981200000033	0.012714862563327033	0.013928875708884698	3065.8711325910026	5.795597604141782	3.080669533883529	7.328416598989861
certainty	2	sat	0	4653	16.70647842	0.0	11.203621569999457	5.409006576e-13	11.203621569999457	0.0035904746228239844	0.02454347480335274	0.02454875070077381	67554.96245615018	14.518582088147472	254	5.735139045	0.06577360157480315	0.06599140582677165	3664.079820685	14.425511105059055	2.8345509239363986	4.877885610010708
certainty	3	sat	0	7498	7.840260236	0.0	2.392275046334164	0.0	2.392275046334164	0.0010456468706321685	0.012507532749008144	0.012509201087376692	37973.89601496267	5.064536678442607	506	0.023910282999999755	0.010529868166007903	0.011175442612648235	2418.1214246530008	4.778896096152176	2.7315642085611413	6.296998809004435
certainty	4	sat	0	7325	12.94935474	0.0	5.262470689999855	1.447730824e-13	5.262470689999855	0.0017678299986348123	0.0200651630364505	0.0200679026818678	71153.89962971178	9.713842952861677	425	0.033991793000000214	0.017578167242352942	0.01821849856941178	4054.7000465500014	9.54047069776471	3.094731094731095	6.880847234016983
certainty	5	sat	0	5488	11.57245521	0.0	7.399686407999337	6.628031457e-13	7.399686407999337	0.0021086835295189505	0.015419031997449005	0.01542184209987233	54082.06010000205	9.854602787901248	306	0.025526415000000746	0.01299722505228758	0.013280132640522874	3000.173505292999	9.804488579388885	2.599198396793587	5.265253452002071
polarization	1	sp-nonconvergence	255	4971	9.533499584	3.925418148	0.06559201300000028	0.0	0.06559201300000028	0.0011281596129551397	0.019034124116676734	0.019034124116676734	32624.822399750978	6.5630300542649325	288	0.09940657199999947	0.019494950499999997	0.019737888291666665	1892.1657531750006	6.570019976302086	3.1349557522123894	5.290732271998422
polarization	2	sat	0	2385	16.70647842	0.0	12.735941110000066	0.0	12.735941110000066	0.007004812754716981	0.03270058624737954	0.03271430293624169	36049.04610621	15.114904027761007	130	0.13967277999999972	0.029417197076923075	0.029547832769230727	1967.3668939099996	15.133591491615382	2.684409052808047	2.6080601249996107
polarization	3	sp-nonconvergence	255	7182	7.840260236	1.725691291	0.05185224000000055	0.0	0.05185224000000055	0.0008513741221108326	0.012803894103453124	0.012803894103453124	32263.387152376534	4.492256634973062	443	0.07049486299999996	0.013888172363431152	0.014144979361173812	1912.741329021501	4.317700516978558	3.2924961715160794	6.734202797990292
polarization	4	sat	0	4971	12.94935474	0.0	6.744689667958697	4.130273901e-11	6.744689667958697	0.0026049798310199155	0.01979051776986524	0.01979449976538407	50767.896140600205	10.212813546690848	274	0.09327518199999929	0.021792610248175182	0.02212111124087593	2795.5138847149997	10.202605418667883	2.5530973451327434	4.6902555680135265
polarization	5	sat	0	3574	11.57245521	0.0	8.05949237699813	-5.695444116e-14	8.05949237699813	0.0032379561303861218	0.018435438567431454	0.018440598219983197	36191.78769260087	10.12640953906012	197	0.2023640620000009	0.01783229864467005	0.01834219735532994	1992.3437033984999	10.113419814205583	2.4584615384615383	3.5194887170218863
parisi_relax	1	sat	0	1092	9.533499584	0.0	2.319256422997953	-2.986499936e-14	2.319256422997953	0.008730310974358974	0.010990792344322408	0.01100086639780022	6034.510042593006	5.526108097612643	577	2.31925642300003	0.01652252960831889	0.01763921893934152	3218.7262401685	5.578381698732236	3.588289112534309	1.175961209984962
parisi_relax	2	sat	0	444	16.70647842	0.0	11.056010940000043	-4.174438573e-14	11.056010940000043	0.03762720364864865	0.03945532364864886	0.039544387584650224	6236.10741239001	14.045286964842365	262	11.132509570000042	0.06376518480916031	0.06411324190839726	3748.6171702600013	14.307699123129776	3.1662921348314605	0.5804251479858067
parisi_relax	3	sp-nonconvergence	255	1246	7.840260236	1.168836002	0.02171354900000022	0.0	0.02171354900000022	0.005354273060995184	0.007474234470304987	0.007474234470304987	5022.910512339997	4.031228340561795	649	0.02171354900000022	0.010279544274268105	0.011913570600924489	2633.531420035498	4.057829614846684	3.73616680032077	1.2452743019966874
parisi_relax	4	sat	0	760	12.94935474	0.0	5.694959808911503	-5.884182031e-15	5.694959808911503	0.017038624657894737	0.019561119215789517	0.01958689144137026	7100.0944550130835	9.342229546069847	415	5.694959809	0.03120326443373494	0.03199257036144579	4005.142849585002	9.650946625506029	3.540078843626807	0.9063531360006891
parisi_relax	5	sat	0	531	11.57245521	0.0	7.387350382991815	8.185008227e-12	7.387350382991815	0.021793700960451978	0.023474014583804152	0.023518305177343053	5109.057714148005	9.62157761609794	309	7.478025286991815	0.037451311359196805	0.03814282339155927	3019.393108701004	9.771498733660207	2.994360902255639	0.632843714003684
