config	seed	status	returncode	steps	sigma_initial	sigma_final	max_drop	terminal_drop	max_drop_preterminal	mean_drop	mean_abs_delta	mean_abs_delta_preterminal	auc_sigma	auc_per_step	max_fixed	fixed_frontier_max_drop	fixed_frontier_mean_drop	fixed_frontier_roughness	fixed_frontier_auc	fixed_frontier_auc_per_level	eta_mean	wall_seconds
certainty	1	sp-nonconvergence	255	3979	33.71301751	17.18253708	0.11248095000000191	0.0	0.11248095000000191	0.004154430869565217	0.07277997149283734	0.07277997149283734	102536.97869813502	25.769534731876103	2591	0.060256349999999514	0.0063929256619066005	0.007031272107294506	65596.43621546497	25.317034432830944	3.006532663316583	167.01189627000713
certainty	2	sat	0	13420	55.84535784	0.0	11.465506549947781	1.922906279e-12	11.465506549947781	0.0041613530432190755	0.060991426564828526	0.06099597171920388	366384.7189478377	27.30139485453336	6588	5.96270676	0.00847697271554312	0.014104405429568596	199623.7749306844	30.301119449102064	4.503986290142314	368.0241254950233
certainty	3	sat	0	13192	50.75094186	0.0	13.309586190000134	0.0	13.309586190000134	0.003847099898423287	0.055062023875075874	0.05506619808657425	363196.5814724995	27.53157834085048	6320	13.56658624	0.008030212319620252	0.014244211452531625	190186.430098415	30.09278957253402	4.4579701356780115	365.6084932659869
certainty	4	sat	0	12050	43.80869252	0.0	14.950581559983545	-2.886579864e-14	14.950581559983545	0.0036355761427385893	0.04738110559668046	0.04738503796497631	314575.09362277936	26.105816898155965	5876	1.9222617237500035	0.007455600318243708	0.008837364205241682	163313.15759063087	27.793253504191775	4.083478549497967	365.9945001620217
certainty	5	sat	0	14087	56.96930965	0.0	13.551196899975995	2.400502019e-11	13.551196899975995	0.0040441051785334	0.0613062106360476	0.06131056291565942	427193.80311493843	30.325392426701104	6419	0.40167395000000106	0.006719089428259854	0.00872747263748249	214357.15712717996	33.39416686823181	4.482467348097671	372.68866999002057
polarization	1	sat	0	10969	33.71301751	0.0	4.119627195990536	9.46343004e-12	4.119627195990536	0.003073481403044945	0.036927234902725946	0.0369306017184529	166674.91554292754	15.195087568869317	5558	0.0828972229999998	0.005210515629722922	0.006574972369557389	93893.37200494562	16.8933738763846	4.676754785779399	387.2981164990051
polarization	2	sat	0	8946	55.84535784	0.0	11.99670438999978	-1.72528658e-13	11.99670438999978	0.006242494728370221	0.07206466056785171	0.07207271698602584	265942.3571945694	29.727515894765194	4679	0.1057790400000016	0.00911772191493909	0.010052764881384891	147676.27998768483	31.561504592366923	4.752095674527775	379.5818825660099
polarization	3	sat	0	9307	50.75094186	0.0	11.728087649993773	6.227351967e-12	11.728087649993773	0.0054529861244224775	0.06272396615235824	0.06273070631635416	256568.55074426954	27.567266653515585	4765	0.1315379399999994	0.008026620824763903	0.009010297823714609	140360.59696957486	29.456578587528828	4.873442200257843	294.97697914598393
polarization	4	sat	0	9755	43.80869252	0.0	7.308384254996475	0.0	7.308384254996475	0.004490896209123526	0.05251404782860059	0.05251943167603022	197420.3201801664	20.237859577669543	5230	0.1830382085000002	0.006979047197896749	0.008327504984130006	115011.3362405489	21.99069526587933	4.768040180401804	393.61443206699914
polarization	5	sat	0	8106	56.96930965	0.0	19.08664766000005	-5.129230374e-14	19.08664766000005	0.007028042147791759	0.0709907102504314	0.07099946912893237	280548.145933934	34.60993658202986	4251	0.180372160000001	0.008811274206069161	0.00971316924253115	154235.05753432514	36.28206481635501	4.519797705686444	354.6979650550056
