config	seed	status	returncode	steps	sigma_initial	sigma_final	max_drop	terminal_drop	max_drop_preterminal	mean_drop	mean_abs_delta	mean_abs_delta_preterminal	auc_sigma	auc_per_step	max_fixed	fixed_frontier_max_drop	fixed_frontier_mean_drop	fixed_frontier_roughness	fixed_frontier_auc	fixed_frontier_auc_per_level	eta_mean	wall_seconds
certainty	1	sp-nonconvergence	255	12451	14.91913543	0.2920162328	0.05076423000000041	0.0	0.05076423000000041	0.0011747746524134609	0.0215830040413461	0.0215830040413461	70784.00903061799	5.685005945756806	818	0.04963003000000121	0.017909572380684594	0.020291511366992643	4332.258238340399	5.296159215575059	2.829505300353357	24.650483859993983
certainty	2	sp-nonconvergence	255	3621	10.58103482	1.928448447	0.058829412999999775	0.0	0.058829412999999775	0.0023895571314553987	0.045570488970726394	0.045570488970726394	21849.43093805953	6.034087527771204	209	0.05830439300000023	0.041402728100478466	0.0442421336028708	1193.5083905814993	5.710566462112436	2.0571507454445057	18.708108705002815
certainty	3	sp-nonconvergence	255	8483	15.10769833	3.881747694	0.05740694999999896	0.0	0.05740694999999896	0.00132334676836025	0.02230114696852528	0.02230114696852528	74993.44451526641	8.840439056379395	520	0.05616910999999902	0.021587845828846153	0.021593949928846133	4410.657997293501	8.48203461017981	1.9177274870344176	21.621379911986878
certainty	4	sp-nonconvergence	255	5708	9.187821866	0.4201198584	0.07048303799999989	0.0	0.07048303799999989	0.001536037492571829	0.030304484307252952	0.030304484307252952	19026.863137784097	3.3333677536412223	324	0.07004933899999966	0.027060712465740742	0.030120493498333352	1030.5437630212286	3.1806906266087305	1.8434051497635313	19.720142920996295
certainty	5	sp-nonconvergence	255	5881	9.164575497	-0.2258814843	0.056147846	0.0	0.056147846	0.001596744938156776	0.02887161619331064	0.02887161619331064	21570.713785287986	3.6678649524380185	327	0.05459631500000128	0.028765282745871562	0.02878810808305811	1167.7390395285481	3.571067399169872	2.0819449166950017	19.317216798022855
polarization	1	sp-nonconvergence	255	10646	14.91913543	0.8873489808	0.05663790000000013	0.0	0.05663790000000013	0.0013180336698478301	0.021570655392955215	0.021570655392955215	65548.39058783371	6.157090981385846	660	0.07581767799999994	0.02123924994878788	0.022968405441515127	3828.744573075501	5.8011281410234865	2.176293791678407	26.71328506298596
polarization	2	sp-nonconvergence	255	4846	10.58103482	-0.4073350499	0.06839609199999952	0.0	0.06839609199999952	0.0022675133862773422	0.04062750747492749	0.04062750747492749	22451.40807828757	4.632977317021785	268	0.06554935399999984	0.04100372554514926	0.04176085225634329	1206.3875758212885	4.501446178437644	2.2933773468124614	19.95409833098529
polarization	3	sp-nonconvergence	255	8765	15.10769833	3.100501274	0.06575398999999926	0.0	0.06575398999999926	0.0013699026875071305	0.022202429618254475	0.022202429618254475	74251.93928759143	8.471413495446827	525	0.06367803999999921	0.022925681662857144	0.023080358287619056	4278.981949507494	8.150441808585704	2.0330823636778463	24.69586782398983
polarization	4	sp-nonconvergence	255	6003	9.187821866	0.2055182295	0.07809895699999991	0.0	0.07809895699999991	0.0014963024548559052	0.029063027142423675	0.029063027142423675	18832.75725067725	3.137224262981384	327	0.07500701199999948	0.027468818460244647	0.03064269258562692	1008.2045908615936	3.083194467466647	1.9253830779480345	20.276376986003015
polarization	5	sp-nonconvergence	255	5427	9.164575497	0.1624451477	0.05799614399999964	0.0	0.05799614399999964	0.0016587673391007924	0.02880242508942329	0.02880242508942329	21305.622663978767	3.925856396531927	299	0.06875271999999999	0.030165207455518397	0.030218452532441476	1148.7544005435007	3.8419879616839485	2.086403831982314	19.653382605989464
dynamic_i	1	sp-nonconvergence	255	10380	14.91913543	1.949008038	0.050764199999999704	0.0	0.050764199999999704	0.0012495305772639693	0.02582051073217719	0.02582051073217719	70556.049163473	6.79730724118237	547	0.0496265600000001	0.023734193599634367	0.02483109828336381	3717.303785922498	6.795802168048442	2.202966958867161	35.57422313498682
dynamic_i	2	sp-nonconvergence	255	8322	10.58103482	-1.423012904	0.05974916799999974	0.0	0.05974916799999974	0.0014424474554193703	0.029622067693953365	0.029622067693953365	26116.977733519918	3.1383054233982115	439	0.05852269399999965	0.0273759040501139	0.028057363230523928	1375.4767442972575	3.1332044289231376	2.3493932476270576	26.98433819701313
dynamic_i	3	sp-nonconvergence	255	10536	15.10769833	3.390332054	0.057283070000000436	0.0	0.057283070000000436	0.0011121266397114654	0.022493566050113944	0.022493566050113944	86420.71576524338	8.202421769670025	555	0.05602625000000039	0.021143865324324326	0.02132728468288285	4551.990035679498	8.201783848071168	2.10173673721173	38.58618883500458
dynamic_i	4	sp-nonconvergence	255	6643	9.187821866	0.8604708158	0.07109696100000029	0.0	0.07109696100000029	0.0012535527698630138	0.02664589984621414	0.02664589984621414	20967.737109560352	3.156365664543181	350	0.07031774299999949	0.023803399098	0.026371545353999954	1105.8153400143499	3.1594724000409995	1.7682119205298013	20.928919637022773
dynamic_i	5	sp-nonconvergence	255	5877	9.164575497	0.1114231987	0.056147733999999616	0.0	0.056147733999999616	0.0015404376890079971	0.030537141627844197	0.030537141627844197	22263.155914956456	3.788183752757607	310	0.055153370999999396	0.029275329483225806	0.029339171784516133	1173.197044441	3.7845065949709675	2.003062266076897	17.571295367000857
