config	seed	status	returncode	steps	sigma_initial	sigma_final	max_drop	terminal_drop	max_drop_preterminal	mean_drop	mean_abs_delta	mean_abs_delta_preterminal	auc_sigma	auc_per_step	max_fixed	fixed_frontier_max_drop	fixed_frontier_mean_drop	fixed_frontier_roughness	fixed_frontier_auc	fixed_frontier_auc_per_level	eta_mean	wall_seconds
certainty	1	sp-nonconvergence	255	1836	2.666799837	0.5544985292	0.039478734600000065	0.0	0.039478734600000065	0.0011504909083877995	0.02057664974607844	0.02057664974607844	3306.3261024968015	1.8008312105102404	111	0.03586756670000002	0.019275292895495497	0.019275292895495493	197.70633725369996	1.7811381734567564	4.006532389765923	0.5339203460025601
certainty	2	sp-nonconvergence	255	1894	1.929637424	0.7663931909	0.017286401000000007	0.0	0.017286401000000007	0.0006141733015311509	0.010323127706705406	0.010323127706705406	2734.1714592929457	1.4435963354239418	121	0.016752812000000006	0.009613588703305784	0.009729599324793392	165.70312576255003	1.369447320351653	2.5767810026385223	0.4612993089831434
certainty	3	sp-nonconvergence	255	986	1.38774508	0.5077658459	0.033790818000000056	0.0	0.033790818000000056	0.0008924738682555781	0.01743962662363083	0.01743962662363083	1044.9442952758493	1.0597812325312874	54	0.030169058500000068	0.01629591174259259	0.01671106992777778	56.85326222625	1.052838189375	3.234042553191489	0.37099338698317297
certainty	4	sat	0	1511	3.031969362	0.0	2.1693816487936806	6.583622536e-14	2.1693816487936806	0.0020065978570483122	0.011753250742554594	0.011761034352317831	4084.291537664204	2.7030387410087386	87	0.020963263000000065	0.00969413395402299	0.009848613241379311	234.055064153	2.6902880937126437	2.611772486772487	0.3909468429919798
certainty	5	sp-nonconvergence	255	2127	1.135861589	0.4501783528	0.026323954499999913	0.0	0.026323954499999913	0.0003223710560413727	0.008607714271744227	0.008607714271744227	1771.0003526135013	0.8326282804952991	126	0.024883763199999964	0.005445342422222222	0.008999247258730159	103.27105377329997	0.8196115378833331	2.976973684210526	0.5089925569773186
polarization	1	sp-nonconvergence	255	1244	2.666799837	1.099467575	0.05910549500000006	0.0	0.05910549500000006	0.0012599133938906754	0.021925595263665613	0.021925595263665613	2500.5491954579993	2.0100877776993564	71	0.056036737999999975	0.02208157171830986	0.023533298676056337	141.34220231900002	1.9907352439295778	4.583935742971888	0.49148280700319447
polarization	2	sp-nonconvergence	255	1274	1.929637424	0.8044024208	0.042539218000000156	0.0	0.042539218000000156	0.0008832299868131869	0.012619471417582417	0.012619471417582417	1890.1511296731	1.4836351096335165	78	0.05071437309999993	0.014426089784615384	0.014433139974358973	110.65958102429998	1.4187125772346152	3.0964705882352943	0.38034869098919444
polarization	3	sp-nonconvergence	255	830	1.38774508	0.2783164845	0.0674029062	0.0	0.0674029062	0.0013366609584337347	0.02430516118783133	0.02430516118783133	784.9550178555501	0.9457289371753616	45	0.1001350204	0.024636532737777776	0.024636532737777772	42.42750245930002	0.9428333879844449	5.935018050541516	0.44780377100687474
polarization	4	sat	0	1097	3.031969362	0.0	2.264994812	2.264994812	0.06517330600000015	0.002763873620783956	0.012350309792160438	0.010294977217153285	3008.4477719349966	2.742431879612577	59	0.0872962049999999	0.012202633525423726	0.012202633525423726	161.91326412200004	2.744292612237289	2.446265938069217	0.3137885420001112
polarization	5	sp-nonconvergence	255	1790	1.135861589	0.3834982148	0.043981345299999974	0.0	0.043981345299999974	0.00042031473418994406	0.009538560208938538	0.009538560208938538	1366.7022547111967	0.7635208126878194	105	0.06696524749999999	0.007371011680952381	0.010905320366666667	79.34025673335002	0.7556214926985716	4.420993858179788	0.57341880799504
certified	1	error	255	164	2.666799837	-0.6517630158	0.4291096765	0.0	0.4291096765	0.02023513934634146	0.02408005151000001	0.02408005151000001	232.98838021483013	1.4206608549684765	133	0.4291096765	0.02495160039699248	0.025054618667669178	200.5258328401901	1.5077130288736098	13.72121212121212	11.838074911996955
certified	2	sat	0	262	1.929637424	0.0	0.1045971785	0.1045971785	0.047332485800000046	0.007365028335877863	0.009015409332061066	0.00864919565708812	235.77994080120007	0.8999234381725193	286	0.023666242900000023	0.006746984	0.007044349376923076	209.47454681464998	0.732428485365909	7.06083650190114	2.49048170199967
certified	3	error	255	135	1.38774508	-0.7119618075	0.041755204350000005	0.0	0.041755204350000005	0.015553384351851851	0.019123468286222224	0.019123468286222224	58.79469978587599	0.43551629471019254	102	0.041755204350000005	0.020585361642156862	0.020728747426470587	50.973516163105984	0.4997403545402547	11.308823529411764	9.028121128008934
certified	4	sat	0	126	3.031969362	0.0	1.9653024259999459	5.41788836e-14	1.9653024259999459	0.024063248904761903	0.025484019984126995	0.025687892143999577	322.9101032750001	2.562778597420636	100	1.9653024259999459	0.030319693619999998	0.03051696764	258.30724917699996	2.5830724917699994	3.6141732283464565	0.2344679519883357
certified	5	sat	0	280	1.135861589	0.0	0.02903641739999996	1.167625508e-07	0.02903641739999996	0.004056648532142857	0.007969765414079465	0.007998330463009677	143.66528836959463	0.5130903156056951	294	0.02903641739999996	0.0038634747925170064	0.006158231879531466	114.65787961899639	0.38999278781971564	9.167259786476869	0.8847353729943279
