config	seed	status	returncode	steps	sigma_initial	sigma_final	max_drop	terminal_drop	max_drop_preterminal	mean_drop	mean_abs_delta	mean_abs_delta_preterminal	auc_sigma	auc_per_step	max_fixed	fixed_frontier_max_drop	fixed_frontier_mean_drop	fixed_frontier_roughness	fixed_frontier_auc	fixed_frontier_auc_per_level	eta_mean	wall_seconds
certainty	1	sat	0	120	1.767360496	0.0	1.6546955170000077	-7.771561172e-15	1.6546955170000077	0.014728004133333333	0.029771472933333466	0.03002165337815133	205.09125209799998	1.7090937674833333	7	0.04522767299999986	0.019338582428571418	0.019338582428571418	12.0807004965	1.7258143566428572	2.71900826446281	0.04020967800170183
certainty	2	sat	0	388	1.486126924	0.0	0.4253036378013332	-4.662936703e-15	0.4253036378013332	0.0038302240309278346	0.05196357767114138	0.052097850481661115	379.2026435659032	0.9773264009430495	27	0.4253036389	0.05504173792592592	0.06104289882222221	23.098408196499996	0.8554965998703702	9.002570694087403	0.08924729700083844
certainty	3	sp-nonconvergence	255	511	1.473002175	0.1663376626	0.07218467709999998	0.0	0.07218467709999998	0.002557073409784736	0.04747693437651661	0.04747693437651661	460.0259607240999	0.9002464984816044	30	0.06935229610000002	0.04351539962333333	0.04352332262333334	25.870110582049996	0.8623370194016665	9.494140625	0.05070747798890807
certainty	4	sat	0	2	7.97276416e-06	0.0	7.972610633586199e-06	1.535264138e-10	7.972610633586199e-06	3.98638208e-06	3.98638208e-06	7.972610633586199e-06	3.986535606413801e-06	1.9932678032069003e-06	1	7.972610633586199e-06	7.972610633586199e-06	7.972610633586199e-06	3.9864588432069e-06	3.9864588432069e-06	6.666666666666667	0.012069175019860268
certainty	5	sp-nonconvergence	255	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.01309354801196605
polarization	1	sat	0	63	1.767360496	0.0	1.6312371689741951	2.580502478e-11	1.6312371689741951	0.028053341206349208	0.05986782307936508	0.06083343312861604	104.74862520502585	1.6626765905559657	4	0.048675784000000055	0.033507159499999994	0.033507159499999994	6.793466677	1.69836666925	4.046875	0.017309215007117018
polarization	2	sp-nonconvergence	255	302	1.486126924	0.3613392731	0.15408782619999994	0.0	0.15408782619999994	0.003724462420198675	0.06254999918178805	0.06254999918178805	304.10212079215	1.006960664874669	17	0.1923288493	0.06613943119411764	0.07143917377058823	16.88346792165	0.9931451718617647	9.62046204620462	0.04653022298589349
polarization	3	sp-nonconvergence	255	365	1.473002175	0.4129821553	0.12125980069999998	0.0	0.12125980069999998	0.0029041644375342466	0.0646507456578082	0.0646507456578082	351.59664520564985	0.963278480015479	20	0.19827847350000005	0.057956309655	0.057956309655	19.216019810349998	0.9608009905174999	10.491803278688524	0.049019708996638656
polarization	4	sat	0	4	7.97276416e-06	0.0	7.971752921463e-06	0.0	7.971752921463e-06	1.99319104e-06	1.9931910493813845e-06	2.657588065841846e-06	3.98739329977423e-06	9.968483249435575e-07	1	7.971752921463e-06	7.971752921463e-06	7.971752921463e-06	3.9868876992684996e-06	3.9868876992684996e-06	4.0	0.012060634995577857
polarization	5	sp-nonconvergence	255	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.01333943399367854
certified	1	sat	0	14	1.767360496	0.0	1.4184526605904135	4.095863648e-10	1.4184526605904135	0.12624003542857143	0.12624003542857143	0.13595080735310874	20.52745328740959	1.4662466633863993	13	1.4184526605904135	0.13595080735310874	0.13595080735310874	20.527453287204796	1.5790348682465227	6.6	0.03292109098401852
certified	2	sat	0	37	1.486126924	0.0	0.3760380312143179	4.061218029e-11	0.3760380312143179	0.040165592540540536	0.04968422733100074	0.05106434475573376	28.33728844343549	0.7658726606333917	29	0.3760378633908039	0.051245755998599575	0.05481010704687544	23.902210274129498	0.8242141473837757	12.842105263157896	0.0855070510006044
certified	3	error	255	43	1.473002175	0.1129902636	0.07069547169999998	0.0	0.07069547169999998	0.03162818398604651	0.042515517693023266	0.042515517693023266	30.919479593100007	0.7190576649558141	31	0.07069547169999998	0.04387135198064516	0.0464445963032258	25.924463884099996	0.8362730285193547	14.181818181818182	0.05412129600881599
certified	4	sat	0	2	7.97276416e-06	0.0	7.972610633586199e-06	1.535264138e-10	7.972610633586199e-06	3.98638208e-06	3.98638208e-06	7.972610633586199e-06	3.986535606413801e-06	1.9932678032069003e-06	2	7.972610633586199e-06	3.98638208e-06	3.98638208e-06	3.986535606413801e-06	1.9932678032069003e-06	6.666666666666667	0.02062066100188531
certified	5	sp-nonconvergence	255	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.013474336999934167
