# scorer=cert K=3 N=300 M=1245 seed=3 r=0.9 theta=0 veto=0 lookahead_k=0 parisi_exchange=0 parisi_audit=0 dynamic_I_backtrack=0 sigma_certified=0 transaction_safe=0 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed,P_max,I_min,predicted_delta_sigma,predicted_release_gain,actual_release_gain,release_converged,certified_sigma,replay_error,sp_residual,sp_contraction
0,dec,300,1245,1.38774508,0.004625816934,111,0,1,0,0,1,0,-0,0,0,0,0,0.009163185572,0.8537976071
1,back,299,1243,1.386964813,0.004623216044,1,0,1,1,0,1,0,-0,0,0,0,0,0.009848348018,0.7574135877
2,dec,300,1245,1.385397921,0.004617993071,1,0,1,0,0,1,0,-0,0,0,0,0,0.009627581503,0.8852371764
3,back,299,1237,1.387428736,0.004624762452,0,0,1,1,0,1,0,-0,0,0,0,0,0.008037676799,0
4,dec,300,1245,1.386607972,0.004622026572,1,0,1,0,0,1,0,-0,0,0,0,0,0.007839518689,0.7128451384
5,back,299,1243,1.386647582,0.004622158606,0,0,1,1,0,1,0,-0,0,0,0,0,0.008130802763,0
6,dec,300,1245,1.385525226,0.00461841742,0,0,1,0,0,1,0,-0,0,0,0,0,0.008932609707,0
7,back,299,1237,1.387072581,0.004623575271,0,0,1,1,0,1,0,-0,0,0,0,0,0.007504693935,0
8,dec,300,1245,1.385770357,0.004619234524,0,0,1,0,0,1,0,-0,0,0,0,0,0.009101014046,0
9,back,299,1243,1.386263021,0.004620876737,0,0,1,1,0,1,0,-0,0,0,0,0,0.006269748105,0
10,dec,300,1245,1.386683796,0.004622279321,0,0,1,0,0,1,0,-0,0,0,0,0,0.005967381644,0
11,back,299,1237,1.385663251,0.004618877504,0,0,1,1,0,1,0,-0,0,0,0,0,0.007639366067,0
12,dec,300,1245,1.386798225,0.004622660751,0,0,1,0,0,1,0,-0,0,0,0,0,0.006427592253,0
13,back,299,1243,1.386090498,0.00462030166,0,0,1,1,0,1,0,-0,0,0,0,0,0.007234173411,0
14,dec,300,1245,1.386127612,0.004620425375,0,0,1,0,0,1,0,-0,0,0,0,0,0.005923198457,0
15,back,299,1237,1.386703183,0.004622343943,0,0,1,1,0,1,0,-0,0,0,0,0,0.005134899012,0
16,dec,300,1245,1.385828959,0.004619429863,0,0,1,0,0,1,0,-0,0,0,0,0,0.006389100113,0
17,dec,299,1243,1.386563101,0.004621877003,0,0,1,1,0,1,0,-0,0,0,0,0,0.005224265786,0
18,back,298,1235,1.386263334,0.004620877782,0,0,1,2,0,1,0,-0,0,0,0,0,0.005830334165,0
19,dec,299,1243,1.386026573,0.004620088576,0,0,1,1,0,1,0,-0,0,0,0,0,0.005583050314,0
20,back,298,1235,1.386635488,0.004622118293,0,0,1,2,0,1,0,-0,0,0,0,0,0.004848168464,0
21,dec,299,1243,1.385967822,0.004619892739,0,0,1,1,0,1,0,-0,0,0,0,0,0.006225255708,0
22,back,298,1235,1.386400568,0.004621335226,0,0,1,2,0,1,0,-0,0,0,0,0,0.004503050843,0
23,dec,299,1243,1.386386306,0.004621287686,0,0,1,1,0,1,0,-0,0,0,0,0,0.004228160784,0
24,back,298,1235,1.386022419,0.00462007473,0,0,1,2,0,1,0,-0,0,0,0,0,0.004837072012,0
25,dec,299,1243,1.386573072,0.00462191024,0,0,1,1,0,1,0,-0,0,0,0,0,0.004218429734,0
26,back,298,1235,1.386095651,0.004620318837,0,0,1,2,0,1,0,-0,0,0,0,0,0.005727105283,0
27,dec,299,1243,1.386289193,0.004620963978,0,0,1,1,0,1,0,-0,0,0,0,0,0.003874267521,0
28,back,298,1235,1.386433844,0.004621446146,0,0,1,2,0,1,0,-0,0,0,0,0,0.003436536753,0
29,dec,299,1243,1.386035402,0.004620118006,0,0,1,1,0,1,0,-0,0,0,0,0,0.004899471207,0
30,back,298,1235,1.386487237,0.004621624124,0,0,1,2,0,1,0,-0,0,0,0,0,0.003651191707,0
31,dec,299,1243,1.386183527,0.004620611758,0,0,1,1,0,1,0,-0,0,0,0,0,0.004590947932,0
32,back,298,1235,1.38622183,0.004620739432,0,0,1,2,0,1,0,-0,0,0,0,0,0.003481105498,0
33,dec,299,1243,1.386449158,0.004621497192,0,0,1,1,0,1,0,-0,0,0,0,0,0.003220330904,0
34,back,298,1235,1.386082124,0.004620273747,0,0,1,2,0,1,0,-0,0,0,0,0,0.004773092723,0
35,dec,299,1243,1.386423036,0.004621410121,0,0,1,1,0,1,0,-0,0,0,0,0,0.003283834103,0
36,dec,298,1235,1.386253932,0.004620846439,0,0,1,2,0,1,0,-0,0,0,0,0,0.00363165201,0
37,back,297,1223,1.380906774,0.00460302258,2,0,0.9946999627,3,0,1,0,-0,0,0,0,0,0.004167968279,0.3821849869
38,dec,298,1235,1.386223965,0.004620746551,2,0,0.9946999627,2,0,1,0,-0,0,0,0,0,0.004179469133,0.4065607476
39,back,297,1223,1.381102727,0.004603675758,2,0,0.9946999627,3,0,1,0,-0,0,0,0,0,0.004100093814,0.4051841199
40,dec,298,1235,1.386227932,0.004620759774,1,0,0.9946999627,2,0,1,0,-0,0,0,0,0,0.009710158279,0.1259467045
41,back,297,1223,1.381088325,0.004603627749,2,0,0.9946999627,3,0,1,0,-0,0,0,0,0,0.004219956683,0.4004683115
42,dec,298,1235,1.386217166,0.004620723886,1,0,0.9946999627,2,0,1,0,-0,0,0,0,0,0.009786096721,0.1261439453
43,back,297,1223,1.381087313,0.004603624376,2,0,0.9946999627,3,0,1,0,-0,0,0,0,0,0.003925428218,0.3615505941
44,dec,298,1235,1.386374014,0.004621246714,2,0,0.9946999627,2,0,1,0,-0,0,0,0,0,0.004145410655,0.4098015678
45,back,297,1223,1.381059801,0.004603532669,1,0,0.9946999627,3,0,1,0,-0,0,0,0,0,0.009583494435,0.124050875
46,dec,298,1235,1.386333968,0.004621113228,2,0,0.9946999627,2,0,1,0,-0,0,0,0,0,0.004055647906,0.3739868683
47,back,297,1223,1.381038493,0.004603461642,1,0,0.9946999627,3,0,1,0,-0,0,0,0,0,0.009670067934,0.1254132122
48,dec,298,1235,1.386325803,0.004621086011,2,0,0.9946999627,2,0,1,0,-0,0,0,0,0,0.003956276552,0.3474308946
49,back,297,1223,1.381049154,0.00460349718,2,0,0.9946999627,3,0,1,0,-0,0,0,0,0,0.004289395377,0.4275292117
