config	seed	status	returncode	steps	sigma_initial	sigma_final	max_drop	terminal_drop	max_drop_preterminal	mean_drop	mean_abs_delta	mean_abs_delta_preterminal	auc_sigma	auc_per_step	max_fixed	fixed_frontier_max_drop	fixed_frontier_mean_drop	fixed_frontier_roughness	fixed_frontier_auc	fixed_frontier_auc_per_level	eta_mean	wall_seconds
certainty	1	sp-nonconvergence	255	1836	2.666799837	0.5544985292	0.039478734600000065	0.0	0.039478734600000065	0.0011504909083877995	0.02057664974607844	0.02057664974607844	3306.3261024968015	1.8008312105102404	111	0.03586756670000002	0.019275292895495497	0.019275292895495493	197.70633725369996	1.7811381734567564	4.006532389765923	0.535758206009632
certainty	2	sp-nonconvergence	255	1894	1.929637424	0.7663931909	0.017286401000000007	0.0	0.017286401000000007	0.0006141733015311509	0.010323127706705406	0.010323127706705406	2734.1714592929457	1.4435963354239418	121	0.016752812000000006	0.009613588703305784	0.009729599324793392	165.70312576255003	1.369447320351653	2.5767810026385223	0.449457392009208
certainty	3	sp-nonconvergence	255	986	1.38774508	0.5077658459	0.033790818000000056	0.0	0.033790818000000056	0.0008924738682555781	0.01743962662363083	0.01743962662363083	1044.9442952758493	1.0597812325312874	54	0.030169058500000068	0.01629591174259259	0.01671106992777778	56.85326222625	1.052838189375	3.234042553191489	0.3664382239803672
certainty	4	sat	0	1511	3.031969362	0.0	2.1693816487936806	6.583622536e-14	2.1693816487936806	0.0020065978570483122	0.011753250742554594	0.011761034352317831	4084.291537664204	2.7030387410087386	87	0.020963263000000065	0.00969413395402299	0.009848613241379311	234.055064153	2.6902880937126437	2.611772486772487	0.37114900499000214
certainty	5	sp-nonconvergence	255	2127	1.135861589	0.4501783528	0.026323954499999913	0.0	0.026323954499999913	0.0003223710560413727	0.008607714271744227	0.008607714271744227	1771.0003526135013	0.8326282804952991	126	0.024883763199999964	0.005445342422222222	0.008999247258730159	103.27105377329997	0.8196115378833331	2.976973684210526	0.5097180649754591
polarization	1	sp-nonconvergence	255	1244	2.666799837	1.099467575	0.05910549500000006	0.0	0.05910549500000006	0.0012599133938906754	0.021925595263665613	0.021925595263665613	2500.5491954579993	2.0100877776993564	71	0.056036737999999975	0.02208157171830986	0.023533298676056337	141.34220231900002	1.9907352439295778	4.583935742971888	0.4876095460203942
polarization	2	sp-nonconvergence	255	1274	1.929637424	0.8044024208	0.042539218000000156	0.0	0.042539218000000156	0.0008832299868131869	0.012619471417582417	0.012619471417582417	1890.1511296731	1.4836351096335165	78	0.05071437309999993	0.014426089784615384	0.014433139974358973	110.65958102429998	1.4187125772346152	3.0964705882352943	0.39313747102278285
polarization	3	sp-nonconvergence	255	830	1.38774508	0.2783164845	0.0674029062	0.0	0.0674029062	0.0013366609584337347	0.02430516118783133	0.02430516118783133	784.9550178555501	0.9457289371753616	45	0.1001350204	0.024636532737777776	0.024636532737777772	42.42750245930002	0.9428333879844449	5.935018050541516	0.44436527299694717
polarization	4	sat	0	1097	3.031969362	0.0	2.264994812	2.264994812	0.06517330600000015	0.002763873620783956	0.012350309792160438	0.010294977217153285	3008.4477719349966	2.742431879612577	59	0.0872962049999999	0.012202633525423726	0.012202633525423726	161.91326412200004	2.744292612237289	2.446265938069217	0.29019234600127675
polarization	5	sp-nonconvergence	255	1790	1.135861589	0.3834982148	0.043981345299999974	0.0	0.043981345299999974	0.00042031473418994406	0.009538560208938538	0.009538560208938538	1366.7022547111967	0.7635208126878194	105	0.06696524749999999	0.007371011680952381	0.010905320366666667	79.34025673335002	0.7556214926985716	4.420993858179788	0.5773119709920138
two_stage	1	sp-nonconvergence	255	241	2.666799837	0.2276218278	0.040877929300000004	0.0	0.040877929300000004	0.010121070577593361	0.02357859117012449	0.02357859117012449	363.76034204519993	1.5093790126356843	123	0.038753987499999976	0.02010234485365854	0.020155737746341457	202.24918666404994	1.6443023306020321	5.475206611570248	0.11014222400262952
two_stage	2	sp-nonconvergence	255	270	1.929637424	0.4449094133	0.017704254000000086	0.0	0.017704254000000086	0.005498992632222223	0.010981662885555547	0.010981662885555547	318.9991788025498	1.1814784400094438	154	0.016705779999999892	0.00973197823051948	0.00982509646688312	186.27575286729999	1.2095828108266233	3.4169741697416973	0.08393636901746504
two_stage	3	sp-nonconvergence	255	104	1.38774508	0.3855491874	0.032140447399999994	0.0	0.032140447399999994	0.009636498967307693	0.019072692611538464	0.019072692611538464	100.72359620760004	0.9684961173807696	59	0.02981092530000007	0.016986371061016952	0.01721990692542373	59.087831419399976	1.0014886681254234	4.923809523809524	0.09424817000399344
two_stage	4	walksat-fail	0	170	3.031969362	0.0	1.9912371279985406	-1.35447209e-14	1.9912371279985406	0.017835113894117648	0.023072760964706045	0.023209286177514877	434.42643857900157	2.555449638700009	101	0.497809282	0.030019498633663367	0.03003843786138614	259.38839867199994	2.568201967049504	3.2514619883040936	114.3054546249914
two_stage	5	sp-nonconvergence	255	243	1.135861589	0.4016090547	0.02903641739999996	0.0	0.02903641739999996	0.0030216153674897115	0.009657390159259264	0.009657390159259264	186.7790461986499	0.7686380502002054	132	0.025129671500000006	0.005562519199242424	0.009453656264393945	104.37197451774999	0.7906967766496211	4.147540983606557	0.09719169000163674
