kind	step	Sigma	raw_rho	tight_converged	tight_Sigma	tight_rho	tight_lambda	jvp_error
jvp_initial	0	1.767360496	0.8930598976	1	1.765725359	0.8863562328	-0.1206363405	6.894131748e-11
jvp_reordered	100	1.674411031	0.9843379813	1	0	0	-inf	8.025572347e-11
negative_complexity	0	-63.16981812	0.9821937462	1	-63.16943527	0.9820496882	-0.0181133729	
fatal_seed1	1836	0.5544985292	0.9989950406	0	0	0	-inf	
fatal_seed2	1894	0.7663931909	0.9904049551	0	0	0	-inf	
fatal_seed3	986	0.5077658459	1.011457702	0	0	0	-inf	
fatal_seed5	2127	0.4501783528	1.002793289	0	0	0	-inf	
control_seed1	1400	1.204509176	0.9614001445	1	1.204563455	0.9627071402	-0.0380060254	
control_seed2	1400	1.119019218	0.9692581236	1	1.118764058	0.9683024061	-0.03221083747	
control_seed3	400	1.17731209	0.9631689924	1	1.177163745	0.9631492651	-0.03754687912	
control_seed5	1400	0.7643739195	0.9861264601	1	0.7643460996	0.9867271654	-0.01336170589	
control_sat_seed4	1400	2.293559517	0.864519206	1	2.293474606	0.8836817578	-0.1236582836	
