# scorer=cert K=3 N=300 M=1245 seed=1 r=0.9 theta=0 veto=0 dynamic_I_backtrack=0 flexibility_diag=1 dataset_step=1400 eps=0.01 damp=0
step,move,vertex,dir,sT,sF,sI,bias_cert,score,abspol,margin,prod_plus,prod_minus,degree,n_inc,len1,len2,len3,len4p,Sigma_before,Sigma_per_N,step_frac,eta_before,r,converged,crashed,sat_oracle,delta_sigma,eta_after,mean_sI_after,delta_mean_sI
1400,back,276,0,0.7214613411,0.02429349263,0.2542451663,0.9757065074,0.9757065074,0.6971678485,0.9348485815,0.2605754542,0.9127823307,6,6,0,2,4,0,1.204509176,0.004015030588,0.2866666667,4,0.9,0,0,-1,0,-1,0,0
1400,back,276,1,0.7214613411,0.02429349263,0.2542451663,0.9757065074,0.9757065074,0.6971678485,0.9348485815,0.2605754542,0.9127823307,6,6,0,2,4,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.02396278777,4,0.2017677379,-0.0007638265631
1400,back,4,0,0.9295470807,0.02497810941,0.04547480991,0.9750218906,0.9750218906,0.9045689713,0.9476638025,0.04663978353,0.6454638125,10,10,0,3,7,0,1.204509176,0.004015030588,0.2866666667,4,0.9,0,0,-1,0,-1,0,0
1400,back,4,1,0.9295470807,0.02497810941,0.04547480991,0.9750218906,0.9750218906,0.9045689713,0.9476638025,0.04663978353,0.6454638125,10,10,0,3,7,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.02571999128,3,0.203399883,0.00086831862
1400,back,179,0,0.02518802608,0.8902751378,0.08453683607,0.9748119739,0.9748119739,0.8650871118,0.9449720599,0.7704437665,0.0867211712,8,8,0,4,4,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.02763002507,5,0.2033060281,0.0007744636281
1400,back,179,1,0.02518802608,0.8902751378,0.08453683607,0.9748119739,0.9748119739,0.8650871118,0.9449720599,0.7704437665,0.0867211712,8,8,0,4,4,0,1.204509176,0.004015030588,0.2866666667,4,0.9,0,0,-1,0,-1,0,0
1400,back,64,0,0.0261558322,0.9672973045,0.006546863278,0.9738441678,0.9738441678,0.9411414723,0.9473436014,0.2001933841,0.006722701121,12,12,0,3,9,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.02423563289,7,0.2028903385,0.0003587740959
1400,back,64,1,0.0261558322,0.9672973045,0.006546863278,0.9738441678,0.9738441678,0.9411414723,0.9473436014,0.2001933841,0.006722701121,12,12,0,3,9,0,1.204509176,0.004015030588,0.2866666667,4,0.9,0,0,-1,0,-1,0,0
1400,back,199,0,0.8815289952,0.0266080521,0.09186295273,0.9733919479,0.9733919479,0.8549209431,0.9414008003,0.09437406271,0.7754045208,10,10,0,0,10,0,1.204509176,0.004015030588,0.2866666667,4,0.9,0,0,-1,0,-1,0,0
1400,back,199,1,0.8815289952,0.0266080521,0.09186295273,0.9733919479,0.9733919479,0.8549209431,0.9414008003,0.09437406271,0.7754045208,10,10,0,0,10,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.02750793249,5,0.2026461414,0.0001145769805
1400,back,147,0,0.8497239442,0.02763345299,0.1226426028,0.972366547,0.972366547,0.8220904912,0.937007534,0.1261279537,0.8161153962,12,12,0,3,9,0,1.204509176,0.004015030588,0.2866666667,4,0.9,0,0,-1,0,-1,0,0
1400,back,147,1,0.8497239442,0.02763345299,0.1226426028,0.972366547,0.972366547,0.8220904912,0.937007534,0.1261279537,0.8161153962,12,12,0,3,9,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.02945780808,5,0.2035928199,0.001061255513
1400,back,78,0,0.03072893989,0.9190195129,0.05025154721,0.9692710601,0.9692710601,0.888290573,0.9352903607,0.6205389596,0.05184467924,10,10,0,2,8,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.03196029811,4,0.2036666615,0.001135097052
1400,back,78,1,0.03072893989,0.9190195129,0.05025154721,0.9692710601,0.9692710601,0.888290573,0.9352903607,0.6205389596,0.05184467924,10,10,0,2,8,0,1.204509176,0.004015030588,0.2866666667,4,0.9,0,0,-1,0,-1,0,0
1400,back,19,0,0.03141759485,0.9109320732,0.0576503319,0.9685824051,0.9685824051,0.8795144784,0.9333207281,0.6472625332,0.05952031711,7,7,0,4,3,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.02979245045,8,0.2034326674,0.0009011030176
1400,back,19,1,0.03141759485,0.9109320732,0.0576503319,0.9685824051,0.9685824051,0.8795144784,0.9333207281,0.6472625332,0.05952031711,7,7,0,4,3,0,1.204509176,0.004015030588,0.2866666667,4,0.9,0,0,-1,0,-1,0,0
1400,back,217,0,0.3944144946,0.03254768207,0.5730378234,0.9674523179,0.9674523179,0.3618668125,0.8475383355,0.5923163475,0.9462541924,4,4,0,1,3,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.5915090354,40,0.1947265982,-0.007804966256
1400,back,217,1,0.3944144946,0.03254768207,0.5730378234,0.9674523179,0.9674523179,0.3618668125,0.8475383355,0.5923163475,0.9462541924,4,4,0,1,3,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.03454567044,9,0.2003234512,-0.002208113219
1400,back,233,0,0.03265364238,0.9298137373,0.03753262032,0.9673463576,0.9673463576,0.8971600949,0.9321459759,0.5347573568,0.03879956752,9,9,0,1,8,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.03770170008,9,0.2037606932,0.001229128762
1400,back,233,1,0.03265364238,0.9298137373,0.03753262032,0.9673463576,0.9673463576,0.8971600949,0.9321459759,0.5347573568,0.03879956752,9,9,0,1,8,0,1.204509176,0.004015030588,0.2866666667,4,0.9,0,0,-1,0,-1,0,0
1400,back,264,0,0.7629343363,0.03803217526,0.1990334884,0.9619678247,0.9619678247,0.724902161,0.9050342937,0.2069024382,0.8395711354,6,6,0,0,6,0,1.204509176,0.004015030588,0.2866666667,4,0.9,0,0,-1,0,-1,0,0
1400,back,264,1,0.7629343363,0.03803217526,0.1990334884,0.9619678247,0.9619678247,0.724902161,0.9050342937,0.2069024382,0.8395711354,6,6,0,0,6,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.03891025419,4,0.2024607779,-7.078650588e-05
1400,back,73,0,0.9492594421,0.04140794695,0.009332610987,0.9585920531,0.9585920531,0.9078514951,0.9164039366,0.009735748337,0.1839280324,12,12,0,2,10,0,1.204509176,0.004015030588,0.2866666667,4,0.9,0,0,-1,0,-1,0,0
1400,back,73,1,0.9492594421,0.04140794695,0.009332610987,0.9585920531,0.9585920531,0.9078514951,0.9164039366,0.009735748337,0.1839280324,12,12,0,2,10,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.04474637847,12,0.2045896501,0.002058085645
1400,back,269,0,0.4339073927,0.04226745076,0.5238251566,0.9577325492,0.9577325492,0.3916399419,0.8224708787,0.5469430448,0.9253347417,7,7,0,1,6,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.6082897495,40,0.1899213189,-0.01261024549
1400,back,269,1,0.4339073927,0.04226745076,0.5238251566,0.9577325492,0.9577325492,0.3916399419,0.8224708787,0.5469430448,0.9253347417,7,7,0,1,6,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.04480351363,5,0.2006891765,-0.00184238797
1400,back,10,0,0.8631058852,0.04331232418,0.09358179065,0.9566876758,0.9566876758,0.819793561,0.9044319195,0.09781853892,0.6836071132,5,5,0,1,4,0,1.204509176,0.004015030588,0.2866666667,4,0.9,0,0,-1,0,-1,0,0
1400,back,10,1,0.8631058852,0.04331232418,0.09358179065,0.9566876758,0.9566876758,0.819793561,0.9044319195,0.09781853892,0.6836071132,5,5,0,1,4,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.04584199121,8,0.2033597314,0.0008281669404
1400,back,128,0,0.9462331175,0.04350577062,0.01026111192,0.9564942294,0.9564942294,0.9027273468,0.9120863671,0.01072783464,0.1908444648,13,13,0,2,11,0,1.204509176,0.004015030588,0.2866666667,4,0.9,0,0,-1,0,-1,0,0
1400,back,128,1,0.9462331175,0.04350577062,0.01026111192,0.9564942294,0.9564942294,0.9027273468,0.9120863671,0.01072783464,0.1908444648,13,13,0,2,11,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.04483332507,7,0.2041923051,0.001660740678
1400,back,105,0,0.04427322745,0.5088105096,0.446916263,0.9557267726,0.9557267726,0.4645372821,0.8399040706,0.9098652795,0.4676192776,6,6,0,0,6,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.04816273454,10,0.2014048922,-0.001126672224
1400,back,105,1,0.04427322745,0.5088105096,0.446916263,0.9557267726,0.9557267726,0.4645372821,0.8399040706,0.9098652795,0.4676192776,6,6,0,0,6,0,1.204509176,0.004015030588,0.2866666667,4,0.9,0,0,-1,0,-1,0,0
1400,back,210,0,0.665079954,0.04428669729,0.2906333487,0.9557133027,0.9557133027,0.6207932567,0.8751373575,0.3041009766,0.8677693443,7,7,0,2,5,0,1.204509176,0.004015030588,0.2866666667,4,0.9,0,0,-1,0,-1,0,0
1400,back,210,1,0.665079954,0.04428669729,0.2906333487,0.9557133027,0.9557133027,0.6207932567,0.8751373575,0.3041009766,0.8677693443,7,7,0,2,5,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.0432428286,7,0.201278546,-0.001253018447
1400,back,287,0,0.4848187029,0.04444400864,0.4707372884,0.9555559914,0.9555559914,0.4403746943,0.8320531272,0.4926318214,0.9137313235,6,6,0,1,5,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.5583481738,29,0.1897485005,-0.01278306394
1400,back,287,1,0.4848187029,0.04444400864,0.4707372884,0.9555559914,0.9555559914,0.4403746943,0.8320531272,0.4926318214,0.9137313235,6,6,0,1,5,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.04662561457,6,0.2019499599,-0.0005816045624
1400,back,32,0,0.8934427518,0.04541314703,0.06114410118,0.954586853,0.954586853,0.8480296048,0.9032585361,0.06405294708,0.5738145664,10,10,0,2,8,0,1.204509176,0.004015030588,0.2866666667,4,0.9,0,0,-1,0,-1,0,0
1400,back,32,1,0.8934427518,0.04541314703,0.06114410118,0.954586853,0.954586853,0.8480296048,0.9032585361,0.06405294708,0.5738145664,10,10,0,2,8,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.04779884016,6,0.2049944355,0.00246287106
1400,back,262,0,0.04550303315,0.2863846377,0.6681123292,0.9544969669,0.9544969669,0.2408816045,0.7257925669,0.9362359115,0.6999627578,3,3,0,0,3,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.04665760956,7,0.1981948192,-0.004336745208
1400,back,262,1,0.04550303315,0.2863846377,0.6681123292,0.9544969669,0.9544969669,0.2408816045,0.7257925669,0.9362359115,0.6999627578,3,3,0,0,3,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.3961157905,32,0.1966393329,-0.005892231473
1400,back,103,0,0.04734814886,0.8847796499,0.06787220119,0.9526518511,0.9526518511,0.8374315011,0.8984084609,0.589064355,0.0712455459,5,5,0,1,4,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.04738148952,12,0.2040258066,0.001494242141
1400,back,103,1,0.04734814886,0.8847796499,0.06787220119,0.9526518511,0.9526518511,0.8374315011,0.8984084609,0.589064355,0.0712455459,5,5,0,1,4,0,1.204509176,0.004015030588,0.2866666667,4,0.9,0,0,-1,0,-1,0,0
1400,back,212,0,0.04735872008,0.6838650953,0.2687761846,0.9526412799,0.9526412799,0.6365063752,0.8704672384,0.8501945866,0.2821378732,4,4,0,1,3,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.04939105296,10,0.2021508208,-0.0003807436222
1400,back,212,1,0.04735872008,0.6838650953,0.2687761846,0.9526412799,0.9526412799,0.6365063752,0.8704672384,0.8501945866,0.2821378732,4,4,0,1,3,0,1.204509176,0.004015030588,0.2866666667,4,0.9,0,0,-1,0,-1,0,0
