# scorer=cert K=3 N=300 M=1245 seed=1 r=0.9 theta=0 veto=0 dynamic_I_backtrack=0 lyapunov=1 lyapunov_step=1400 lyapunov_check=0 adjoint_check=1 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed,lyapunov_rho,lyapunov_exponent,lyapunov_iterations,lyapunov_jvp_error,adjoint_identity_error,adjoint_eigenvalue,adjoint_overlap,adjoint_right_residual,adjoint_left_residual,tight_converged,tight_lyapunov_rho,tight_lyapunov_exponent,tight_lyapunov_iterations,tight_Sigma
0,dec,300,1245,2.666799837,0.00888933279,64,0,1,0,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
1,back,299,1241,2.666956964,0.008889856546,0,0,1,1,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
2,dec,300,1245,2.667308966,0.008891029887,0,0,1,0,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
3,back,299,1241,2.667039213,0.008890130709,0,0,1,1,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
4,dec,300,1245,2.666744252,0.008889147507,0,0,1,0,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
5,back,299,1241,2.667167276,0.008890557586,0,0,1,1,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
6,dec,300,1245,2.667350728,0.008891169094,0,0,1,0,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
7,back,299,1241,2.666811258,0.008889370861,0,0,1,1,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
8,dec,300,1245,2.66680323,0.0088893441,0,0,1,0,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
9,back,299,1241,2.667348918,0.008891163059,0,0,1,1,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
10,dec,300,1245,2.667223922,0.008890746406,0,0,1,0,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
11,back,299,1241,2.666783443,0.008889278143,0,0,1,1,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
12,dec,300,1245,2.666972852,0.008889909507,0,0,1,0,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
13,back,299,1241,2.667274077,0.00889091359,0,0,1,1,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
14,dec,300,1245,2.667078769,0.008890262563,0,0,1,0,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
15,back,299,1241,2.66689485,0.008889649499,0,0,1,1,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
16,dec,300,1245,2.66705577,0.0088901859,0,0,1,0,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
17,dec,299,1241,2.667156944,0.008890523148,0,0,1,1,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
18,back,298,1232,2.662580348,0.008875267826,2,0,0.9954978818,2,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
19,dec,299,1241,2.667056403,0.008890188011,2,0,0.9954978818,1,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
20,back,298,1232,2.662546965,0.008875156551,2,0,0.9954978818,2,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
21,dec,299,1241,2.667021886,0.008890072954,2,0,0.9954978818,1,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
22,back,298,1232,2.662554086,0.008875180286,2,0,0.9954978818,2,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
23,dec,299,1241,2.667056378,0.008890187928,2,0,0.9954978818,1,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
24,back,298,1232,2.662553727,0.00887517909,2,0,0.9954978818,2,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
25,dec,299,1241,2.667042352,0.008890141174,2,0,0.9954978818,1,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
