# scorer=cert K=3 N=80 M=320 seed=1 r=0.9 theta=0 veto=0 dynamic_I_backtrack=0 lyapunov=1 lyapunov_step=0 lyapunov_check=0 adjoint_check=1 eps=0.01 damp=0.3
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed,lyapunov_rho,lyapunov_exponent,lyapunov_iterations,lyapunov_jvp_error,adjoint_identity_error,tight_converged,tight_lyapunov_rho,tight_lyapunov_exponent,tight_lyapunov_iterations,tight_Sigma
0,dec,80,320,1.76897321,0.02211216512,30,0,1,0,0.8795272326,-0.1283707515,128,0,5.601521952e-17,1,0.9404970625,-0.06134675359,128,1.765725359
1,back,79,317,1.768352699,0.02210440874,2,0,0.9992553129,1,0,-inf,0,0,0,0,0,-inf,0,0
2,dec,80,320,1.767979941,0.02209974926,2,0,0.9992553129,0,0,-inf,0,0,0,0,0,-inf,0,0
3,back,79,317,1.76629212,0.0220786515,2,0,0.9992553129,1,0,-inf,0,0,0,0,0,-inf,0,0
4,dec,80,320,1.766327983,0.02207909979,2,0,0.9992553129,0,0,-inf,0,0,0,0,0,-inf,0,0
5,back,79,317,1.7652975,0.02206621874,2,0,0.9992553129,1,0,-inf,0,0,0,0,0,-inf,0,0
6,dec,80,320,1.765851551,0.02207314439,2,0,0.9992553129,0,0,-inf,0,0,0,0,0,-inf,0,0
7,back,79,317,1.765047109,0.02206308886,2,0,0.9992553129,1,0,-inf,0,0,0,0,0,-inf,0,0
8,dec,80,320,1.765760829,0.02207201036,2,0,0.9992553129,0,0,-inf,0,0,0,0,0,-inf,0,0
9,back,79,317,1.764970755,0.02206213443,2,0,0.9992553129,1,0,-inf,0,0,0,0,0,-inf,0,0
10,dec,80,320,1.765735158,0.02207168947,2,0,0.9992553129,0,0,-inf,0,0,0,0,0,-inf,0,0
11,back,79,317,1.764938884,0.02206173604,2,0,0.999228505,1,0,-inf,0,0,0,0,0,-inf,0,0
12,dec,80,320,1.765726597,0.02207158246,2,0,0.999228505,0,0,-inf,0,0,0,0,0,-inf,0,0
13,back,79,317,1.764926857,0.02206158572,2,0,0.9992115022,1,0,-inf,0,0,0,0,0,-inf,0,0
14,dec,80,320,1.765724617,0.02207155771,2,0,0.9992115022,0,0,-inf,0,0,0,0,0,-inf,0,0
15,back,79,317,1.764922847,0.02206153558,2,0,0.9992035824,1,0,-inf,0,0,0,0,0,-inf,0,0
16,dec,80,320,1.765724432,0.0220715554,2,0,0.9992035824,0,0,-inf,0,0,0,0,0,-inf,0,0
17,dec,79,317,1.764921403,0.02206151753,2,0,0.999200173,1,0,-inf,0,0,0,0,0,-inf,0,0
18,back,78,306,1.759256032,0.0219907004,1,0,0.9943259761,2,0,-inf,0,0,0,0,0,-inf,0,0
19,dec,79,317,1.764919016,0.0220614877,1,0,0.9943259761,1,0,-inf,0,0,0,0,0,-inf,0,0
20,back,78,306,1.759262709,0.02199078386,1,0,0.9943259761,2,0,-inf,0,0,0,0,0,-inf,0,0
21,dec,79,317,1.764915043,0.02206143804,1,0,0.9943259761,1,0,-inf,0,0,0,0,0,-inf,0,0
22,back,78,306,1.759260483,0.02199075603,1,0,0.9943259761,2,0,-inf,0,0,0,0,0,-inf,0,0
23,dec,79,317,1.764906499,0.02206133124,1,0,0.9943259761,1,0,-inf,0,0,0,0,0,-inf,0,0
24,back,78,306,1.759253696,0.02199067121,1,0,0.9943259761,2,0,-inf,0,0,0,0,0,-inf,0,0
25,dec,79,317,1.764904723,0.02206130904,1,0,0.9943259761,1,0,-inf,0,0,0,0,0,-inf,0,0
26,back,78,306,1.759246221,0.02199057776,1,0,0.9943259761,2,0,-inf,0,0,0,0,0,-inf,0,0
27,dec,79,317,1.764907946,0.02206134932,1,0,0.9943259761,1,0,-inf,0,0,0,0,0,-inf,0,0
28,back,78,306,1.759239822,0.02199049777,1,0,0.9943259761,2,0,-inf,0,0,0,0,0,-inf,0,0
29,dec,79,317,1.764912501,0.02206140626,1,0,0.9943259761,1,0,-inf,0,0,0,0,0,-inf,0,0
30,back,78,306,1.759234821,0.02199043526,1,0,0.9943259761,2,0,-inf,0,0,0,0,0,-inf,0,0
31,dec,79,317,1.764916515,0.02206145644,1,0,0.9943259761,1,0,-inf,0,0,0,0,0,-inf,0,0
32,back,78,306,1.759231107,0.02199038883,1,0,0.9943164742,2,0,-inf,0,0,0,0,0,-inf,0,0
33,dec,79,317,1.764919425,0.02206149281,1,0,0.9943164742,1,0,-inf,0,0,0,0,0,-inf,0,0
34,back,78,306,1.759228594,0.02199035743,1,0,0.9943086062,2,0,-inf,0,0,0,0,0,-inf,0,0
35,dec,79,317,1.764921267,0.02206151584,1,0,0.9943086062,1,0,-inf,0,0,0,0,0,-inf,0,0
36,dec,78,306,1.759227081,0.02199033851,1,0,0.9943031311,2,0,-inf,0,0,0,0,0,-inf,0,0
37,back,77,297,1.750748322,0.02188435403,2,0,0.9914608373,3,0,-inf,0,0,0,0,0,-inf,0,0
38,dec,78,306,1.759237954,0.02199047442,2,0,0.9914608373,2,0,-inf,0,0,0,0,0,-inf,0,0
39,back,77,297,1.750765826,0.02188457282,2,0,0.9914608373,3,0,-inf,0,0,0,0,0,-inf,0,0
40,dec,78,306,1.759185973,0.02198982466,2,0,0.9914608373,2,0,-inf,0,0,0,0,0,-inf,0,0
41,back,77,297,1.750709546,0.02188386933,2,0,0.9914608373,3,0,-inf,0,0,0,0,0,-inf,0,0
42,dec,78,306,1.759189948,0.02198987435,2,0,0.9914608373,2,0,-inf,0,0,0,0,0,-inf,0,0
43,back,77,297,1.750664931,0.02188331164,2,0,0.9914608373,3,0,-inf,0,0,0,0,0,-inf,0,0
44,dec,78,306,1.759214814,0.02199018518,2,0,0.9914608373,2,0,-inf,0,0,0,0,0,-inf,0,0
45,back,77,297,1.75063704,0.021882963,2,0,0.9914292498,3,0,-inf,0,0,0,0,0,-inf,0,0
46,dec,78,306,1.759233711,0.02199042139,2,0,0.9914292498,2,0,-inf,0,0,0,0,0,-inf,0,0
47,back,77,297,1.750621197,0.02188276496,2,0,0.9913755907,3,0,-inf,0,0,0,0,0,-inf,0,0
48,dec,78,306,1.759243884,0.02199054855,2,0,0.9913755907,2,0,-inf,0,0,0,0,0,-inf,0,0
49,back,77,297,1.750613524,0.02188266905,2,0,0.9913434237,3,0,-inf,0,0,0,0,0,-inf,0,0
50,dec,78,306,1.759248513,0.02199060642,2,0,0.9913434237,2,0,-inf,0,0,0,0,0,-inf,0,0
51,back,77,297,1.750610242,0.02188262803,2,0,0.9913275381,3,0,-inf,0,0,0,0,0,-inf,0,0
52,dec,78,306,1.759250539,0.02199063174,2,0,0.9913275381,2,0,-inf,0,0,0,0,0,-inf,0,0
53,back,77,297,1.750608782,0.02188260977,2,0,0.9913205967,3,0,-inf,0,0,0,0,0,-inf,0,0
54,dec,78,306,1.759251557,0.02199064446,2,0,0.9913205967,2,0,-inf,0,0,0,0,0,-inf,0,0
55,dec,77,297,1.750607977,0.02188259971,2,0,0.9913174754,3,0,-inf,0,0,0,0,0,-inf,0,0
56,back,76,290,1.722627595,0.02153284493,3,0,0.9712035645,4,0,-inf,0,0,0,0,0,-inf,0,0
57,dec,77,297,1.750317593,0.02187896991,3,0,0.9712035645,3,0,-inf,0,0,0,0,0,-inf,0,0
58,back,76,290,1.721581489,0.02151976861,3,0,0.9712035645,4,0,-inf,0,0,0,0,0,-inf,0,0
59,dec,77,297,1.750527269,0.02188159087,3,0,0.9712035645,3,0,-inf,0,0,0,0,0,-inf,0,0
60,back,76,290,1.720888031,0.02151110038,3,0,0.9712035645,4,0,-inf,0,0,0,0,0,-inf,0,0
61,dec,77,297,1.750858713,0.02188573391,3,0,0.9712035645,3,0,-inf,0,0,0,0,0,-inf,0,0
62,back,76,290,1.720569511,0.02150711888,3,0,0.9712035645,4,0,-inf,0,0,0,0,0,-inf,0,0
63,dec,77,297,1.751028455,0.02188785568,3,0,0.9712035645,3,0,-inf,0,0,0,0,0,-inf,0,0
64,back,76,290,1.720428623,0.02150535778,3,0,0.9706579591,4,0,-inf,0,0,0,0,0,-inf,0,0
65,dec,77,297,1.751114449,0.02188893061,3,0,0.9706579591,3,0,-inf,0,0,0,0,0,-inf,0,0
66,back,76,290,1.720358983,0.02150448729,3,0,0.9703968576,4,0,-inf,0,0,0,0,0,-inf,0,0
67,dec,77,297,1.751164489,0.02188955611,3,0,0.9703968576,3,0,-inf,0,0,0,0,0,-inf,0,0
68,back,76,290,1.720319101,0.02150398877,3,0,0.9702625523,4,0,-inf,0,0,0,0,0,-inf,0,0
69,dec,77,297,1.75119568,0.021889946,3,0,0.9702625523,3,0,-inf,0,0,0,0,0,-inf,0,0
70,back,76,290,1.720295317,0.02150369147,3,0,0.9701836515,4,0,-inf,0,0,0,0,0,-inf,0,0
71,dec,77,297,1.751214732,0.02189018415,3,0,0.9701836515,3,0,-inf,0,0,0,0,0,-inf,0,0
72,back,76,290,1.720281425,0.02150351781,3,0,0.9701356843,4,0,-inf,0,0,0,0,0,-inf,0,0
73,dec,77,297,1.751225933,0.02189032417,3,0,0.9701356843,3,0,-inf,0,0,0,0,0,-inf,0,0
74,dec,76,290,1.720273484,0.02150341855,3,0,0.9701072614,4,0,-inf,0,0,0,0,0,-inf,0,0
75,back,75,285,1.705387672,0.0213173459,1,0,0.9701072614,5,0,-inf,0,0,0,0,0,-inf,0,0
76,dec,76,292,1.711288606,0.02139110758,2,0,0.9701072614,4,0,-inf,0,0,0,0,0,-inf,0,0
77,back,75,285,1.704518832,0.0213064854,1,0,0.9701072614,5,0,-inf,0,0,0,0,0,-inf,0,0
78,dec,76,290,1.719494859,0.02149368574,1,0,0.9701072614,4,0,-inf,0,0,0,0,0,-inf,0,0
79,back,75,285,1.703829497,0.02129786871,1,0,0.9701072614,5,0,-inf,0,0,0,0,0,-inf,0,0
