# scorer=cert K=3 N=80 M=320 seed=1 r=0.9 theta=0 veto=0 dynamic_I_backtrack=0 lyapunov=1 lyapunov_step=0 lyapunov_check=0 adjoint_check=1 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed,lyapunov_rho,lyapunov_exponent,lyapunov_iterations,lyapunov_jvp_error,adjoint_identity_error,adjoint_eigenvalue,adjoint_overlap,adjoint_right_residual,adjoint_left_residual,tight_converged,tight_lyapunov_rho,tight_lyapunov_exponent,tight_lyapunov_iterations,tight_Sigma
0,dec,80,320,1.767360496,0.0220920062,31,0,1,0,0.8930598976,-0.1131016257,128,0,5.382990554e-16,0.8926751783,-0.257982101,0.001978617964,0.001128177235,1,0.8863562328,-0.1206363405,128,1.765725359
1,back,79,317,1.765913115,0.02207391394,2,0,0.9993964843,1,0,-inf,0,0,0,0.8926751783,-0.257982101,0.001978617964,0.001128177235,0,0,-inf,0,0
2,dec,80,320,1.766201257,0.02207751571,1,0,0.9993964843,0,0,-inf,0,0,0,0.8926751783,-0.257982101,0.001978617964,0.001128177235,0,0,-inf,0,0
3,back,79,317,1.765253914,0.02206567393,1,0,0.9993204784,1,0,-inf,0,0,0,0.8926751783,-0.257982101,0.001978617964,0.001128177235,0,0,-inf,0,0
4,dec,80,320,1.765864073,0.02207330091,1,0,0.9993204784,0,0,-inf,0,0,0,0.8926751783,-0.257982101,0.001978617964,0.001128177235,0,0,-inf,0,0
5,back,79,317,1.765041202,0.02206301502,1,0,0.9992755814,1,0,-inf,0,0,0,0.8926751783,-0.257982101,0.001978617964,0.001128177235,0,0,-inf,0,0
6,dec,80,320,1.765764397,0.02207205496,1,0,0.9992755814,0,0,-inf,0,0,0,0.8926751783,-0.257982101,0.001978617964,0.001128177235,0,0,-inf,0,0
7,back,79,317,1.764966695,0.02206208369,1,0,0.9992440714,1,0,-inf,0,0,0,0.8926751783,-0.257982101,0.001978617964,0.001128177235,0,0,-inf,0,0
8,dec,80,320,1.765734121,0.02207167651,1,0,0.9992440714,0,0,-inf,0,0,0,0.8926751783,-0.257982101,0.001978617964,0.001128177235,0,0,-inf,0,0
9,back,79,317,1.764938586,0.02206173232,1,0,0.9992245814,1,0,-inf,0,0,0,0.8926751783,-0.257982101,0.001978617964,0.001128177235,0,0,-inf,0,0
