seed	solutions	weighted_mass	iterations	converged	mean_edge_tv	max_edge_tv
1	15	15.0	90	1	0.047248043763530465	0.1833972071935684
2	1	1.0	221	1	0.5641845371250968	0.8992845254888011
3	0	0.0	187	1	0.5	0.5000000000000001
4	11	11.0	133	1	0.20358462153319873	0.4570022549010165
5	2	2.0	437	1	0.37844677991214354	0.7943847153571342
6	9	9.0	370	1	0.1888526190431897	0.5311834992364741
7	6	6.0	532	1	0.2208004592115784	0.49140009583269584
8	5	5.0	513	1	0.24924897576322758	0.5120648470489798
9	3	3.0	192	1	0.29434787383293054	0.7047029479396785
10	7	7.0	223	1	0.16087232788915745	0.44542566534565736
