seed	solutions	weighted_mass	iterations	converged	mean_edge_tv	max_edge_tv
1	180	8.0729696318835	114	1	0.10064981814985607	0.2620493817686489
2	235	17.103841084073878	100	1	0.037553273693757	0.11472414380819826
3	191	12.05354916809923	90	1	0.05444132272427236	0.13740589485018068
4	180	8.331490651245645	124	1	0.051834416735983824	0.18948494692214926
5	152	6.492464013540108	106	1	0.07725333947396458	0.21250654613080283
6	116	4.380920812661393	130	1	0.07888279155673696	0.2274536570354227
7	130	5.101591721446058	109	1	0.07905753105173882	0.18769417051899995
8	122	4.015457092301817	112	1	0.08229557144153338	0.234985550240926
9	182	10.184066663755992	276	1	0.10081697154411273	0.2419175006823039
10	155	6.537369002764683	107	1	0.07251756584868929	0.18806722248100774
