seed	solutions	weighted_mass	iterations	converged	mean_edge_tv	max_edge_tv	mean_var_tv	max_var_tv	greedy_agreement
1	8	0.004445400564144067	170	1	0.17141536781359423	0.36059172545782414	0.15969297283731762	0.36058059215601757	15
2	0	0.0	1179	1	0.5	0.5000000000000001	0.2413228868970488	0.47918569233210107	8
3	4	0.0013717389439249596	106	1	0.06225808631010386	0.22380803875488758	0.050391421910402356	0.13055958965753078	16
4	2	0.0006777370902494582	449	1	0.3178454247862653	0.8902284221368297	0.27420371250883674	0.653403279780619	13
5	0	0.0	751	1	0.5	0.5000000000000001	0.132069021400061	0.31923351632131636	10
6	8	0.011484263967242135	129	1	0.03850685729983287	0.2097276908143656	0.03064496839101771	0.11469648571749207	15
7	1	0.0001057530233453791	1172	1	0.5169712223813764	0.9794701060014237	0.43756758929196754	0.7963893752369146	9
8	1	0.00037444038135329175	367	1	0.387052672346762	0.9282464363294843	0.3103457063129432	0.6733820701381111	13
9	2	0.0007582417722404159	96	1	7.094883451437026e-14	1.385677519818807e-12	5.888964065495492e-15	4.987676938128516e-14	15
10	1	0.00013055928808071494	2000	0	0.48778037227742427	0.9664679014253962	0.4093613130799038	0.6841781981870059	9
11	7	0.0030060602334402837	1734	1	0.30226728045155543	0.7889571762343572	0.25829234453376065	0.6263858525220988	11
12	3	0.0008150525180511606	487	1	0.3504140869376427	0.8658278006341287	0.3060816898913672	0.8216304970687912	10
13	3	0.000697173620197225	2000	0	0.18362370807209752	0.4641089946110701	0.15785773937904418	0.35646686720379483	15
14	0	0.0	676	1	0.5	0.5000000000000001	0.10152359582123727	0.32652048097094283	11
15	0	0.0	2000	0	0.5	0.5000000000000001	0.1387163605653186	0.310783628338614	7
16	10	0.008196536987573482	116	1	0.020018414989346322	0.14706082857139352	0.014326376378840808	0.05219762688094423	15
17	6	0.003758018313205208	122	1	0.027041803556285143	0.09673484253755545	0.02013043119980485	0.05813316724446258	16
18	0	0.0	603	1	0.5	0.5000000000000001	0.2212724667863604	0.4072453868738978	6
19	3	0.0011998444435940261	2000	0	0.3317098726650221	0.8358732695138882	0.289159921687512	0.6418494392017329	9
20	11	0.005887018426873038	187	1	0.2234496539033404	0.570026422087464	0.19353029010328876	0.4872305092613888	15
21	1	0.00014506587564523882	2000	0	0.4779315437772445	0.9997432646914557	0.42342460942909094	0.9672914905197629	10
22	2	0.0003601772769792624	685	1	0.35174789199761786	0.8893698325442645	0.30195489626217903	0.6913195593587986	10
23	1	0.0004160448681703242	667	1	0.3995331257232814	0.9076069857402108	0.32691773606616625	0.6432851050603386	14
24	6	0.0037316127921683453	357	1	0.1273650423903967	0.5381481879790673	0.10796304674852279	0.29949016382348015	15
25	0	0.0	416	1	0.5	0.5000000000000001	0.18270032591524457	0.45699290249898217	7
26	0	0.0	222	1	0.5	0.5000000000000001	0.33585850259128647	0.4967505540064282	8
27	1	0.00019899297070677478	2000	0	0.48643322225265295	0.9810304752457186	0.42124778622517617	0.7651725178136883	11
28	1	0.00016118430627248758	541	1	0.4299907582298147	0.9562555371843617	0.3530616317465022	0.7359112691026102	13
29	0	0.0	487	1	0.5	0.5000000000000001	0.11606133750533357	0.270216124585997	11
30	0	0.0	451	1	0.5	0.5000000000000001	0.1992775678561365	0.47350136226500766	9
