seed	solutions	policy	b	t	solved	core_fraction	c1	v1	seconds
1	8	uniform	1.0	1.0	1	0.0	37	14	0.1430719300005876
1	8	critical	1.0	0.8	1	0.0	37	14	0.1433727670000735
1	8	supported	0.8	1.0	1	0.0	37	14	0.14366960400002426
1	8	combined	0.6	0.9	1	0.0	37	14	0.1439810010006113
2	0	uniform	1.0	1.0	0				0.14206844599993929
2	0	critical	1.0	0.8	0				0.14208467600019503
2	0	supported	0.8	1.0	0				0.14209592600036558
2	0	combined	0.6	0.9	0				0.14210456700038776
3	4	uniform	1.0	1.0	1	0.8125	41	15	0.1566598729996258
3	4	critical	1.0	0.8	1	0.8125	41	15	0.15686961800020072
3	4	supported	0.8	1.0	1	0.8125	46	14	0.15706918199975917
3	4	combined	0.6	0.9	1	0.8125	41	15	0.15726963700035412
4	2	uniform	1.0	1.0	1	1.0	43	16	0.1368366110000352
4	2	critical	1.0	0.8	1	1.0	41	16	0.13696770400019886
4	2	supported	0.8	1.0	1	1.0	43	16	0.137090256999727
4	2	combined	0.6	0.9	1	1.0	41	16	0.13721671999974205
5	0	uniform	1.0	1.0	0				0.13816632399993978
5	0	critical	1.0	0.8	0				0.13818332399932842
5	0	supported	0.8	1.0	0				0.13819344399962574
5	0	combined	0.6	0.9	0				0.1382021449999229
6	8	uniform	1.0	1.0	1	0.0	30	13	0.14674020700022083
6	8	critical	1.0	0.8	1	0.0	27	14	0.1470606240000052
6	8	supported	0.8	1.0	1	0.0	30	13	0.14736897199964005
6	8	combined	0.6	0.9	1	0.0	30	13	0.14769559999967896
7	1	uniform	1.0	1.0	1	1.0	53	16	0.14164900600007968
7	1	critical	1.0	0.8	1	1.0	53	16	0.14174101800017525
7	1	supported	0.8	1.0	1	1.0	53	16	0.1418242999998256
7	1	combined	0.6	0.9	1	1.0	53	16	0.1419094019993281
8	1	uniform	1.0	1.0	1	1.0	41	16	0.14323631299976114
8	1	critical	1.0	0.8	1	1.0	41	16	0.1433267860002161
8	1	supported	0.8	1.0	1	1.0	41	16	0.14340999799969723
8	1	combined	0.6	0.9	1	1.0	41	16	0.14349364999998215
9	2	uniform	1.0	1.0	1	0.9375	43	15	0.14633948800019425
9	2	critical	1.0	0.8	1	0.9375	43	15	0.14647065099961765
9	2	supported	0.8	1.0	1	0.9375	43	15	0.14659126399965317
9	2	combined	0.6	0.9	1	0.9375	43	15	0.1467139770002177
10	1	uniform	1.0	1.0	1	1.0	51	16	0.13940635299968562
10	1	critical	1.0	0.8	1	1.0	51	16	0.13949689499986562
10	1	supported	0.8	1.0	1	1.0	51	16	0.1395796569995582
10	1	combined	0.6	0.9	1	1.0	51	16	0.1396624389999488
11	7	uniform	1.0	1.0	1	0.0	43	14	0.15450536200023635
11	7	critical	1.0	0.8	1	0.9375	39	15	0.15477256800022587
11	7	supported	0.8	1.0	1	0.0	43	14	0.1550565950001328
11	7	combined	0.6	0.9	1	0.0	40	14	0.15535201199963922
12	3	uniform	1.0	1.0	1	0.9375	47	15	0.15042334500049037
12	3	critical	1.0	0.8	1	0.9375	42	15	0.15059442900019349
12	3	supported	0.8	1.0	1	0.9375	47	15	0.1507468420004443
12	3	combined	0.6	0.9	1	0.9375	42	15	0.1509036659999765
13	3	uniform	1.0	1.0	1	1.0	42	16	0.14114151400008268
13	3	critical	1.0	0.8	1	1.0	42	16	0.14130431800003862
13	3	supported	0.8	1.0	1	1.0	42	16	0.14143750099992758
13	3	combined	0.6	0.9	1	1.0	42	16	0.14158179500009282
14	0	uniform	1.0	1.0	0				0.14471678900008556
14	0	critical	1.0	0.8	0				0.14473454900053184
14	0	supported	0.8	1.0	0				0.1447446790007234
14	0	combined	0.6	0.9	0				0.1447532100000899
15	0	uniform	1.0	1.0	0				0.1462639660003333
15	0	critical	1.0	0.8	0				0.14627973599999677
15	0	supported	0.8	1.0	0				0.14628966600048443
15	0	combined	0.6	0.9	0				0.14629846600018936
16	10	uniform	1.0	1.0	1	0.0	40	13	0.16038852199926623
16	10	critical	1.0	0.8	1	1.0	30	16	0.16078665099939826
16	10	supported	0.8	1.0	1	0.0	42	12	0.16118018999986816
16	10	combined	0.6	0.9	1	0.0	42	12	0.16159743999924103
17	6	uniform	1.0	1.0	1	0.0	40	14	0.1439512000006289
17	6	critical	1.0	0.8	1	0.0	35	14	0.14421817699985695
17	6	supported	0.8	1.0	1	0.0	40	14	0.14447425300022587
17	6	combined	0.6	0.9	1	0.0	35	14	0.1447429790005117
18	0	uniform	1.0	1.0	0				0.14365590299985342
18	0	critical	1.0	0.8	0				0.1436705730002359
18	0	supported	0.8	1.0	0				0.1436804539998775
18	0	combined	0.6	0.9	0				0.14368881399968814
19	3	uniform	1.0	1.0	1	0.9375	43	15	0.15305477699985204
19	3	critical	1.0	0.8	1	1.0	38	16	0.15322364100029517
19	3	supported	0.8	1.0	1	0.9375	43	15	0.15337820500008092
19	3	combined	0.6	0.9	1	1.0	38	16	0.153530968999803
20	11	uniform	1.0	1.0	1	0.9375	44	15	0.15364385100019717
20	11	critical	1.0	0.8	1	0.0	29	15	0.15400427000076888
20	11	supported	0.8	1.0	1	0.0	43	14	0.15435120800066215
20	11	combined	0.6	0.9	1	0.0	29	15	0.15473220700005186
