seed	solutions	policy	b	t	solved	core_fraction	c1	v1	seconds
1	0	uniform	1.0	1.0	0				0.5751663580003878
1	0	critical	1.0	0.8	0				0.5751975090006454
1	0	supported	0.8	1.0	0				0.5752105990004566
1	0	combined	0.6	0.9	0				0.5752204790005635
2	3	uniform	1.0	1.0	1	1.0	49	18	0.5727516609995291
2	3	critical	1.0	0.8	1	1.0	49	18	0.5729655959994489
2	3	supported	0.8	1.0	1	1.0	49	18	0.5731580399997256
2	3	combined	0.6	0.9	1	1.0	49	18	0.5733509450001293
3	5	uniform	1.0	1.0	1	0.0	45	17	0.5793600270008028
3	5	critical	1.0	0.8	1	0.0	35	17	0.5796680740004376
3	5	supported	0.8	1.0	1	0.0	40	16	0.5799517310006195
3	5	combined	0.6	0.9	1	0.0	35	17	0.5802457080008026
4	0	uniform	1.0	1.0	0				0.5756263889998081
4	0	critical	1.0	0.8	0				0.5756565290002982
4	0	supported	0.8	1.0	0				0.5756682100000035
4	0	combined	0.6	0.9	0				0.5756778000004488
5	1	uniform	1.0	1.0	1	1.0	55	18	0.5719651419994989
5	1	critical	1.0	0.8	1	1.0	55	18	0.5720895750000636
5	1	supported	0.8	1.0	1	1.0	55	18	0.5721928479997587
5	1	combined	0.6	0.9	1	1.0	55	18	0.5722969500002364
6	0	uniform	1.0	1.0	0				0.578889925999647
6	0	critical	1.0	0.8	0				0.5789224969994393
6	0	supported	0.8	1.0	0				0.5789332869999271
6	0	combined	0.6	0.9	0				0.5789424069998859
7	1	uniform	1.0	1.0	1	1.0	53	18	0.5646178169999985
7	1	critical	1.0	0.8	1	1.0	53	18	0.5647398099999918
7	1	supported	0.8	1.0	1	1.0	53	18	0.5648430420005752
7	1	combined	0.6	0.9	1	1.0	53	18	0.5649473049998051
8	0	uniform	1.0	1.0	0				0.5675092060000679
8	0	critical	1.0	0.8	0				0.5675429670000085
8	0	supported	0.8	1.0	0				0.5675541770006021
8	0	combined	0.6	0.9	0				0.5675636770001802
9	0	uniform	1.0	1.0	0				0.5837911130001885
9	0	critical	1.0	0.8	0				0.5838253540005098
