seed	solutions	weighted_mass	iterations	converged	mean_edge_tv	max_edge_tv	mean_var_tv	max_var_tv	greedy_agreement
1	95	37.54151093634376	69	1	0.02599705988271715	0.0647939854510353	0.015309714598581424	0.04296818905082406	8
2	94	32.970091097960946	73	1	0.037413062102839234	0.09173611913596733	0.026978804691107916	0.05257103293508364	7
3	83	24.03693225787392	73	1	0.046598026437139776	0.1104437214105438	0.03934188223848669	0.09124857275834025	7
4	88	27.049543463632897	68	1	0.03287595134102285	0.07932023545149597	0.022850006032895283	0.04777421650665456	8
5	75	21.88697023217664	84	1	0.046634210412427164	0.11784539034715075	0.031245602468272314	0.08229458194791989	7
6	88	28.570727187873793	74	1	0.04643228921643291	0.09434966742828091	0.036716011082044545	0.07756416842854777	8
7	103	36.69248099303425	74	1	0.038658012384713655	0.09479222463643532	0.027520807730179377	0.054460777979669014	7
8	81	25.886607622373372	65	1	0.04448357947710966	0.11656575106680958	0.03210583598173714	0.057797722158869275	8
9	103	38.655514180347495	93	1	0.03620888486545179	0.07930499569158027	0.022637253917312947	0.04405371394192828	8
10	104	39.75956539929891	62	1	0.021731747124084336	0.057724602362851776	0.013261745595140298	0.02170726751930732	8
