# scorer=cert K=3 N=1000 M=4200 seed=1 r=0.9 theta=0 veto=0 dynamic_I_backtrack=0 eps=0.01 damp=0.5
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed
0,dec,1000,4200,6.350267755,0.006350267755,46,0,1,0
1,back,999,4196,6.35024708,0.00635024708,0,0,1,1
2,dec,1000,4200,6.350097616,0.006350097616,0,0,1,0
3,back,999,4191,6.35004061,0.00635004061,0,0,1,1
4,dec,1000,4200,6.350148912,0.006350148912,0,0,1,0
5,back,999,4196,6.350349647,0.006350349647,0,0,1,1
6,dec,1000,4200,6.350475261,0.006350475261,0,0,1,0
7,back,999,4191,6.350339487,0.006350339487,0,0,1,1
8,dec,1000,4200,6.349808684,0.006349808684,0,0,1,0
9,back,999,4196,6.348846156,0.006348846156,0,0,1,1
10,dec,1000,4200,6.347520379,0.006347520379,0,0,1,0
11,back,999,4191,6.34598113,0.00634598113,0,0,1,1
12,dec,1000,4200,6.344416186,0.006344416186,0,0,1,0
13,back,999,4196,6.343004261,0.006343004261,0,0,1,1
14,dec,1000,4200,6.341877607,0.006341877607,0,0,1,0
15,back,999,4191,6.341102157,0.006341102157,0,0,1,1
16,dec,1000,4200,6.340676568,0.006340676568,0,0,1,0
17,dec,999,4196,6.340546289,0.006340546289,0,0,1,1
18,back,998,4193,6.340625926,0.006340625926,0,0,1,2
19,dec,999,4196,6.340822832,0.006340822832,0,0,1,1
20,back,998,4187,6.341056406,0.006341056406,0,0,1,2
21,dec,999,4196,6.341269961,0.006341269961,0,0,1,1
22,back,998,4193,6.341434477,0.006341434477,0,0,1,2
23,dec,999,4196,6.341545448,0.006341545448,0,0,1,1
24,back,998,4187,6.341615264,0.006341615264,0,0,1,2
25,dec,999,4196,6.341663901,0.006341663901,0,0,1,1
26,back,998,4193,6.341710497,0.006341710497,0,0,1,2
27,dec,999,4196,6.341767569,0.006341767569,0,0,1,1
28,back,998,4187,6.341838661,0.006341838661,0,0,1,2
29,dec,999,4196,6.341919189,0.006341919189,0,0,1,1
30,back,998,4193,6.341999514,0.006341999514,0,0,1,2
31,dec,999,4196,6.342068903,0.006342068903,0,0,1,1
32,back,998,4187,6.342119074,0.006342119074,0,0,1,2
33,dec,999,4196,6.34214644,0.00634214644,0,0,1,1
34,back,998,4193,6.342152638,0.006342152638,0,0,1,2
35,dec,999,4196,6.342143542,0.006342143542,0,0,1,1
36,dec,998,4187,6.342127273,0.006342127273,0,0,1,2
37,back,997,4184,6.342111938,0.006342111938,0,0,1,3
38,dec,998,4187,6.34210373,0.00634210373,0,0,1,2
39,back,997,4184,6.342105812,0.006342105812,0,0,1,3
40,dec,998,4187,6.342118146,0.006342118146,0,0,1,2
41,back,997,4184,6.342138111,0.006342138111,0,0,1,3
42,dec,998,4187,6.342161622,0.006342161622,0,0,1,2
43,back,997,4184,6.342184365,0.006342184365,0,0,1,3
44,dec,998,4187,6.342202841,0.006342202841,0,0,1,2
45,back,997,4184,6.342214988,0.006342214988,0,0,1,3
46,dec,998,4187,6.342220343,0.006342220343,0,0,1,2
47,back,997,4184,6.342219796,0.006342219796,0,0,1,3
48,dec,998,4187,6.342215094,0.006342215094,0,0,1,2
49,back,997,4184,6.342208268,0.006342208268,0,0,1,3
50,dec,998,4187,6.342201135,0.006342201135,0,0,1,2
51,back,997,4184,6.342194984,0.006342194984,0,0,1,3
52,dec,998,4187,6.342190454,0.006342190454,0,0,1,2
53,back,997,4184,6.342187604,0.006342187604,0,0,1,3
54,dec,998,4187,6.342186089,0.006342186089,0,0,1,2
55,dec,997,4184,6.342185385,0.006342185385,0,0,1,3
56,back,996,4175,6.342147057,0.006342147057,2,0,0.9999632234,4
57,dec,997,4184,6.342180778,0.006342180778,2,0,0.9999632234,3
