START ALGORITHM:
I am going to build an instance with N: 300 variables and 1200 clauses with a clause density equal to 4
START DYNAMIC-I BSP WITH r=0.9:
Decimation scorer: cert
END UNIT PROPAGATION
300 1200 6.09755966 0.0203251989 4
300 1200 6.09736159 0.0203245386 4
300 1200 6.09732813 0.0203244271 4
300 1200 6.09730917 0.0203243639 4
300 1200 6.09730544 0.0203243515 4
300 1200 6.09730437 0.0203243479 4
300 1200 6.09730417 0.0203243472 4
300 1200 6.09730414 0.0203243471 4
300 1200 6.09730414 0.0203243471 4
299 1193 6.0936738 0.020312246 3.98996656
299 1193 6.09365937 0.0203121979 3.98996656
299 1193 6.0936609 0.020312203 3.98996656
299 1193 6.09366103 0.0203122034 3.98996656
299 1193 6.09366109 0.0203122036 3.98996656
299 1193 6.0936611 0.0203122037 3.98996656
299 1193 6.0936611 0.0203122037 3.98996656
299 1193 6.09366111 0.0203122037 3.98996656
299 1193 6.09366111 0.0203122037 3.98996656
299 1193 6.09366111 0.0203122037 3.98996656
298 1189 6.08870578 0.0202956859 3.98993289
298 1189 6.08870754 0.0202956918 3.98993289
298 1189 6.08869947 0.0202956649 3.98993289
298 1189 6.08870435 0.0202956812 3.98993289
298 1189 6.08870607 0.0202956869 3.98993289
298 1189 6.08870687 0.0202956896 3.98993289
298 1189 6.08870722 0.0202956907 3.98993289
298 1189 6.08870737 0.0202956912 3.98993289
298 1189 6.08870746 0.0202956915 3.98993289
298 1189 6.08870751 0.0202956917 3.98993289
297 1181 6.08137951 0.020271265 3.97643098
297 1181 6.08234777 0.0202744926 3.97643098
297 1181 6.08234401 0.02027448 3.97643098
297 1181 6.08234397 0.0202744799 3.97643098
297 1181 6.08234398 0.0202744799 3.97643098
297 1181 6.08234405 0.0202744802 3.97643098
297 1181 6.08234408 0.0202744803 3.97643098
297 1181 6.0823441 0.0202744803 3.97643098
297 1181 6.0823441 0.0202744803 3.97643098
297 1181 6.08234411 0.0202744804 3.97643098
296 1177 6.07814173 0.0202604724 3.97635135
296 1177 6.07814782 0.0202604927 3.97635135
296 1177 6.07814849 0.020260495 3.97635135
296 1177 6.07814821 0.020260494 3.97635135
296 1177 6.07814824 0.0202604941 3.97635135
296 1177 6.07814829 0.0202604943 3.97635135
296 1177 6.07814831 0.0202604944 3.97635135
296 1177 6.07814832 0.0202604944 3.97635135
296 1177 6.07814833 0.0202604944 3.97635135
296 1177 6.07814833 0.0202604944 3.97635135
295 1171 6.07145645 0.0202381882 3.96949153
295 1171 6.07143444 0.0202381148 3.96949153
295 1171 6.07141766 0.0202380589 3.96949153
295 1171 6.07143115 0.0202381038 3.96949153
295 1171 6.07143534 0.0202381178 3.96949153
