START ALGORITHM:
I am going to build an instance with N: 1000 variables and 9500 clauses with a clause density equal to 9.5
START DYNAMIC-I BSP WITH r=0.9:
Decimation scorer: cert
END UNIT PROPAGATION
1000 9500 20.2098296 0.0202098296 9.5
1000 9500 20.2093033 0.0202093033 9.5
1000 9500 20.2093532 0.0202093532 9.5
1000 9500 20.2093074 0.0202093074 9.5
1000 9500 20.209277 0.020209277 9.5
1000 9500 20.2092711 0.0202092711 9.5
1000 9500 20.209293 0.020209293 9.5
1000 9500 20.2093009 0.0202093009 9.5
1000 9500 20.2093046 0.0202093046 9.5
999 9468 20.2016135 0.0202016135 9.47747748
999 9468 20.2016571 0.0202016571 9.47747748
999 9468 20.2016664 0.0202016664 9.47747748
999 9468 20.2016614 0.0202016614 9.47747748
999 9468 20.2016583 0.0202016583 9.47747748
999 9468 20.201657 0.020201657 9.47747748
999 9468 20.2016562 0.0202016562 9.47747748
999 9468 20.2016562 0.0202016562 9.47747748
999 9468 20.2016564 0.0202016564 9.47747748
999 9468 20.2016565 0.0202016565 9.47747748
998 9440 20.180445 0.020180445 9.45891784
998 9440 20.180396 0.020180396 9.45891784
998 9440 20.1804729 0.0201804729 9.45891784
998 9440 20.1804777 0.0201804777 9.45891784
998 9440 20.1804782 0.0201804782 9.45891784
998 9440 20.1804812 0.0201804812 9.45891784
998 9440 20.1804821 0.0201804821 9.45891784
998 9440 20.1804822 0.0201804822 9.45891784
998 9440 20.1804825 0.0201804825 9.45891784
998 9440 20.1804824 0.0201804824 9.45891784
997 9414 20.1559259 0.0201559259 9.44232698
997 9414 20.1558533 0.0201558533 9.44232698
997 9414 20.1558271 0.0201558271 9.44232698
997 9414 20.1558523 0.0201558523 9.44232698
997 9414 20.1558624 0.0201558624 9.44232698
997 9414 20.1558624 0.0201558624 9.44232698
997 9414 20.1558621 0.0201558621 9.44232698
997 9414 20.1558618 0.0201558618 9.44232698
997 9414 20.1558623 0.0201558623 9.44232698
997 9414 20.1558624 0.0201558624 9.44232698
996 9385 20.1299882 0.0201299882 9.42269076
996 9385 20.129964 0.020129964 9.42269076
996 9385 20.129924 0.020129924 9.42269076
996 9385 20.1299339 0.0201299339 9.42269076
996 9385 20.1299265 0.0201299265 9.42269076
996 9385 20.1299278 0.0201299278 9.42269076
996 9385 20.1299279 0.0201299279 9.42269076
996 9385 20.1299286 0.0201299286 9.42269076
996 9385 20.1299285 0.0201299285 9.42269076
996 9385 20.1299285 0.0201299285 9.42269076
995 9358 20.1028224 0.0201028224 9.40502513
995 9358 20.1028048 0.0201028048 9.40502513
995 9358 20.1028656 0.0201028656 9.40502513
995 9358 20.1028794 0.0201028794 9.40502513
995 9358 20.1028776 0.0201028776 9.40502513
