# scorer=gamma:0.01 K=4 N=1000 M=9500 seed=3 r=0.9 theta=0 veto=0 dynamic_I_backtrack=0 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed
0,dec,1000,9500,24.91171414,0.02491171414,32,0,1,0
1,back,999,9465,24.89582985,0.02489582985,1,0,0.9838435979,1
2,dec,1000,9500,24.91180803,0.02491180803,1,0,0.9838435979,0
3,back,999,9465,24.89598405,0.02489598405,1,0,0.9836548837,1
4,dec,1000,9500,24.91191989,0.02491191989,1,0,0.9836548837,0
5,back,999,9465,24.89603962,0.02489603962,1,0,0.9836548837,1
6,dec,1000,9500,24.91194512,0.02491194512,1,0,0.9836548837,0
7,back,999,9465,24.89604147,0.02489604147,1,0,0.9836548837,1
8,dec,1000,9500,24.9119376,0.0249119376,1,0,0.9836548837,0
9,back,999,9465,24.8960476,0.0248960476,1,0,0.9836548837,1
10,dec,1000,9500,24.91193374,0.02491193374,1,0,0.9836548837,0
11,back,999,9465,24.89605015,0.02489605015,1,0,0.9836548837,1
12,dec,1000,9500,24.91193515,0.02491193515,1,0,0.9836548837,0
13,back,999,9465,24.89605118,0.02489605118,1,0,0.9836548837,1
14,dec,1000,9500,24.91193466,0.02491193466,1,0,0.9836548837,0
15,back,999,9465,24.89605177,0.02489605177,1,0,0.9836548837,1
16,dec,1000,9500,24.91193475,0.02491193475,1,0,0.9836548837,0
17,dec,999,9465,24.89605201,0.02489605201,1,0,0.9836548837,1
18,back,998,9433,24.87403137,0.02487403137,1,0,0.9775121519,2
19,dec,999,9465,24.89606576,0.02489606576,1,0,0.9775121519,1
20,back,998,9433,24.8741002,0.0248741002,1,0,0.9775121519,2
21,dec,999,9465,24.8960495,0.0248960495,1,0,0.9775121519,1
22,back,998,9433,24.87412408,0.02487412408,1,0,0.9775121519,2
23,dec,999,9465,24.8960535,0.0248960535,1,0,0.9775121519,1
24,back,998,9433,24.87413186,0.02487413186,1,0,0.9775121519,2
25,dec,999,9465,24.8960539,0.0248960539,1,0,0.9775121519,1
26,back,998,9433,24.87413947,0.02487413947,1,0,0.9775121519,2
27,dec,999,9465,24.89604981,0.02489604981,1,0,0.9775121519,1
28,back,998,9433,24.87414075,0.02487414075,1,0,0.9775121519,2
29,dec,999,9465,24.89604753,0.02489604753,1,0,0.9775121519,1
30,back,998,9433,24.87414102,0.02487414102,1,0,0.9775121519,2
31,dec,999,9465,24.89604633,0.02489604633,1,0,0.9775121519,1
32,back,998,9433,24.87414147,0.02487414147,1,0,0.9775121519,2
33,dec,999,9465,24.89604589,0.02489604589,1,0,0.9775121519,1
34,back,998,9433,24.87414172,0.02487414172,1,0,0.9775121519,2
35,dec,999,9465,24.89604575,0.02489604575,1,0,0.9775121519,1
36,dec,998,9433,24.87414186,0.02487414186,1,0,0.9775121519,2
37,back,997,9403,24.84276443,0.02484276443,1,0,0.9684971518,3
38,dec,998,9433,24.8742681,0.0248742681,1,0,0.9684971518,2
39,back,997,9403,24.84276919,0.02484276919,1,0,0.9682897909,3
40,dec,998,9433,24.87421601,0.02487421601,1,0,0.9682897909,2
41,back,997,9403,24.84275504,0.02484275504,1,0,0.968162772,3
42,dec,998,9433,24.87421336,0.02487421336,1,0,0.968162772,2
43,back,997,9403,24.84275288,0.02484275288,1,0,0.968162772,3
44,dec,998,9433,24.8742005,0.0248742005,1,0,0.968162772,2
45,back,997,9403,24.84274753,0.02484274753,1,0,0.968162772,3
46,dec,998,9433,24.87419911,0.02487419911,1,0,0.968162772,2
47,back,997,9403,24.84274787,0.02484274787,1,0,0.968162772,3
48,dec,998,9433,24.87419965,0.02487419965,1,0,0.968162772,2
49,back,997,9403,24.84274801,0.02484274801,1,0,0.968162772,3
50,dec,998,9433,24.87419914,0.02487419914,1,0,0.968162772,2
51,back,997,9403,24.84274736,0.02484274736,1,0,0.968162772,3
52,dec,998,9433,24.87419899,0.02487419899,1,0,0.968162772,2
53,back,997,9403,24.84274738,0.02484274738,1,0,0.968162772,3
54,dec,998,9433,24.87419893,0.02487419893,1,0,0.968162772,2
55,dec,997,9403,24.84274729,0.02484274729,1,0,0.968162772,3
56,back,996,9383,24.80804617,0.02480804617,1,0,0.9645159887,4
57,dec,997,9403,24.84278787,0.02484278787,1,0,0.9645159887,3
58,back,996,9383,24.80808538,0.02480808538,1,0,0.9644932766,4
59,dec,997,9403,24.84264075,0.02484264075,1,0,0.9644932766,3
60,back,996,9383,24.80807101,0.02480807101,1,0,0.9644932766,4
61,dec,997,9403,24.84261787,0.02484261787,1,0,0.9644932766,3
62,back,996,9383,24.80807244,0.02480807244,1,0,0.9644932766,4
63,dec,997,9403,24.84261183,0.02484261183,1,0,0.9644932766,3
64,back,996,9383,24.8080806,0.0248080806,1,0,0.9644932766,4
65,dec,997,9403,24.84261387,0.02484261387,1,0,0.9644932766,3
66,back,996,9383,24.80808315,0.02480808315,1,0,0.9644932766,4
67,dec,997,9403,24.84261291,0.02484261291,1,0,0.9644932766,3
68,back,996,9383,24.80808386,0.02480808386,1,0,0.9644932766,4
69,dec,997,9403,24.84261231,0.02484261231,1,0,0.9644932766,3
70,back,996,9383,24.80808417,0.02480808417,1,0,0.9644932766,4
71,dec,997,9403,24.84261179,0.02484261179,1,0,0.9644932766,3
72,back,996,9383,24.80808418,0.02480808418,1,0,0.9644932766,4
