# scorer=pol K=4 N=1000 M=9500 seed=2 r=0.9 theta=0 veto=0 dynamic_I_backtrack=0 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed
0,dec,1000,9500,21.25577316,0.02125577316,46,0,1,0
1,back,999,9469,21.24377945,0.02124377945,0,0,0.9612430993,1
2,dec,1000,9500,21.25607778,0.02125607778,0,0,0.9612430993,0
3,back,999,9469,21.24397539,0.02124397539,0,0,0.9612023311,1
4,dec,1000,9500,21.25624758,0.02125624758,0,0,0.9612023311,0
5,back,999,9469,21.24410155,0.02124410155,0,0,0.9612023311,1
6,dec,1000,9500,21.25633293,0.02125633293,0,0,0.9612023311,0
7,back,999,9469,21.24416249,0.02124416249,0,0,0.9611964442,1
8,dec,1000,9500,21.25638586,0.02125638586,0,0,0.9611964442,0
9,back,999,9469,21.24420044,0.02124420044,0,0,0.9611964442,1
10,dec,1000,9500,21.25641116,0.02125641116,0,0,0.9611964442,0
11,back,999,9469,21.24421786,0.02124421786,0,0,0.9611964442,1
12,dec,1000,9500,21.25642647,0.02125642647,0,0,0.9611964442,0
13,back,999,9469,21.24422643,0.02124422643,0,0,0.9611964442,1
14,dec,1000,9500,21.25642952,0.02125642952,0,0,0.9611964442,0
15,back,999,9469,21.24422762,0.02124422762,0,0,0.9611964442,1
16,dec,1000,9500,21.25642901,0.02125642901,0,0,0.9611964442,0
17,dec,999,9469,21.24422698,0.02124422698,0,0,0.9611964442,1
18,back,998,9441,21.22703306,0.02122703306,1,0,0.9543893551,2
19,dec,999,9469,21.24420815,0.02124420815,1,0,0.9543893551,1
20,back,998,9441,21.22703391,0.02122703391,1,0,0.9543893551,2
21,dec,999,9469,21.24421735,0.02124421735,1,0,0.9543893551,1
22,back,998,9441,21.2270229,0.0212270229,1,0,0.9543893551,2
23,dec,999,9469,21.24422855,0.02124422855,1,0,0.9543893551,1
24,back,998,9441,21.22702387,0.02122702387,1,0,0.9543893551,2
25,dec,999,9469,21.24423151,0.02124423151,1,0,0.9543893551,1
26,back,998,9441,21.22702477,0.02122702477,1,0,0.9543893551,2
27,dec,999,9469,21.24423051,0.02124423051,1,0,0.9543893551,1
28,back,998,9441,21.22702543,0.02122702543,1,0,0.9543893551,2
29,dec,999,9469,21.24423143,0.02124423143,1,0,0.9543893551,1
30,back,998,9441,21.22702568,0.02122702568,1,0,0.9543893551,2
31,dec,999,9469,21.24423134,0.02124423134,1,0,0.9543893551,1
32,back,998,9441,21.22702583,0.02122702583,1,0,0.9543893551,2
33,dec,999,9469,21.24423135,0.02124423135,1,0,0.9543893551,1
34,back,998,9441,21.22702581,0.02122702581,1,0,0.9543893551,2
35,dec,999,9469,21.24423134,0.02124423134,1,0,0.9543893551,1
36,dec,998,9441,21.2270258,0.0212270258,1,0,0.9543893551,2
37,back,997,9416,21.18945304,0.02118945304,1,0,0.9119305685,3
38,dec,998,9441,21.22704657,0.02122704657,1,0,0.9119305685,2
39,back,997,9416,21.18943373,0.02118943373,1,0,0.9119305685,3
40,dec,998,9441,21.22695626,0.02122695626,1,0,0.9119305685,2
41,back,997,9416,21.18935707,0.02118935707,1,0,0.9119305685,3
42,dec,998,9441,21.22700559,0.02122700559,1,0,0.9119305685,2
43,back,997,9416,21.18938665,0.02118938665,1,0,0.9119305685,3
44,dec,998,9441,21.22703467,0.02122703467,1,0,0.9119305685,2
45,back,997,9416,21.18939811,0.02118939811,1,0,0.9119305685,3
46,dec,998,9441,21.2270311,0.0212270311,1,0,0.9119305685,2
47,back,997,9416,21.18940192,0.02118940192,1,0,0.9119305685,3
48,dec,998,9441,21.22703056,0.02122703056,1,0,0.9119305685,2
49,back,997,9416,21.18940005,0.02118940005,1,0,0.9119305685,3
50,dec,998,9441,21.22703007,0.02122703007,1,0,0.9119305685,2
51,back,997,9416,21.18940018,0.02118940018,1,0,0.9119305685,3
52,dec,998,9441,21.22703059,0.02122703059,1,0,0.9119305685,2
53,back,997,9416,21.18940032,0.02118940032,1,0,0.9119305685,3
54,dec,998,9441,21.22703012,0.02122703012,1,0,0.9119305685,2
55,dec,997,9416,21.18940005,0.02118940005,1,0,0.9119305685,3
56,back,996,9395,21.1502221,0.0211502221,2,0,0.9106905323,4
57,dec,997,9416,21.18923861,0.02118923861,1,0,0.9106905323,3
58,back,996,9395,21.15032477,0.02115032477,1,0,0.9106905323,4
59,dec,997,9416,21.18944267,0.02118944267,1,0,0.9106905323,3
60,back,996,9395,21.15034829,0.02115034829,1,0,0.9106905323,4
61,dec,997,9416,21.18949338,0.02118949338,1,0,0.9106905323,3
62,back,996,9395,21.15039614,0.02115039614,1,0,0.9106905323,4
63,dec,997,9416,21.18953993,0.02118953993,1,0,0.9106905323,3
64,back,996,9395,21.15039942,0.02115039942,1,0,0.9106905323,4
65,dec,997,9416,21.18952617,0.02118952617,1,0,0.9106905323,3
66,back,996,9395,21.15039134,0.02115039134,1,0,0.9106905323,4
67,dec,997,9416,21.18952876,0.02118952876,1,0,0.9106905323,3
