dir	frac	feature	auc	n_fail	n_sat
soft-e0-k3-n300-a4.0	0.1	drop_max	0.4835	7	13
soft-e0-k3-n300-a4.0	0.1	rough_mean	0.4286	7	13
soft-e0-k3-n300-a4.0	0.1	eta_max	0.9176	7	13
soft-e0-k3-n300-a4.0	0.1	eta_last	0.6868	7	13
soft-e0-k3-n300-a4.0	0.1	sigma_frac	0.7582	7	13
soft-e0-k3-n300-a4.0	0.1	back_frac	0.4780	7	13
soft-e0-k3-n300-a4.0	0.1	slope	0.3846	7	13
soft-e0-k3-n300-a4.0	0.25	drop_max	0.5385	7	13
soft-e0-k3-n300-a4.0	0.25	rough_mean	0.4396	7	13
soft-e0-k3-n300-a4.0	0.25	eta_max	0.9176	7	13
soft-e0-k3-n300-a4.0	0.25	eta_last	0.8187	7	13
soft-e0-k3-n300-a4.0	0.25	sigma_frac	0.8462	7	13
soft-e0-k3-n300-a4.0	0.25	back_frac	0.6374	7	13
soft-e0-k3-n300-a4.0	0.25	slope	0.4396	7	13
soft-e0-k3-n300-a4.0	0.5	drop_max	0.4286	7	13
soft-e0-k3-n300-a4.0	0.5	rough_mean	0.4176	7	13
soft-e0-k3-n300-a4.0	0.5	eta_max	0.9176	7	13
soft-e0-k3-n300-a4.0	0.5	eta_last	0.7143	7	13
soft-e0-k3-n300-a4.0	0.5	sigma_frac	0.9121	7	13
soft-e0-k3-n300-a4.0	0.5	back_frac	0.3956	7	13
soft-e0-k3-n300-a4.0	0.5	slope	0.4945	7	13
soft-e0-k3-n300-a4.0	0.75	drop_max	0.4835	7	13
soft-e0-k3-n300-a4.0	0.75	rough_mean	0.4725	7	13
soft-e0-k3-n300-a4.0	0.75	eta_max	0.9176	7	13
soft-e0-k3-n300-a4.0	0.75	eta_last	0.7802	7	13
soft-e0-k3-n300-a4.0	0.75	sigma_frac	0.9231	7	13
soft-e0-k3-n300-a4.0	0.75	back_frac	0.8242	7	13
soft-e0-k3-n300-a4.0	0.75	slope	0.4945	7	13
soft-e0-k3-n300-a4.15	0.1	drop_max	0.6875	16	4
soft-e0-k3-n300-a4.15	0.1	rough_mean	0.6250	16	4
soft-e0-k3-n300-a4.15	0.1	eta_max	1.0000	16	4
soft-e0-k3-n300-a4.15	0.1	eta_last	0.8438	16	4
soft-e0-k3-n300-a4.15	0.1	sigma_frac	0.8438	16	4
soft-e0-k3-n300-a4.15	0.1	back_frac	0.3125	16	4
soft-e0-k3-n300-a4.15	0.1	slope	0.6719	16	4
soft-e0-k3-n300-a4.15	0.25	drop_max	0.8906	16	4
soft-e0-k3-n300-a4.15	0.25	rough_mean	0.7656	16	4
soft-e0-k3-n300-a4.15	0.25	eta_max	1.0000	16	4
soft-e0-k3-n300-a4.15	0.25	eta_last	0.5391	16	4
soft-e0-k3-n300-a4.15	0.25	sigma_frac	1.0000	16	4
soft-e0-k3-n300-a4.15	0.25	back_frac	0.6641	16	4
soft-e0-k3-n300-a4.15	0.25	slope	0.5938	16	4
soft-e0-k3-n300-a4.15	0.5	drop_max	0.9062	16	4
soft-e0-k3-n300-a4.15	0.5	rough_mean	0.9219	16	4
soft-e0-k3-n300-a4.15	0.5	eta_max	1.0000	16	4
soft-e0-k3-n300-a4.15	0.5	eta_last	0.6953	16	4
soft-e0-k3-n300-a4.15	0.5	sigma_frac	1.0000	16	4
soft-e0-k3-n300-a4.15	0.5	back_frac	0.3594	16	4
soft-e0-k3-n300-a4.15	0.5	slope	0.7031	16	4
soft-e0-k3-n300-a4.15	0.75	drop_max	0.9219	16	4
soft-e0-k3-n300-a4.15	0.75	rough_mean	0.8125	16	4
soft-e0-k3-n300-a4.15	0.75	eta_max	1.0000	16	4
soft-e0-k3-n300-a4.15	0.75	eta_last	0.5234	16	4
soft-e0-k3-n300-a4.15	0.75	sigma_frac	1.0000	16	4
soft-e0-k3-n300-a4.15	0.75	back_frac	0.1406	16	4
soft-e0-k3-n300-a4.15	0.75	slope	0.7500	16	4
