dir	frac	feature	auc	n_fail	n_sat
soft-e0-k4-n1000-a9.5	0.1	drop_max	0.2100	10	10
soft-e0-k4-n1000-a9.5	0.1	rough_mean	0.5100	10	10
soft-e0-k4-n1000-a9.5	0.1	eta_max	0.8200	10	10
soft-e0-k4-n1000-a9.5	0.1	eta_last	0.5000	10	10
soft-e0-k4-n1000-a9.5	0.1	sigma_frac	0.5800	10	10
soft-e0-k4-n1000-a9.5	0.1	back_frac	0.7000	10	10
soft-e0-k4-n1000-a9.5	0.1	slope	0.4700	10	10
soft-e0-k4-n1000-a9.5	0.25	drop_max	0.2900	10	10
soft-e0-k4-n1000-a9.5	0.25	rough_mean	0.4200	10	10
soft-e0-k4-n1000-a9.5	0.25	eta_max	0.8200	10	10
soft-e0-k4-n1000-a9.5	0.25	eta_last	0.4950	10	10
soft-e0-k4-n1000-a9.5	0.25	sigma_frac	0.5200	10	10
soft-e0-k4-n1000-a9.5	0.25	back_frac	0.6400	10	10
soft-e0-k4-n1000-a9.5	0.25	slope	0.3900	10	10
soft-e0-k4-n1000-a9.5	0.5	drop_max	0.3300	10	10
soft-e0-k4-n1000-a9.5	0.5	rough_mean	0.4000	10	10
soft-e0-k4-n1000-a9.5	0.5	eta_max	0.8200	10	10
soft-e0-k4-n1000-a9.5	0.5	eta_last	0.4750	10	10
soft-e0-k4-n1000-a9.5	0.5	sigma_frac	0.5800	10	10
soft-e0-k4-n1000-a9.5	0.5	back_frac	0.4500	10	10
soft-e0-k4-n1000-a9.5	0.5	slope	0.4300	10	10
soft-e0-k4-n1000-a9.5	0.75	drop_max	0.3300	10	10
soft-e0-k4-n1000-a9.5	0.75	rough_mean	0.4200	10	10
soft-e0-k4-n1000-a9.5	0.75	eta_max	0.8200	10	10
soft-e0-k4-n1000-a9.5	0.75	eta_last	0.5150	10	10
soft-e0-k4-n1000-a9.5	0.75	sigma_frac	0.6000	10	10
soft-e0-k4-n1000-a9.5	0.75	back_frac	0.4750	10	10
soft-e0-k4-n1000-a9.5	0.75	slope	0.4800	10	10
