# scorer=cert K=3 N=1000 M=4150 seed=2 r=0.9 theta=0 veto=0 dynamic_I_backtrack=0 lookahead_k=4 energy=hybrid eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed
0,dec,1000,4150,16.70647842,0.01670647842,45,0,1,0
1,back,999,4144,16.70656146,0.01670656146,0,0,1,1
2,dec,1000,4150,16.70646743,0.01670646743,0,0,1,0
3,back,999,4143,16.7065433,0.0167065433,0,0,1,1
4,dec,1000,4150,16.70647136,0.01670647136,0,0,1,0
5,back,999,4143,16.70645152,0.01670645152,0,0,1,1
6,dec,1000,4150,16.70644698,0.01670644698,0,0,1,0
7,back,999,4144,16.70644496,0.01670644496,0,0,1,1
8,dec,1000,4150,16.70645978,0.01670645978,0,0,1,0
9,back,999,4143,16.70645567,0.01670645567,0,0,1,1
10,dec,1000,4150,16.70645919,0.01670645919,0,0,1,0
11,back,999,4143,16.70647388,0.01670647388,0,0,1,1
12,dec,1000,4150,16.70647855,0.01670647855,0,0,1,0
13,back,999,4144,16.70648183,0.01670648183,0,0,1,1
14,dec,1000,4150,16.70648825,0.01670648825,0,0,1,0
15,back,999,4143,16.70649126,0.01670649126,0,0,1,1
16,dec,1000,4150,16.7064948,0.0167064948,0,0,1,0
17,dec,999,4144,16.7064975,0.0167064975,0,0,1,1
18,back,998,4137,16.70649913,0.01670649913,0,0,1,2
19,dec,999,4144,16.70650077,0.01670650077,0,0,1,1
20,back,998,4137,16.70650206,0.01670650206,0,0,1,2
21,dec,999,4144,16.70650307,0.01670650307,0,0,1,1
22,back,998,4137,16.70650422,0.01670650422,0,0,1,2
23,dec,999,4144,16.70650499,0.01670650499,0,0,1,1
24,back,998,4137,16.70650569,0.01670650569,0,0,1,2
25,dec,999,4144,16.70650626,0.01670650626,0,0,1,1
26,back,998,4137,16.70650673,0.01670650673,0,0,1,2
27,dec,999,4144,16.7065071,0.0167065071,0,0,1,1
28,back,998,4137,16.70650738,0.01670650738,0,0,1,2
29,dec,999,4144,16.70650758,0.01670650758,0,0,1,1
30,back,998,4137,16.70650777,0.01670650777,0,0,1,2
31,dec,999,4144,16.7065079,0.0167065079,0,0,1,1
32,back,998,4137,16.706508,0.016706508,0,0,1,2
33,dec,999,4144,16.70650809,0.01670650809,0,0,1,1
34,back,998,4137,16.70650815,0.01670650815,0,0,1,2
35,dec,999,4144,16.7065082,0.0167065082,0,0,1,1
36,dec,998,4137,16.70650824,0.01670650824,0,0,1,2
37,back,997,4125,16.70583485,0.01670583485,1,0,0.9993268376,3
38,dec,998,4137,16.70650808,0.01670650808,1,0,0.9993268376,2
39,back,997,4125,16.70583503,0.01670583503,1,0,0.9993267311,3
40,dec,998,4137,16.70650809,0.01670650809,1,0,0.9993267311,2
41,back,997,4125,16.70583491,0.01670583491,1,0,0.9993267311,3
42,dec,998,4137,16.70650798,0.01670650798,1,0,0.9993267311,2
43,back,997,4125,16.70583494,0.01670583494,1,0,0.9993267311,3
44,dec,998,4137,16.70650799,0.01670650799,1,0,0.9993267311,2
45,back,997,4125,16.70583493,0.01670583493,1,0,0.9993267311,3
46,dec,998,4137,16.70650799,0.01670650799,1,0,0.9993267311,2
47,back,997,4125,16.70583492,0.01670583492,1,0,0.9993267311,3
48,dec,998,4137,16.70650799,0.01670650799,1,0,0.9993267311,2
49,back,997,4125,16.70583492,0.01670583492,1,0,0.9993267311,3
50,dec,998,4137,16.70650799,0.01670650799,1,0,0.9993267311,2
51,back,997,4125,16.70583491,0.01670583491,1,0,0.9993267311,3
52,dec,998,4137,16.70650798,0.01670650798,1,0,0.9993267311,2
53,back,997,4125,16.70583492,0.01670583492,1,0,0.9993267311,3
