# scorer=cert energy=sigma K=3 N=1000 M=4150 seed=1 r=0.9 lookahead_k=4
step,vertex,dir,converged,sigma_after,eta_after,chosen
0,421,1,1,9.53382029,1,0
0,421,0,1,8.860015741,16,0
0,697,0,1,9.53382029,1,0
0,697,1,1,8.389848373,22,0
0,579,1,1,9.53382029,1,1
0,579,0,1,8.694061582,20,0
0,55,0,1,9.53376641,1,0
0,55,1,1,8.235557254,24,0
2,421,1,1,9.533197475,0,0
2,421,0,1,8.859859544,16,0
2,579,1,1,9.533197475,0,1
2,579,0,1,8.6940646,20,0
2,697,0,1,9.533197475,0,0
2,697,1,1,8.389751768,22,0
2,55,0,1,9.532743322,1,0
2,55,1,1,8.235652866,24,0
4,421,1,1,9.533033203,0,0
4,421,0,1,8.8597848,16,0
4,579,1,1,9.533033203,0,0
4,579,0,1,8.693989138,20,0
4,697,0,1,9.533033203,0,0
4,697,1,1,8.38973001,22,0
4,55,0,1,9.533222268,1,1
4,55,1,1,8.235665937,24,0
6,421,1,1,9.532967679,0,0
6,421,0,1,8.859954011,16,0
6,579,1,1,9.532967679,0,0
6,579,0,1,8.694158264,20,0
6,697,0,1,9.532967679,0,0
6,697,1,1,8.389732169,22,0
6,55,0,1,9.533080261,1,1
6,55,1,1,8.235652293,24,0
8,421,1,1,9.533149918,0,1
8,421,0,1,8.859917905,16,0
8,579,1,1,9.533149918,0,0
8,579,0,1,8.694037939,20,0
8,697,0,1,9.533149918,0,0
8,697,1,1,8.389772033,22,0
8,55,0,1,9.53310034,1,0
8,55,1,1,8.235614861,24,0
10,579,1,1,9.533113857,0,0
10,579,0,1,8.694000182,20,0
10,421,1,1,9.533113857,0,1
10,421,0,1,8.859901604,16,0
10,697,0,1,9.533113857,0,0
10,697,1,1,8.389741359,22,0
10,55,0,1,9.533035902,1,0
10,55,1,1,8.235615483,24,0
12,579,1,1,9.533137873,0,1
12,579,0,1,8.694029362,20,0
12,421,1,1,9.533137873,0,0
12,421,0,1,8.859857132,16,0
12,697,0,1,9.533137873,0,0
12,697,1,1,8.389723724,22,0
12,55,0,1,9.533093956,1,0
12,55,1,1,8.235667753,24,0
14,421,1,1,9.533151093,0,1
14,421,0,1,8.859895039,16,0
14,579,1,1,9.533151093,0,0
14,579,0,1,8.694084657,20,0
14,697,0,1,9.533151093,0,0
14,697,1,1,8.389715653,22,0
14,55,0,1,9.533078838,1,0
14,55,1,1,8.235661556,24,0
16,579,1,1,9.533124178,0,0
16,579,0,1,8.694076887,20,0
16,421,1,1,9.533124178,0,1
16,421,0,1,8.859902807,16,0
16,697,0,1,9.533124178,0,0
16,697,1,1,8.389742076,22,0
16,55,0,1,9.533065119,1,0
16,55,1,1,8.235620641,24,0
17,697,0,1,9.533119988,0,0
17,697,1,1,8.389749167,22,0
17,579,1,1,9.533119988,0,1
17,579,0,1,8.694055213,20,0
17,55,0,1,9.533086416,1,0
17,55,1,1,8.23561875,24,0
17,770,1,1,9.532486097,1,0
17,770,0,1,8.132246275,24,0
19,697,0,1,9.533136392,0,0
19,697,1,1,8.389756516,22,0
19,579,1,1,9.533136392,0,1
19,579,0,1,8.694051322,20,0
19,55,0,1,9.533085285,1,0
19,55,1,1,8.235612392,24,0
19,770,1,1,9.532483884,1,0
19,770,0,1,8.132238086,24,0
21,697,0,1,9.533132891,0,0
21,697,1,1,8.389753011,22,0
