# scorer=cert K=3 N=1000 M=4150 seed=2 r=0.9 theta=0 veto=0 dynamic_I_backtrack=0 temp=0.01 shortlist=10 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed
0,dec,1000,4150,16.70647842,0.01670647842,45,0,1,0
1,back,999,4143,16.70204979,0.01670204979,1,0,0.9955966075,1
2,dec,1000,4150,16.70646477,0.01670646477,1,0,0.9955966075,0
3,back,999,4141,16.7023707,0.0167023707,1,0,0.9955966075,1
4,dec,1000,4150,16.70644246,0.01670644246,1,0,0.9955966075,0
5,back,999,4144,16.70645271,0.01670645271,0,0,0.9955966075,1
6,dec,1000,4150,16.706449,0.016706449,0,0,0.9955966075,0
7,back,999,4138,16.70580086,0.01670580086,1,0,0.9955966075,1
8,dec,1000,4150,16.70648245,0.01670648245,1,0,0.9955966075,0
9,back,999,4143,16.70648923,0.01670648923,0,0,0.9955966075,1
10,dec,1000,4150,16.70649261,0.01670649261,0,0,0.9955966075,0
11,back,999,4138,16.70329701,0.01670329701,0,0,0.9955966075,1
12,dec,1000,4150,16.70649515,0.01670649515,0,0,0.9955966075,0
13,back,999,4144,16.70431522,0.01670431522,1,0,0.9955966075,1
14,dec,1000,4150,16.70650214,0.01670650214,1,0,0.9955966075,0
15,back,999,4141,16.70234102,0.01670234102,1,0,0.9955966075,1
16,dec,1000,4150,16.70650829,0.01670650829,1,0,0.9955966075,0
17,dec,999,4144,16.70431192,0.01670431192,1,0,0.9955966075,1
18,back,998,4132,16.70364152,0.01670364152,1,0,0.9955966075,2
19,dec,999,4138,16.70583471,0.01670583471,1,0,0.9955966075,1
20,back,998,4131,16.70141789,0.01670141789,1,0,0.9955711341,2
21,dec,999,4138,16.70584008,0.01670584008,1,0,0.9955711341,1
22,back,998,4130,16.70179792,0.01670179792,1,0,0.9955711341,2
23,dec,999,4138,16.70584669,0.01670584669,1,0,0.9955711341,1
24,back,998,4133,16.69997836,0.01669997836,1,0,0.9941832849,2
25,dec,999,4138,16.70585166,0.01670585166,1,0,0.9941832849,1
26,back,998,4131,16.70143941,0.01670143941,1,0,0.9941832849,2
27,dec,999,4138,16.7058443,0.0167058443,1,0,0.9941832849,1
28,back,998,4130,16.70069573,0.01670069573,2,0,0.9941832849,2
29,dec,999,4138,16.70584652,0.01670584652,2,0,0.9941832849,1
30,back,998,4130,16.70179032,0.01670179032,1,0,0.9941832849,2
31,dec,999,4138,16.70584341,0.01670584341,1,0,0.9941832849,1
32,back,998,4132,16.70583129,0.01670583129,0,0,0.9941832849,2
33,dec,999,4144,16.70650844,0.01670650844,1,0,0.9941832849,1
34,back,998,4132,16.70329483,0.01670329483,0,0,0.9941832849,2
35,dec,999,4144,16.70650999,0.01670650999,0,0,0.9941832849,1
36,dec,998,4136,16.70136628,0.01670136628,2,0,0.9941832849,2
37,back,997,4126,16.69626233,0.01669626233,1,0,0.9941832849,3
38,dec,998,4134,16.7014109,0.0167014109,2,0,0.9941832849,2
39,back,997,4126,16.69736443,0.01669736443,1,0,0.9941832849,3
40,dec,998,4136,16.70246116,0.01670246116,1,0,0.9941832849,2
41,back,997,4129,16.70245744,0.01670245744,0,0,0.9941832849,3
42,dec,998,4137,16.70650187,0.01670650187,1,0,0.9941832849,2
43,back,997,4130,16.70210211,0.01670210211,1,0,0.9941832849,3
44,dec,998,4137,16.70651267,0.01670651267,1,0,0.9941832849,2
45,back,997,4130,16.7021035,0.0167021035,1,0,0.9941832849,3
46,dec,998,4137,16.706508,0.016706508,1,0,0.9941832849,2
47,back,997,4129,16.70246825,0.01670246825,1,0,0.9941832849,3
48,dec,998,4137,16.70651833,0.01670651833,1,0,0.9941832849,2
49,back,997,4127,16.70139946,0.01670139946,1,0,0.9941832849,3
50,dec,998,4137,16.70650933,0.01670650933,1,0,0.9941832849,2
51,back,997,4131,16.70431765,0.01670431765,1,0,0.9941832849,3
52,dec,998,4137,16.70651036,0.01670651036,1,0,0.9941832849,2
53,back,997,4130,16.70209478,0.01670209478,1,0,0.9941832849,3
54,dec,998,4137,16.70651545,0.01670651545,1,0,0.9941832849,2
55,dec,997,4128,16.70232419,0.01670232419,1,0,0.9941832849,3
56,back,996,4116,16.70166373,0.01670166373,1,0,0.9941832849,4
57,dec,997,4125,16.7058385,0.0167058385,1,0,0.9941832849,3
58,back,996,4117,16.70179867,0.01670179867,1,0,0.9941832849,4
59,dec,997,4125,16.70583999,0.01670583999,1,0,0.9941832849,3
60,back,996,4116,16.70166656,0.01670166656,1,0,0.9941832849,4
61,dec,997,4125,16.70583516,0.01670583516,1,0,0.9941832849,3
62,back,996,4120,16.69997305,0.01669997305,1,0,0.9941832849,4
63,dec,997,4125,16.70584875,0.01670584875,1,0,0.9941832849,3
64,back,996,4117,16.7018071,0.0167018071,1,0,0.9941832849,4
65,dec,997,4125,16.70583589,0.01670583589,1,0,0.9941832849,3
66,back,996,4115,16.70072547,0.01670072547,1,0,0.9941832849,4
67,dec,997,4125,16.70583666,0.01670583666,1,0,0.9941832849,3
68,back,996,4119,16.69996404,0.01669996404,2,0,0.9941211958,4
69,dec,997,4125,16.70583774,0.01670583774,2,0,0.9941211958,3
70,back,996,4119,16.69996757,0.01669996757,2,0,0.9941211958,4
71,dec,997,4125,16.70583473,0.01670583473,2,0,0.9941211958,3
