# scorer=cert K=3 N=1000 M=4150 seed=4 r=0.9 theta=0 veto=0 dynamic_I_backtrack=0 temp=0 shortlist=10 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed
0,dec,1000,4150,12.94935474,0.01294935474,54,0,1,0
1,back,999,4142,12.94920963,0.01294920963,0,0,1,1
2,dec,1000,4150,12.9491343,0.0129491343,0,0,1,0
3,back,999,4144,12.94932342,0.01294932342,0,0,1,1
4,dec,1000,4150,12.9490172,0.0129490172,0,0,1,0
5,back,999,4142,12.9491917,0.0129491917,0,0,1,1
6,dec,1000,4150,12.94922292,0.01294922292,0,0,1,0
7,back,999,4144,12.94912656,0.01294912656,0,0,1,1
8,dec,1000,4150,12.94920697,0.01294920697,0,0,1,0
9,back,999,4142,12.94915336,0.01294915336,0,0,1,1
10,dec,1000,4150,12.94914673,0.01294914673,0,0,1,0
11,back,999,4144,12.94916294,0.01294916294,0,0,1,1
12,dec,1000,4150,12.94915933,0.01294915933,0,0,1,0
13,back,999,4142,12.94917408,0.01294917408,0,0,1,1
14,dec,1000,4150,12.94915604,0.01294915604,0,0,1,0
15,back,999,4144,12.94916804,0.01294916804,0,0,1,1
16,dec,1000,4150,12.94915998,0.01294915998,0,0,1,0
17,dec,999,4142,12.9491627,0.0129491627,0,0,1,1
18,back,998,4137,12.949171,0.012949171,0,0,1,2
19,dec,999,4142,12.94916064,0.01294916064,0,0,1,1
20,back,998,4136,12.94916613,0.01294916613,0,0,1,2
21,dec,999,4142,12.94916435,0.01294916435,0,0,1,1
22,back,998,4137,12.94916329,0.01294916329,0,0,1,2
23,dec,999,4142,12.94916536,0.01294916536,0,0,1,1
24,back,998,4136,12.9491634,0.0129491634,0,0,1,2
25,dec,999,4142,12.94916434,0.01294916434,0,0,1,1
26,back,998,4137,12.94916359,0.01294916359,0,0,1,2
27,dec,999,4142,12.94916412,0.01294916412,0,0,1,1
28,back,998,4136,12.9491641,0.0129491641,0,0,1,2
29,dec,999,4142,12.94916393,0.01294916393,0,0,1,1
30,back,998,4137,12.94916441,0.01294916441,0,0,1,2
31,dec,999,4142,12.94916386,0.01294916386,0,0,1,1
32,back,998,4136,12.94916417,0.01294916417,0,0,1,2
33,dec,999,4142,12.94916414,0.01294916414,0,0,1,1
34,back,998,4137,12.94916404,0.01294916404,0,0,1,2
35,dec,999,4142,12.94916417,0.01294916417,0,0,1,1
36,dec,998,4136,12.94916405,0.01294916405,0,0,1,2
