# scorer=cert energy=eta K=3 N=1000 M=4200 seed=1 r=0.9 lookahead_k=4
step,vertex,dir,converged,sigma_after,eta_after,chosen,h
0,421,1,1,6.342211518,0,0,1
0,421,0,1,5.702926481,19,0,1
0,579,1,1,6.342211518,0,0,1
0,579,0,1,5.311232821,28,0,1
0,697,0,1,6.342211518,0,1,1
0,697,1,1,5.143702417,23,0,1
0,55,0,1,6.342155384,1,0,1
0,55,1,1,5.005221225,30,0,1
2,421,1,1,6.341978301,0,1,1
2,421,0,1,5.703019039,19,0,1
2,697,0,1,6.341978301,0,0,1
2,697,1,1,5.144680631,25,0,1
2,579,1,1,6.341978301,0,0,1
2,579,0,1,5.31115858,28,0,1
2,55,0,1,6.342008233,1,0,1
2,55,1,1,5.00526939,30,0,1
4,697,0,1,6.342178947,0,0,1
4,697,1,1,5.143653729,23,0,1
4,421,1,1,6.342178947,0,1,1
4,421,0,1,5.703710066,18,0,1
4,579,1,1,6.342178947,0,0,1
4,579,0,1,5.311117001,28,0,1
4,55,0,1,6.342276822,1,0,1
4,55,1,1,5.005247154,30,0,1
6,697,0,1,6.342119977,0,0,1
6,697,1,1,5.143719653,23,0,1
6,421,1,1,6.342119977,0,1,1
6,421,0,1,5.703032181,19,0,1
6,579,1,1,6.342119977,0,0,1
6,579,0,1,5.311239429,28,0,1
6,55,0,1,6.34218016,1,0,1
6,55,1,1,5.006049411,28,0,1
8,697,0,1,6.342288203,0,1,1
8,697,1,1,5.143683519,23,0,1
8,421,1,1,6.342288203,0,0,1
8,421,0,1,5.70375135,18,0,1
8,579,1,1,6.342288203,0,0,1
8,579,0,1,5.31118541,28,0,1
8,55,0,1,6.342107967,1,0,1
8,55,1,1,5.005070287,30,0,1
10,421,1,1,6.342059159,0,0,1
10,421,0,1,5.703761992,18,0,1
10,697,0,1,6.342059159,0,0,1
10,697,1,1,5.144664998,25,0,1
10,579,1,1,6.342059159,0,1,1
10,579,0,1,5.311206334,28,0,1
10,55,0,1,6.342140008,1,0,1
10,55,1,1,5.00520093,30,0,1
12,421,1,1,6.34222483,0,1,1
12,421,0,1,5.703809959,18,0,1
12,579,1,1,6.34222483,0,0,1
12,579,0,1,5.311225552,28,0,1
12,697,0,1,6.34222483,0,0,1
12,697,1,1,5.143625049,23,0,1
12,55,0,1,6.342143828,1,0,1
12,55,1,1,5.005244801,30,0,1
14,579,1,1,6.34216368,0,1,1
14,579,0,1,5.311171989,28,0,1
14,421,1,1,6.34216368,0,0,1
14,421,0,1,5.703015206,19,0,1
14,697,0,1,6.34216368,0,0,1
14,697,1,1,5.143708528,23,0,1
14,55,0,1,6.342113237,1,0,1
14,55,1,1,5.005222882,30,0,1
16,421,1,1,6.342160864,0,0,1
16,421,0,1,5.702998394,19,0,1
16,579,1,1,6.342160864,0,1,1
16,579,0,1,5.311188161,28,0,1
16,697,0,1,6.342160864,0,0,1
16,697,1,1,5.143701828,23,0,1
16,55,0,1,6.342141593,1,0,1
16,55,1,1,5.005173342,30,0,1
17,697,0,1,6.342178091,0,1,1
17,697,1,1,5.143694718,23,0,1
17,421,1,1,6.342178091,0,0,1
17,421,0,1,5.703733232,18,0,1
17,55,0,1,6.342141913,1,0,1
17,55,1,1,5.005164436,30,0,1
17,770,1,1,6.341765174,1,0,1
17,770,0,1,4.787549996,28,0,1
19,421,1,1,6.342168811,0,0,1
19,421,0,1,5.703023674,19,0,1
19,697,0,1,6.342168811,0,1,1
19,697,1,1,5.143680076,23,0,1
19,55,0,1,6.34214877,1,0,1
19,55,1,1,5.005130494,30,0,1
19,770,1,1,6.341770778,1,0,1
19,770,0,1,4.787530023,28,0,1
21,421,1,1,6.342175813,0,1,1
21,421,0,1,5.703748887,18,0,1
21,697,0,1,6.342175813,0,0,1
21,697,1,1,5.143653617,23,0,1
21,55,0,1,6.342125892,1,0,1
21,55,1,1,5.005173145,30,0,1
21,770,1,1,6.341747792,1,0,1
21,770,0,1,4.787518855,28,0,1
23,697,0,1,6.342168622,0,1,1
23,697,1,1,5.14364669,23,0,1
23,421,1,1,6.342168622,0,0,1
23,421,0,1,5.703765948,18,0,1
23,55,0,1,6.342141576,1,0,1
23,55,1,1,5.005204164,30,0,1
23,770,1,1,6.341765119,1,0,1
23,770,0,1,4.787524676,28,0,1
25,421,1,1,6.342176951,0,0,1
25,421,0,1,5.703023728,19,0,1
25,697,0,1,6.342176951,0,1,1
25,697,1,1,5.14366503,23,0,1
25,55,0,1,6.342129053,1,0,1
25,55,1,1,5.005205011,30,0,1
25,770,1,1,6.341752198,1,0,1
25,770,0,1,4.787529239,28,0,1
27,421,1,1,6.342165038,0,1,1
27,421,0,1,5.703021594,19,0,1
27,697,0,1,6.342165038,0,0,1
27,697,1,1,5.143693903,23,0,1
27,55,0,1,6.342137064,1,0,1
27,55,1,1,5.00518651,30,0,1
27,770,1,1,6.341760086,1,0,1
27,770,0,1,4.787537039,28,0,1
29,697,0,1,6.342178049,0,0,1
29,697,1,1,5.143694589,23,0,1
29,421,1,1,6.342178049,0,1,1
29,421,0,1,5.703742438,18,0,1
29,55,0,1,6.342136029,1,0,1
29,55,1,1,5.00515968,30,0,1
29,770,1,1,6.341759251,1,0,1
29,770,0,1,4.787538033,28,0,1
31,697,0,1,6.342170982,0,1,1
31,697,1,1,5.14366253,23,0,1
31,421,1,1,6.342170982,0,0,1
31,421,0,1,5.703730912,18,0,1
31,55,0,1,6.342134542,1,0,1
31,55,1,1,5.005159999,30,0,1
31,770,1,1,6.341756902,1,0,1
31,770,0,1,4.787532214,28,0,1
33,421,1,1,6.342171597,0,1,1
33,421,0,1,5.703040659,19,0,1
33,697,0,1,6.342171597,0,0,1
33,697,1,1,5.143667383,23,0,1
33,55,0,1,6.342134317,1,0,1
33,55,1,1,5.005183315,30,0,1
33,770,1,1,6.341757039,1,0,1
33,770,0,1,4.787530129,28,0,1
35,697,0,1,6.342172476,0,0,1
35,697,1,1,5.143676228,23,0,1
35,421,1,1,6.342172476,0,1,1
35,421,0,1,5.703032288,19,0,1
35,55,0,1,6.342137663,1,0,1
35,55,1,1,5.005193895,30,0,1
35,770,1,1,6.341760493,1,0,1
35,770,0,1,4.787526409,28,0,1
36,697,0,1,6.342174099,0,1,1
36,697,1,1,5.143669692,23,0,1
36,55,0,1,6.342136366,1,0,1
36,55,1,1,5.005192359,30,0,1
36,770,1,1,6.341759107,1,0,1
36,770,0,1,4.78753136,28,0,1
36,69,1,1,6.341120794,1,0,1
36,69,0,1,4.168313444,37,0,1
38,697,0,1,6.342170894,0,1,1
38,697,1,1,5.143679534,23,0,1
38,55,0,1,6.342133742,1,0,1
38,55,1,1,5.005187541,30,0,1
38,770,1,1,6.341756507,1,0,1
38,770,0,1,4.787533086,28,0,1
38,69,1,1,6.341119474,1,0,1
38,69,0,1,4.168313803,37,0,1
40,697,0,1,6.342171901,0,1,1
40,697,1,1,5.143686611,23,0,1
40,55,0,1,6.342136733,1,0,1
40,55,1,1,5.005174976,30,0,1
40,770,1,1,6.341759727,1,0,1
40,770,0,1,4.787532951,28,0,1
40,69,1,1,6.341122668,1,0,1
40,69,0,1,4.168307939,37,0,1
42,697,0,1,6.342172546,0,1,1
42,697,1,1,5.143673301,23,0,1
42,55,0,1,6.342134941,1,0,1
42,55,1,1,5.005168748,30,0,1
42,770,1,1,6.341757656,1,0,1
42,770,0,1,4.787531413,28,0,1
42,69,1,1,6.341120453,1,0,1
42,69,0,1,4.168306679,37,0,1
44,697,0,1,6.342171862,0,1,1
44,697,1,1,5.143666472,23,0,1
44,55,0,1,6.342135581,1,0,1
44,55,1,1,5.005177237,30,0,1
44,770,1,1,6.341758228,1,0,1
44,770,0,1,4.787530638,28,0,1
44,69,1,1,6.341120949,1,0,1
44,69,0,1,4.168308833,37,0,1
46,697,0,1,6.342171979,0,1,1
46,697,1,1,5.143669557,23,0,1
46,55,0,1,6.342135571,1,0,1
46,55,1,1,5.00518658,30,0,1
46,770,1,1,6.341758302,1,0,1
46,770,0,1,4.787530118,28,0,1
46,69,1,1,6.341120506,1,0,1
46,69,0,1,4.168310837,37,0,1
48,697,0,1,6.342172122,0,1,1
48,697,1,1,5.143677937,23,0,1
48,55,0,1,6.342135601,1,0,1
48,55,1,1,5.00518516,30,0,1
48,770,1,1,6.341758392,1,0,1
48,770,0,1,4.787529836,28,0,1
48,69,1,1,6.341120633,1,0,1
48,69,0,1,4.168311891,37,0,1
50,697,0,1,6.34217182,0,1,1
50,697,1,1,5.143677267,23,0,1
50,55,0,1,6.342135355,1,0,1
50,55,1,1,5.00517963,30,0,1
50,770,1,1,6.341758068,1,0,1
50,770,0,1,4.787530947,28,0,1
50,69,1,1,6.341120716,1,0,1
50,69,0,1,4.168310683,37,0,1
52,697,0,1,6.342172079,0,1,1
52,697,1,1,5.143674678,23,0,1
52,55,0,1,6.342135797,1,0,1
52,55,1,1,5.005176952,30,0,1
52,770,1,1,6.341758512,1,0,1
52,770,0,1,4.787533558,28,0,1
52,69,1,1,6.341121321,1,0,1
52,69,0,1,4.1683097,37,0,1
54,697,0,1,6.34217203,0,1,1
54,697,1,1,5.143673896,23,0,1
54,55,0,1,6.342135351,1,0,1
54,55,1,1,5.0051766,30,0,1
54,770,1,1,6.341758042,1,0,1
54,770,0,1,4.787531794,28,0,1
54,69,1,1,6.341120854,1,0,1
54,69,0,1,4.168308308,37,0,1
55,55,0,1,6.342135394,1,0,1
55,55,1,1,5.005176677,30,0,1
55,770,1,1,6.341758064,1,0,1
55,770,0,1,4.787530378,28,0,1
55,69,1,1,6.341120726,1,0,1
55,69,0,1,4.168307982,37,0,1
55,236,0,1,6.340918584,0,1,1
55,236,1,1,-0.2076641155,59,0,1
57,55,0,1,6.342135679,1,0,1
57,55,1,1,5.005183302,30,0,1
57,770,1,1,6.341758481,1,0,1
57,770,0,1,4.787531849,28,0,1
57,69,1,1,6.341121065,1,0,1
57,69,0,1,4.168312,37,0,1
57,236,0,1,6.340919459,0,1,1
57,236,1,1,-0.2076638814,59,0,1
59,55,0,1,6.34213534,1,0,1
59,55,1,1,5.005185936,30,0,1
59,770,1,1,6.341758173,1,0,1
59,770,0,1,4.787532704,28,0,1
59,69,1,1,6.341120801,1,0,1
59,69,0,1,4.168313384,37,0,1
59,236,0,1,6.34091909,0,1,1
59,236,1,1,-0.2076630926,59,0,1
61,55,0,1,6.342135886,1,0,1
61,55,1,1,5.005182197,30,0,1
61,770,1,1,6.341758795,1,0,1
61,770,0,1,4.787532749,28,0,1
61,69,1,1,6.341121783,1,0,1
61,69,0,1,4.168311079,37,0,1
61,236,0,1,6.340919197,0,1,1
61,236,1,1,-0.2076628974,59,0,1
63,55,0,1,6.342136351,1,0,1
63,55,1,1,5.005180839,30,0,1
63,770,1,1,6.3417594,1,0,1
63,770,0,1,4.787534694,28,0,1
63,69,1,1,6.341122233,1,0,1
63,69,0,1,4.168309464,37,0,1
63,236,0,1,6.340919652,0,1,1
63,236,1,1,-0.2076637304,59,0,1
65,55,0,1,6.342135909,1,0,1
65,55,1,1,5.005179412,30,0,1
65,770,1,1,6.341758831,1,0,1
65,770,0,1,4.787533391,28,0,1
65,69,1,1,6.341121858,1,0,1
65,69,0,1,4.168308745,37,0,1
65,236,0,1,6.340920133,0,1,1
65,236,1,1,-0.2076645701,59,0,1
67,55,0,1,6.342136109,1,0,1
67,55,1,1,5.005181284,30,0,1
67,770,1,1,6.341759011,1,0,1
67,770,0,1,4.787533478,28,0,1
67,69,1,1,6.341122148,1,0,1
67,69,0,1,4.168309854,37,0,1
67,236,0,1,6.340919877,0,1,1
67,236,1,1,-0.2076647184,59,0,1
69,55,0,1,6.342136132,1,0,1
69,55,1,1,5.00518261,30,0,1
69,770,1,1,6.341759079,1,0,1
69,770,0,1,4.787532387,28,0,1
69,69,1,1,6.34112191,1,0,1
69,69,0,1,4.168310587,37,0,1
69,236,0,1,6.340919899,0,1,1
69,236,1,1,-0.2076636694,59,0,1
71,55,0,1,6.342136156,1,0,1
71,55,1,1,5.005182455,30,0,1
71,770,1,1,6.34175912,1,0,1
71,770,0,1,4.787533116,28,0,1
71,69,1,1,6.341121807,1,0,1
71,69,0,1,4.168310505,37,0,1
71,236,0,1,6.340919849,0,1,1
71,236,1,1,-0.2076632602,59,0,1
73,55,0,1,6.342136117,1,0,1
73,55,1,1,5.005182055,30,0,1
73,770,1,1,6.341759036,1,0,1
73,770,0,1,4.787533713,28,0,1
73,69,1,1,6.341121941,1,0,1
73,69,0,1,4.16830997,37,0,1
73,236,0,1,6.340919755,0,1,1
73,236,1,1,-0.2076636924,59,0,1
74,55,0,1,6.340882758,1,1,1
74,55,1,1,5.004285824,30,0,1
74,770,1,1,6.340504873,1,0,1
74,770,0,1,4.786947568,28,0,1
74,69,1,1,6.33986848,1,0,1
74,69,0,1,4.167680959,37,0,1
74,920,1,1,6.339183754,1,0,1
74,920,0,1,4.2228211,28,0,1
76,770,1,1,6.341758671,1,0,1
76,770,0,1,4.700341062,25,0,1
76,69,1,1,6.341084458,1,0,1
76,69,0,1,4.168269202,37,0,1
76,236,0,1,6.340882679,0,1,1
76,236,1,1,-0.2076752105,59,0,1
76,920,1,1,6.340399648,1,0,1
76,920,0,1,4.223803046,28,0,1
78,770,1,1,6.341758867,1,0,1
78,770,0,1,4.700345122,25,0,1
78,69,1,1,6.341085783,1,0,1
78,69,0,1,4.16827043,37,0,1
78,236,0,1,6.340883224,0,1,1
78,236,1,1,-0.2076734557,59,0,1
78,920,1,1,6.340401123,1,0,1
78,920,0,1,4.223800878,28,0,1
80,770,1,1,6.341758954,1,0,1
80,770,0,1,4.70034564,25,0,1
80,69,1,1,6.341085323,1,0,1
80,69,0,1,4.168270029,37,0,1
80,236,0,1,6.340882702,0,1,1
80,236,1,1,-0.2076741105,59,0,1
80,920,1,1,6.340400467,1,0,1
80,920,0,1,4.223806376,28,0,1
82,770,1,1,6.341759095,1,0,1
82,770,0,1,4.700342186,25,0,1
82,69,1,1,6.341085354,1,0,1
82,69,0,1,4.168269485,37,0,1
82,236,0,1,6.340882744,0,1,1
82,236,1,1,-0.2076744905,59,0,1
82,920,1,1,6.34040088,1,0,1
82,920,0,1,4.223804266,28,0,1
84,770,1,1,6.341759147,1,0,1
84,770,0,1,4.70034202,25,0,1
84,69,1,1,6.341085663,1,0,1
84,69,0,1,4.168270138,37,0,1
84,236,0,1,6.340883046,0,1,1
84,236,1,1,-0.2076752154,59,0,1
84,920,1,1,6.340400643,1,0,1
84,920,0,1,4.223803874,28,0,1
86,770,1,1,6.341759021,1,0,1
86,770,0,1,4.700345213,25,0,1
86,69,1,1,6.341085342,1,0,1
86,69,0,1,4.168269802,37,0,1
86,236,0,1,6.340883504,0,1,1
86,236,1,1,-0.2076747898,59,0,1
86,920,1,1,6.340400745,1,0,1
86,920,0,1,4.223804956,28,0,1
88,770,1,1,6.341759074,1,0,1
88,770,0,1,4.700343005,25,0,1
88,69,1,1,6.341085459,1,0,1
88,69,0,1,4.168269952,37,0,1
88,236,0,1,6.340882982,0,1,1
88,236,1,1,-0.2076744704,59,0,1
88,920,1,1,6.340400468,1,0,1
88,920,0,1,4.223802833,28,0,1
90,770,1,1,6.341758887,1,0,1
90,770,0,1,4.700343986,25,0,1
90,69,1,1,6.341085353,1,0,1
90,69,0,1,4.168269731,37,0,1
90,236,0,1,6.340883249,0,1,1
90,236,1,1,-0.2076744942,59,0,1
90,920,1,1,6.340400674,1,0,1
90,920,0,1,4.223803216,28,0,1
92,770,1,1,6.341759112,1,0,1
92,770,0,1,4.70034395,25,0,1
92,69,1,1,6.341085464,1,0,1
92,69,0,1,4.16826954,37,0,1
92,236,0,1,6.340883098,0,1,1
92,236,1,1,-0.2076744307,59,0,1
92,920,1,1,6.340400806,1,0,1
92,920,0,1,4.22380428,28,0,1
93,770,1,1,6.340504727,1,1,1
93,770,0,1,4.699745902,25,0,1
93,69,1,1,6.339831635,1,0,1
93,69,0,1,4.167640595,37,0,1
93,920,1,1,6.339146884,1,0,1
93,920,0,1,4.222801808,28,0,1
93,801,1,1,6.337927049,1,0,1
93,801,0,1,3.634465426,33,0,1
95,69,1,1,6.340707192,1,0,1
95,69,0,1,4.16790898,37,0,1
95,236,0,1,6.340504387,0,1,1
95,236,1,1,-0.2077579992,59,0,1
95,920,1,1,6.340022294,1,0,1
95,920,0,1,4.223587209,28,0,1
95,801,1,1,6.338804109,1,0,1
95,801,0,1,3.635563362,33,0,1
97,69,1,1,6.340708468,1,0,1
97,69,0,1,4.167910646,37,0,1
97,236,0,1,6.340505624,0,1,1
97,236,1,1,-0.2077568122,59,0,1
97,920,1,1,6.340024249,1,0,1
97,920,0,1,4.223584088,28,0,1
97,801,1,1,6.338804956,1,0,1
97,801,0,1,3.635562786,33,0,1
99,69,1,1,6.340708043,1,0,1
99,69,0,1,4.167910054,37,0,1
99,236,0,1,6.340504796,0,1,1
99,236,1,1,-0.2077574409,59,0,1
99,920,1,1,6.340023092,1,0,1
99,920,0,1,4.223589688,28,0,1
99,801,1,1,6.338805492,1,0,1
99,801,0,1,3.635563701,33,0,1
101,69,1,1,6.340708155,1,0,1
101,69,0,1,4.167908995,37,0,1
101,236,0,1,6.340504815,0,1,1
101,236,1,1,-0.2077581548,59,0,1
101,920,1,1,6.340024003,1,0,1
101,920,0,1,4.223587399,28,0,1
101,801,1,1,6.338805511,1,0,1
101,801,0,1,3.635562403,33,0,1
103,69,1,1,6.340708306,1,0,1
103,69,0,1,4.16791008,37,0,1
103,236,0,1,6.340505451,0,1,1
103,236,1,1,-0.2077587399,59,0,1
103,920,1,1,6.340023897,1,0,1
103,920,0,1,4.223588118,28,0,1
103,801,1,1,6.338805137,1,0,1
103,801,0,1,3.635562931,33,0,1
105,69,1,1,6.34070805,1,0,1
105,69,0,1,4.167909883,37,0,1
105,236,0,1,6.340505789,0,1,1
105,236,1,1,-0.2077578762,59,0,1
105,920,1,1,6.340023879,1,0,1
105,920,0,1,4.223589013,28,0,1
105,801,1,1,6.338804962,1,0,1
105,801,0,1,3.63556252,33,0,1
107,69,1,1,6.340708252,1,0,1
107,69,0,1,4.167910093,37,0,1
107,236,0,1,6.3405052,0,1,1
107,236,1,1,-0.2077571072,59,0,1
107,920,1,1,6.340023563,1,0,1
107,920,0,1,4.223586984,28,0,1
107,801,1,1,6.338804928,1,0,1
107,801,0,1,3.635562314,33,0,1
109,69,1,1,6.340708225,1,0,1
109,69,0,1,4.167909958,37,0,1
109,236,0,1,6.340505587,0,1,1
109,236,1,1,-0.207757351,59,0,1
109,920,1,1,6.340023669,1,0,1
109,920,0,1,4.223586905,28,0,1
109,801,1,1,6.33880545,1,0,1
109,801,0,1,3.635562815,33,0,1
