# scorer=cert K=3 N=1000 M=4200 seed=3 r=0.9 theta=0 veto=0 dynamic_I_backtrack=0 lookahead_k=4 energy=eta rollout_h=0 rollout_eta=15 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed
0,dec,1000,4200,2.875502506,0.002875502506,99,0,1,0
1,back,999,4195,2.876742266,0.002876742266,3,0,1,1
2,dec,1000,4200,2.875047583,0.002875047583,1,0,1,0
3,back,999,4195,2.876319206,0.002876319206,0,0,1,1
4,dec,1000,4200,2.875690148,0.002875690148,0,0,1,0
5,back,999,4195,2.87503302,0.00287503302,0,0,1,1
6,dec,1000,4200,2.875785099,0.002875785099,0,0,1,0
7,back,999,4195,2.875956029,0.002875956029,0,0,1,1
8,dec,1000,4200,2.875546704,0.002875546704,0,0,1,0
9,back,999,4195,2.875405452,0.002875405452,0,0,1,1
10,dec,1000,4200,2.875762703,0.002875762703,0,0,1,0
11,back,999,4195,2.875806649,0.002875806649,0,0,1,1
12,dec,1000,4200,2.875403962,0.002875403962,0,0,1,0
13,back,999,4195,2.875545767,0.002875545767,0,0,1,1
14,dec,1000,4200,2.875927498,0.002875927498,0,0,1,0
15,back,999,4195,2.875523809,0.002875523809,0,0,1,1
16,dec,1000,4200,2.875432729,0.002875432729,0,0,1,0
17,dec,999,4195,2.875858561,0.002875858561,0,0,1,1
18,back,998,4193,2.874470447,0.002874470447,1,0,0.9990053022,2
19,dec,999,4195,2.875681062,0.002875681062,1,0,0.9990053022,1
20,back,998,4193,2.87463445,0.00287463445,1,0,0.9990053022,2
21,dec,999,4195,2.875627224,0.002875627224,1,0,0.9990053022,1
22,back,998,4193,2.874678709,0.002874678709,1,0,0.999001148,2
23,dec,999,4195,2.875551697,0.002875551697,1,0,0.999001148,1
24,back,998,4193,2.874719859,0.002874719859,1,0,0.999001148,2
25,dec,999,4195,2.875581083,0.002875581083,1,0,0.999001148,1
26,back,998,4193,2.874639718,0.002874639718,1,0,0.999001148,2
27,dec,999,4195,2.875653052,0.002875653052,1,0,0.999001148,1
28,back,998,4193,2.874616842,0.002874616842,1,0,0.999001148,2
29,dec,999,4195,2.875646528,0.002875646528,1,0,0.999001148,1
30,back,998,4193,2.874616098,0.002874616098,1,0,0.999001148,2
31,dec,999,4195,2.875647559,0.002875647559,1,0,0.999001148,1
32,back,998,4193,2.874624512,0.002874624512,1,0,0.999001148,2
33,dec,999,4195,2.875626396,0.002875626396,1,0,0.999001148,1
34,back,998,4193,2.874645726,0.002874645726,1,0,0.999001148,2
35,dec,999,4195,2.875619229,0.002875619229,1,0,0.999001148,1
36,dec,998,4193,2.874641276,0.002874641276,1,0,0.999001148,2
37,back,997,4181,2.871920295,0.002871920295,1,0,0.9973020434,3
38,dec,998,4193,2.87463132,0.00287463132,1,0,0.9973020434,2
39,back,997,4181,2.871932469,0.002871932469,1,0,0.9972981706,3
40,dec,998,4193,2.874635718,0.002874635718,1,0,0.9972981706,2
41,back,997,4181,2.871940582,0.002871940582,1,0,0.9972981706,3
42,dec,998,4193,2.874630757,0.002874630757,1,0,0.9972981706,2
43,back,997,4181,2.871931684,0.002871931684,1,0,0.9972932989,3
44,dec,998,4193,2.874631023,0.002874631023,1,0,0.9972932989,2
45,back,997,4181,2.871928627,0.002871928627,1,0,0.9972932989,3
46,dec,998,4193,2.874628277,0.002874628277,1,0,0.9972932989,2
47,back,997,4181,2.871925492,0.002871925492,1,0,0.9972932989,3
48,dec,998,4193,2.874629419,0.002874629419,1,0,0.9972932989,2
49,back,997,4181,2.87192803,0.00287192803,1,0,0.9972932989,3
50,dec,998,4193,2.874627515,0.002874627515,1,0,0.9972932989,2
51,back,997,4181,2.871928147,0.002871928147,1,0,0.9972932989,3
52,dec,998,4193,2.874626035,0.002874626035,1,0,0.9972932989,2
53,back,997,4181,2.871930003,0.002871930003,1,0,0.9972932989,3
54,dec,998,4193,2.874627093,0.002874627093,1,0,0.9972932989,2
55,dec,997,4181,2.87192914,0.00287192914,1,0,0.9972932989,3
56,back,996,4171,2.867655064,0.002867655064,1,0,0.9957326007,4
57,dec,997,4181,2.871922831,0.002871922831,1,0,0.9957326007,3
58,back,996,4171,2.867645189,0.002867645189,1,0,0.9957326007,4
59,dec,997,4181,2.871921426,0.002871921426,1,0,0.9957326007,3
60,back,996,4171,2.867643893,0.002867643893,1,0,0.9957326007,4
61,dec,997,4181,2.871918267,0.002871918267,1,0,0.9957326007,3
62,back,996,4171,2.867633042,0.002867633042,1,0,0.9957326007,4
63,dec,997,4181,2.871918537,0.002871918537,1,0,0.9957326007,3
64,back,996,4171,2.867634785,0.002867634785,1,0,0.9957326007,4
65,dec,997,4181,2.871917961,0.002871917961,1,0,0.9957326007,3
66,back,996,4171,2.867639894,0.002867639894,1,0,0.9957326007,4
67,dec,997,4181,2.871921363,0.002871921363,1,0,0.9957326007,3
68,back,996,4171,2.867643145,0.002867643145,1,0,0.9957326007,4
69,dec,997,4181,2.871925888,0.002871925888,1,0,0.9957326007,3
70,back,996,4171,2.867642995,0.002867642995,1,0,0.9957326007,4
71,dec,997,4181,2.871925525,0.002871925525,1,0,0.9957326007,3
72,back,996,4171,2.867645275,0.002867645275,1,0,0.9957326007,4
73,dec,997,4181,2.871928199,0.002871928199,1,0,0.9957326007,3
74,dec,996,4171,2.867646952,0.002867646952,1,0,0.9957326007,4
75,back,995,4160,2.862529254,0.002862529254,1,0,0.994896294,5
76,dec,996,4171,2.867639278,0.002867639278,1,0,0.994896294,4
77,back,995,4160,2.862523641,0.002862523641,1,0,0.994896294,5
78,dec,996,4171,2.867639688,0.002867639688,1,0,0.994896294,4
79,back,995,4160,2.862530246,0.002862530246,1,0,0.994896294,5
80,dec,996,4171,2.867644614,0.002867644614,1,0,0.994896294,4
81,back,995,4160,2.862532638,0.002862532638,1,0,0.994896294,5
82,dec,996,4171,2.867646748,0.002867646748,1,0,0.994896294,4
83,back,995,4160,2.862541018,0.002862541018,1,0,0.994896294,5
84,dec,996,4171,2.867653583,0.002867653583,1,0,0.994896294,4
85,back,995,4160,2.862544661,0.002862544661,1,0,0.994896294,5
86,dec,996,4171,2.867656954,0.002867656954,1,0,0.994896294,4
87,back,995,4160,2.862552536,0.002862552536,1,0,0.994896294,5
88,dec,996,4171,2.867662871,0.002867662871,1,0,0.994896294,4
89,back,995,4160,2.862555181,0.002862555181,1,0,0.994896294,5
90,dec,996,4171,2.867667744,0.002867667744,1,0,0.994896294,4
91,back,995,4160,2.862556529,0.002862556529,1,0,0.994896294,5
92,dec,996,4171,2.867668472,0.002867668472,1,0,0.994896294,4
93,dec,995,4160,2.86255678,0.00286255678,1,0,0.994896294,5
94,back,994,4154,2.857356894,0.002857356894,1,0,0.9947669595,6
95,dec,995,4160,2.862579464,0.002862579464,1,0,0.9947669595,5
96,back,994,4154,2.857373089,0.002857373089,1,0,0.9947669595,6
97,dec,995,4160,2.862585188,0.002862585188,1,0,0.9947669595,5
98,back,994,4154,2.857388375,0.002857388375,1,0,0.9947669595,6
99,dec,995,4160,2.862596206,0.002862596206,1,0,0.9947669595,5
100,back,994,4154,2.857397377,0.002857397377,1,0,0.9947669595,6
101,dec,995,4160,2.862595359,0.002862595359,1,0,0.9947669595,5
102,back,994,4154,2.857391764,0.002857391764,1,0,0.9947669595,6
103,dec,995,4160,2.862586461,0.002862586461,1,0,0.9947669595,5
104,back,994,4154,2.857384182,0.002857384182,1,0,0.9947669595,6
105,dec,995,4160,2.862577105,0.002862577105,1,0,0.9947669595,5
106,back,994,4154,2.85737835,0.00285737835,1,0,0.9947669595,6
107,dec,995,4160,2.862567363,0.002862567363,1,0,0.9947669595,5
108,back,994,4154,2.857368004,0.002857368004,1,0,0.9947669595,6
109,dec,995,4160,2.862559279,0.002862559279,1,0,0.9947669595,5
110,back,994,4154,2.857360834,0.002857360834,1,0,0.9947669595,6
111,dec,995,4160,2.862553179,0.002862553179,1,0,0.9947669595,5
112,dec,994,4154,2.85735751,0.00285735751,1,0,0.9947669595,6
113,back,993,4145,2.852024728,0.002852024728,0,0,0.9947067005,7
114,dec,994,4154,2.857346906,0.002857346906,0,0,0.9947067005,6
115,back,993,4149,2.85217658,0.00285217658,1,0,0.9947067005,7
116,dec,994,4154,2.857332489,0.002857332489,1,0,0.9947067005,6
117,back,993,4145,2.852069654,0.002852069654,0,0,0.9947067005,7
118,dec,994,4154,2.857313674,0.002857313674,0,0,0.9947067005,6
119,back,993,4145,2.85207861,0.00285207861,0,0,0.9946751751,7
120,dec,994,4154,2.857353362,0.002857353362,0,0,0.9946751751,6
121,back,993,4145,2.852103801,0.002852103801,0,0,0.9946751751,7
122,dec,994,4154,2.857357991,0.002857357991,0,0,0.9946751751,6
123,back,993,4145,2.852126272,0.002852126272,0,0,0.9946751751,7
124,dec,994,4154,2.857384188,0.002857384188,0,0,0.9946751751,6
125,back,993,4145,2.852106814,0.002852106814,0,0,0.9946751751,7
126,dec,994,4154,2.857391463,0.002857391463,0,0,0.9946751751,6
127,back,993,4145,2.85213361,0.00285213361,0,0,0.9946751751,7
128,dec,994,4154,2.857397697,0.002857397697,0,0,0.9946751751,6
129,back,993,4145,2.852140871,0.002852140871,0,0,0.9946751751,7
130,dec,994,4154,2.857384708,0.002857384708,0,0,0.9946751751,6
131,dec,993,4145,2.852131206,0.002852131206,0,0,0.9946751751,7
132,back,992,4140,2.846954588,0.002846954588,1,0,0.9946751751,8
133,dec,993,4149,2.85216365,0.00285216365,0,0,0.9946751751,7
134,back,992,4140,2.846944021,0.002846944021,0,0,0.9946751751,8
135,dec,993,4149,2.852165999,0.002852165999,0,0,0.9946751751,7
136,back,992,4140,2.846919485,0.002846919485,0,0,0.9946751751,8
137,dec,993,4149,2.852171145,0.002852171145,0,0,0.9946751751,7
138,back,992,4140,2.846937897,0.002846937897,0,0,0.9946751751,8
139,dec,993,4149,2.852179941,0.002852179941,0,0,0.9946751751,7
140,back,992,4140,2.846935131,0.002846935131,0,0,0.9946751751,8
141,dec,993,4149,2.852184994,0.002852184994,0,0,0.9946751751,7
142,back,992,4140,2.846941986,0.002846941986,0,0,0.9946751751,8
143,dec,993,4149,2.852178505,0.002852178505,0,0,0.9946751751,7
144,back,992,4140,2.846921979,0.002846921979,0,0,0.9946751751,8
145,dec,993,4149,2.852197643,0.002852197643,0,0,0.9946751751,7
146,back,992,4140,2.846928858,0.002846928858,0,0,0.9946751751,8
147,dec,993,4149,2.852175444,0.002852175444,0,0,0.9946751751,7
148,back,992,4140,2.84692337,0.00284692337,0,0,0.9946751751,8
149,dec,993,4149,2.852186006,0.002852186006,0,0,0.9946751751,7
150,dec,992,4140,2.846935985,0.002846935985,0,0,0.9946751751,8
151,back,991,4135,2.841557393,0.002841557393,1,0,0.9946096239,9
152,dec,992,4140,2.846894703,0.002846894703,1,0,0.9946096239,8
153,back,991,4135,2.841518804,0.002841518804,1,0,0.9946096239,9
154,dec,992,4140,2.846894482,0.002846894482,1,0,0.9946096239,8
155,back,991,4135,2.841537794,0.002841537794,1,0,0.9946096239,9
156,dec,992,4140,2.846913866,0.002846913866,1,0,0.9946096239,8
157,back,991,4135,2.841542172,0.002841542172,1,0,0.9946096239,9
158,dec,992,4140,2.846913484,0.002846913484,1,0,0.9946096239,8
159,back,991,4135,2.841538314,0.002841538314,1,0,0.9946096239,9
160,dec,992,4140,2.846897192,0.002846897192,1,0,0.9946096239,8
161,back,991,4135,2.841532699,0.002841532699,1,0,0.9946096239,9
162,dec,992,4140,2.846889455,0.002846889455,1,0,0.9946096239,8
163,back,991,4135,2.841528916,0.002841528916,1,0,0.9946096239,9
164,dec,992,4140,2.84688968,0.00284688968,1,0,0.9946096239,8
165,back,991,4135,2.841530876,0.002841530876,1,0,0.9946096239,9
166,dec,992,4140,2.846888885,0.002846888885,1,0,0.9946096239,8
167,back,991,4135,2.841527986,0.002841527986,1,0,0.9946096239,9
168,dec,992,4140,2.846887846,0.002846887846,1,0,0.9946096239,8
169,dec,991,4135,2.841528992,0.002841528992,1,0,0.9946096239,9
170,back,990,4127,2.838195933,0.002838195933,0,0,0.9946096239,10
171,dec,991,4132,2.841042942,0.002841042942,1,0,0.9946096239,9
172,back,990,4127,2.83817031,0.00283817031,1,0,0.9946096239,10
173,dec,991,4136,2.843394028,0.002843394028,0,0,0.9946096239,9
174,back,990,4127,2.838210436,0.002838210436,0,0,0.9946096239,10
175,dec,991,4133,2.843282656,0.002843282656,1,0,0.9946096239,9
176,back,990,4127,2.8382194,0.0028382194,1,0,0.9946096239,10
177,dec,991,4132,2.843381908,0.002843381908,1,0,0.9946096239,9
178,back,990,4127,2.838178349,0.002838178349,1,0,0.9946096239,10
179,dec,991,4136,2.843463868,0.002843463868,0,0,0.9946096239,9
180,back,990,4127,2.83817601,0.00283817601,0,0,0.9946096239,10
181,dec,991,4136,2.84347601,0.00284347601,0,0,0.9946096239,9
182,back,990,4127,2.83817436,0.00283817436,0,0,0.9946096239,10
183,dec,991,4136,2.84349616,0.00284349616,0,0,0.9946096239,9
184,back,990,4127,2.838201325,0.002838201325,0,0,0.9946096239,10
185,dec,991,4136,2.843512383,0.002843512383,0,0,0.9946096239,9
186,back,990,4127,2.838240541,0.002838240541,0,0,0.9946096239,10
187,dec,991,4136,2.843507011,0.002843507011,0,0,0.9946096239,9
188,dec,990,4127,2.838225146,0.002838225146,0,0,0.9946096239,10
189,back,989,4120,2.832014506,0.002832014506,1,0,0.9937977818,11
190,dec,990,4127,2.838208956,0.002838208956,1,0,0.9937977818,10
191,back,989,4120,2.832017022,0.002832017022,1,0,0.9937977818,11
192,dec,990,4127,2.838221656,0.002838221656,1,0,0.9937977818,10
193,back,989,4118,2.832182239,0.002832182239,1,0,0.9937977818,11
194,dec,990,4127,2.838216146,0.002838216146,2,0,0.9937977818,10
195,back,989,4118,2.83224949,0.00283224949,1,0,0.9937977818,11
196,dec,990,4127,2.838179239,0.002838179239,1,0,0.9937977818,10
197,back,989,4120,2.831966148,0.002831966148,1,0,0.9937705015,11
198,dec,990,4127,2.838252296,0.002838252296,1,0,0.9937705015,10
199,back,989,4118,2.832174719,0.002832174719,1,0,0.9937705015,11
200,dec,990,4127,2.838188255,0.002838188255,1,0,0.9937705015,10
201,back,989,4118,2.832257587,0.002832257587,1,0,0.9937705015,11
202,dec,990,4127,2.838234916,0.002838234916,2,0,0.9937705015,10
203,back,989,4118,2.832246894,0.002832246894,1,0,0.9937705015,11
204,dec,990,4127,2.838181278,0.002838181278,1,0,0.9937705015,10
205,back,989,4120,2.831977408,0.002831977408,1,0,0.9937705015,11
206,dec,990,4127,2.83824428,0.00283824428,1,0,0.9937705015,10
207,dec,989,4118,2.832189333,0.002832189333,1,0,0.9937705015,11
208,back,988,4111,2.826018079,0.002826018079,1,0,0.9937705015,12
209,dec,989,4118,2.832264422,0.002832264422,1,0,0.9937705015,11
210,back,988,4111,2.82601678,0.00282601678,1,0,0.9937705015,12
211,dec,989,4118,2.832252486,0.002832252486,1,0,0.9937705015,11
212,back,988,4111,2.825974198,0.002825974198,1,0,0.9937705015,12
213,dec,989,4118,2.832231081,0.002832231081,1,0,0.9937705015,11
214,back,988,4111,2.825962317,0.002825962317,1,0,0.9937617566,12
215,dec,989,4118,2.832224879,0.002832224879,1,0,0.9937617566,11
216,back,988,4111,2.825973366,0.002825973366,1,0,0.9937617566,12
