# scorer=cert K=3 N=1000 M=4200 seed=1 r=0.9 theta=0 veto=0 dynamic_I_backtrack=0 lookahead_k=4 energy=hybrid rollout_h=0 rollout_eta=15 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed
0,dec,1000,4200,6.342138618,0.006342138618,75,0,1,0
1,back,999,4197,6.342211518,0.006342211518,0,0,1,1
2,dec,1000,4200,6.342191814,0.006342191814,0,0,1,0
3,back,999,4191,6.342008233,0.006342008233,1,0,0.9999637753,1
4,dec,1000,4200,6.342312589,0.006342312589,1,0,0.9999637753,0
5,back,999,4191,6.34218038,0.00634218038,1,0,0.9999633855,1
6,dec,1000,4200,6.342144848,0.006342144848,1,0,0.9999633855,0
7,back,999,4191,6.342139952,0.006342139952,1,0,0.9999633448,1
8,dec,1000,4200,6.342180169,0.006342180169,1,0,0.9999633448,0
9,back,999,4197,6.342163784,0.006342163784,0,0,0.9999633448,1
10,dec,1000,4200,6.342149643,0.006342149643,0,0,0.9999633448,0
11,back,999,4197,6.342160951,0.006342160951,0,0,0.9999633448,1
12,dec,1000,4200,6.342178051,0.006342178051,0,0,0.9999633448,0
13,back,999,4196,6.342178552,0.006342178552,0,0,0.9999633448,1
14,dec,1000,4200,6.342168788,0.006342168788,0,0,0.9999633448,0
15,back,999,4191,6.342185108,0.006342185108,0,0,0.9999633448,1
16,dec,1000,4200,6.342175837,0.006342175837,0,0,0.9999633448,0
17,dec,999,4196,6.342162305,0.006342162305,0,0,0.9999633448,1
18,back,998,4193,6.342168628,0.006342168628,0,0,0.9999633448,2
19,dec,999,4196,6.342178057,0.006342178057,0,0,0.9999633448,1
20,back,998,4187,6.342176957,0.006342176957,0,0,0.9999633448,2
21,dec,999,4196,6.342165473,0.006342165473,0,0,0.9999633448,1
22,back,998,4187,6.342165062,0.006342165062,0,0,0.9999633448,2
23,dec,999,4196,6.342173497,0.006342173497,0,0,0.9999633448,1
24,back,998,4193,6.342178067,0.006342178067,0,0,0.9999633448,2
25,dec,999,4196,6.342172464,0.006342172464,0,0,0.9999633448,1
26,back,998,4187,6.342170981,0.006342170981,0,0,0.9999633448,2
27,dec,999,4196,6.342171004,0.006342171004,0,0,0.9999633448,1
28,back,998,4187,6.342171596,0.006342171596,0,0,0.9999633448,2
29,dec,999,4196,6.342170802,0.006342170802,0,0,0.9999633448,1
30,back,998,4187,6.342172482,0.006342172482,0,0,0.9999633448,2
