# scorer=cert energy=hybrid K=3 N=1000 M=4200 seed=3 r=0.9 lookahead_k=4
step,vertex,dir,converged,sigma_after,eta_after,chosen,h
0,882,0,1,2.876742266,3,1,1
0,882,1,1,2.504404927,22,0,1
0,178,1,1,2.875760619,3,0,1
0,178,0,1,2.850702376,4,0,1
0,922,1,1,2.875385384,3,0,1
0,922,0,1,0.8204595476,45,0,1
0,341,1,1,2.874029034,3,0,1
0,341,0,1,0.02762206483,60,0,1
2,882,0,1,2.876319206,0,1,1
2,882,1,1,2.504754864,22,0,1
2,178,1,1,2.874696286,1,0,1
2,178,0,1,2.851233074,4,0,1
2,922,1,1,2.873641885,2,0,1
2,922,0,1,0.8204599027,45,0,1
2,341,1,1,2.873008101,1,0,1
2,341,0,1,0.02768123373,60,0,1
4,882,0,1,2.87503302,0,1,1
4,882,1,1,2.506956332,20,0,1
4,178,1,1,2.874787215,1,0,1
4,178,0,1,2.850762671,3,0,1
4,922,1,1,2.874573618,2,0,1
4,922,0,1,0.82105264,45,0,1
4,341,1,1,2.873111864,1,0,1
4,341,0,1,0.02753376572,60,0,1
6,882,0,1,2.875956029,0,1,1
6,882,1,1,2.506341161,20,0,1
6,178,1,1,2.874553965,1,0,1
6,178,0,1,2.851313497,3,0,1
6,922,1,1,2.874038169,2,0,1
6,922,0,1,0.8207309195,44,0,1
6,341,1,1,2.872842831,1,0,1
6,341,0,1,0.02768101645,60,0,1
8,882,0,1,2.875405452,0,1,1
8,882,1,1,2.506143888,20,0,1
8,178,1,1,2.87477073,1,0,1
8,178,0,1,2.850804062,3,0,1
8,922,1,1,2.874427479,2,0,1
8,922,0,1,0.8206621286,44,0,1
8,341,1,1,2.873039633,1,0,1
8,341,0,1,0.02769177666,60,0,1
10,882,0,1,2.875806649,0,1,1
10,882,1,1,2.506755834,20,0,1
10,178,1,1,2.874409097,1,0,1
10,178,0,1,2.851244199,3,0,1
10,922,1,1,2.874154352,2,0,1
10,922,0,1,0.8207213676,45,0,1
10,341,1,1,2.872705466,1,0,1
10,341,0,1,0.0275715702,60,0,1
