# scorer=cert energy=eta K=3 N=1000 M=4200 seed=3 r=0.9 lookahead_k=4
step,vertex,dir,converged,sigma_after,eta_after,chosen,h
0,882,0,1,2.87265051,6,0,3
0,882,1,1,2.504525202,26,0,3
0,178,1,1,2.87264913,6,0,3
0,178,0,1,2.849419587,6,0,3
0,922,1,1,2.873332227,5,1,3
0,922,0,1,0.8184522241,46,0,3
0,341,1,1,2.871973916,5,0,3
0,341,0,1,0.02665927285,62,0,3
2,882,0,1,2.875715286,0,1,1
2,882,1,1,2.506616681,20,0,1
2,178,1,1,2.87404488,1,0,1
2,178,0,1,2.851317039,3,0,1
2,922,1,1,2.874354084,2,0,1
2,922,0,1,0.8205910706,45,0,1
2,341,1,1,2.872345724,1,0,1
2,341,0,1,0.0275654657,60,0,1
4,882,0,1,2.875758167,0,1,1
4,882,1,1,2.506653313,20,0,1
4,178,1,1,2.874960538,1,0,1
4,178,0,1,2.850771936,3,0,1
4,922,1,1,2.874208405,2,0,1
4,922,0,1,0.8202974189,44,0,1
4,341,1,1,2.87327113,1,0,1
4,341,0,1,0.02763281898,60,0,1
6,882,0,1,2.875578057,0,1,1
6,882,1,1,2.506238387,20,0,1
6,178,1,1,2.87439727,1,0,1
6,178,0,1,2.851292385,3,0,1
6,922,1,1,2.874382257,2,0,1
6,922,0,1,0.8208408572,44,0,1
6,341,1,1,2.872675078,1,0,1
6,341,0,1,0.02769305509,60,0,1
8,882,0,1,2.875740995,0,1,1
8,882,1,1,2.506348156,20,0,1
8,178,1,1,2.874834839,1,0,1
8,178,0,1,2.850893037,3,0,1
8,922,1,1,2.874007312,2,0,1
8,922,0,1,0.8205918722,45,0,1
8,341,1,1,2.873104309,1,0,1
8,341,0,1,0.02763869671,60,0,1
10,882,0,1,2.875407088,0,1,1
10,882,1,1,2.506661694,20,0,1
10,178,1,1,2.874532712,1,0,1
10,178,0,1,2.85091122,3,0,1
10,922,1,1,2.874555218,2,0,1
10,922,0,1,0.8210338331,45,0,1
10,341,1,1,2.872847258,1,0,1
10,341,0,1,0.02758941815,60,0,1
12,882,0,1,2.875936365,0,1,1
12,882,1,1,2.506341521,20,0,1
12,178,1,1,2.874531268,1,0,1
12,178,0,1,2.851333707,3,0,1
12,922,1,1,2.874060425,2,0,1
12,922,0,1,0.8206855458,44,0,1
12,341,1,1,2.872819871,1,0,1
12,341,0,1,0.02763892352,60,0,1
14,882,0,1,2.875419927,0,1,1
14,882,1,1,2.506338065,20,0,1
14,178,1,1,2.874870134,1,0,1
14,178,0,1,2.850985901,3,0,1
14,922,1,1,2.874241999,2,0,1
14,922,0,1,0.820585398,44,0,1
14,341,1,1,2.873157954,1,0,1
14,341,0,1,0.02767584457,60,0,1
16,882,0,1,2.875618927,0,1,1
16,882,1,1,2.506709423,20,0,1
16,178,1,1,2.87446601,1,0,1
16,178,0,1,2.851041082,3,0,1
16,922,1,1,2.874371149,2,0,1
16,922,0,1,0.8208039913,45,0,1
16,341,1,1,2.87277716,1,0,1
16,341,0,1,0.02762013141,60,0,1
17,178,1,1,2.874765441,1,1,1
17,178,0,1,2.85092041,3,0,1
17,922,1,1,2.87431034,2,0,1
17,922,0,1,0.8210686624,45,0,1
17,341,1,1,2.873057856,1,0,1
17,341,0,1,0.02758470942,60,0,1
17,810,1,1,2.871518816,1,0,1
17,810,0,1,0.2784602651,56,0,1
19,178,1,1,2.874720139,1,1,1
19,178,0,1,2.850941755,3,0,1
19,922,1,1,2.8742571,2,0,1
19,922,0,1,0.8205543456,44,0,1
19,341,1,1,2.873009461,1,0,1
19,341,0,1,0.02765246951,60,0,1
19,810,1,1,2.871431291,1,0,1
19,810,0,1,0.2784044011,56,0,1
21,178,1,1,2.874698693,1,1,1
21,178,0,1,2.851071917,3,0,1
21,922,1,1,2.874181081,2,0,1
21,922,0,1,0.8204845004,44,0,1
21,341,1,1,2.872988528,1,0,1
21,341,0,1,0.02762573483,60,0,1
21,810,1,1,2.87141781,1,0,1
21,810,0,1,0.2784850739,56,0,1
23,178,1,1,2.87461429,1,1,1
23,178,0,1,2.85109712,3,0,1
23,922,1,1,2.8741933,2,0,1
23,922,0,1,0.8207262747,45,0,1
23,341,1,1,2.872917849,1,0,1
23,341,0,1,0.02764291258,60,0,1
23,810,1,1,2.8713455,1,0,1
23,810,0,1,0.2783851179,56,0,1
25,178,1,1,2.874597193,1,1,1
25,178,0,1,2.851109912,3,0,1
25,922,1,1,2.874279956,2,0,1
25,922,0,1,0.8205835685,44,0,1
25,341,1,1,2.872879027,1,0,1
25,341,0,1,0.02763091543,60,0,1
25,810,1,1,2.871304778,1,0,1
25,810,0,1,0.2784845277,56,0,1
27,178,1,1,2.874622122,1,1,1
27,178,0,1,2.851028718,3,0,1
27,922,1,1,2.874270031,2,0,1
27,922,0,1,0.8203134567,44,0,1
27,341,1,1,2.872925173,1,0,1
27,341,0,1,0.02761593499,60,0,1
27,810,1,1,2.871356096,1,0,1
27,810,0,1,0.278405569,56,0,1
29,178,1,1,2.874640448,1,1,1
29,178,0,1,2.85106085,3,0,1
29,922,1,1,2.87427514,2,0,1
29,922,0,1,0.8205413364,44,0,1
29,341,1,1,2.872930308,1,0,1
