# scorer=cert K=3 N=1000 M=4200 seed=1 r=0.9 theta=0 veto=0 dynamic_I_backtrack=0 lookahead_k=4 energy=eta rollout_h=3 rollout_eta=0 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed
0,dec,1000,4200,6.342138618,0.006342138618,75,0,1,0
1,back,999,4196,6.342211518,0.006342211518,0,0,1,1
2,dec,1000,4200,6.342191814,0.006342191814,0,0,1,0
3,back,999,4191,6.341978301,0.006341978301,0,0,1,1
4,dec,1000,4200,6.342044103,0.006342044103,0,0,1,0
5,back,999,4196,6.342178947,0.006342178947,0,0,1,1
6,dec,1000,4200,6.342312976,0.006342312976,0,0,1,0
7,back,999,4191,6.342119977,0.006342119977,0,0,1,1
8,dec,1000,4200,6.3422167,0.0063422167,0,0,1,0
9,back,999,4196,6.342288203,0.006342288203,0,0,1,1
10,dec,1000,4200,6.342144692,0.006342144692,0,0,1,0
11,back,999,4191,6.342059159,0.006342059159,0,0,1,1
12,dec,1000,4200,6.342176512,0.006342176512,0,0,1,0
13,back,999,4191,6.34222483,0.00634222483,0,0,1,1
14,dec,1000,4200,6.342180218,0.006342180218,0,0,1,0
15,back,999,4191,6.34216368,0.00634216368,0,0,1,1
16,dec,1000,4200,6.342149695,0.006342149695,0,0,1,0
17,dec,999,4196,6.342160864,0.006342160864,0,0,1,1
18,back,998,4187,6.342178091,0.006342178091,0,0,1,2
19,dec,999,4196,6.342178457,0.006342178457,0,0,1,1
20,back,998,4193,6.342168811,0.006342168811,0,0,1,2
21,dec,999,4196,6.342185178,0.006342185178,0,0,1,1
22,back,998,4187,6.342125892,0.006342125892,1,0,0.9999635563,2
23,dec,999,4196,6.342178097,0.006342178097,1,0,0.9999635563,1
24,back,998,4187,6.342129055,0.006342129055,1,0,0.9999634589,2
25,dec,999,4196,6.342173489,0.006342173489,1,0,0.9999634589,1
26,back,998,4193,6.342178082,0.006342178082,0,0,0.9999634589,2
27,dec,999,4196,6.342172446,0.006342172446,0,0,0.9999634589,1
28,back,998,4187,6.342134543,0.006342134543,1,0,0.9999634589,2
29,dec,999,4196,6.342170865,0.006342170865,1,0,0.9999634589,1
30,back,998,4193,6.342172462,0.006342172462,0,0,0.9999634589,2
31,dec,999,4196,6.342174101,0.006342174101,0,0,0.9999634589,1
32,back,998,4187,6.342134432,0.006342134432,1,0,0.9999634589,2
33,dec,999,4196,6.34217192,0.00634217192,1,0,0.9999634589,1
34,back,998,4187,6.342136108,0.006342136108,1,0,0.9999634589,2
35,dec,999,4196,6.342171872,0.006342171872,1,0,0.9999634589,1
36,dec,998,4187,6.342135515,0.006342135515,1,0,0.9999634589,2
37,back,997,4178,6.342135562,0.006342135562,0,0,0.9999634589,3
38,dec,998,4187,6.342172035,0.006342172035,1,0,0.9999634589,2
39,back,997,4180,6.341758059,0.006341758059,1,0,0.9995864998,3
