# scorer=cert energy=eta K=3 N=1000 M=4200 seed=3 r=0.9 lookahead_k=4
step,vertex,dir,converged,sigma_after,eta_after,chosen,h
0,882,0,1,2.87265051,6,0,3
0,882,1,1,2.504525202,26,0,3
0,178,1,1,2.87264913,6,0,3
0,178,0,1,2.849419587,6,0,3
0,922,1,1,2.873332227,5,1,3
0,922,0,1,0.8184522241,46,0,3
0,341,1,1,2.871973916,5,0,3
0,341,0,1,0.02665927285,62,0,3
2,882,0,1,2.873031261,3,0,3
2,882,1,1,2.504024604,22,0,3
2,178,1,1,2.873026535,3,0,3
2,178,0,1,2.849948113,5,0,3
2,922,1,1,2.872997481,3,0,3
2,922,0,1,0.8186419665,46,0,3
2,341,1,1,2.871863165,2,1,3
2,341,0,1,0.0267071286,62,0,3
4,882,0,1,2.873121502,3,0,3
4,882,1,1,2.503633701,22,0,3
4,178,1,1,2.873127637,3,0,3
4,178,0,1,2.849836837,5,0,3
4,922,1,1,2.873150793,3,0,3
4,922,0,1,0.8182370175,45,0,3
4,341,1,1,2.871723177,2,1,3
4,341,0,1,0.02678987837,62,0,3
6,882,0,1,2.873516321,3,0,3
6,882,1,1,2.503790242,22,0,3
6,178,1,1,2.87351746,3,0,3
6,178,0,1,2.849628258,5,0,3
6,922,1,1,2.873492594,3,0,3
6,922,0,1,0.8189894483,46,0,3
6,341,1,1,2.871717323,2,1,3
6,341,0,1,0.02717534295,65,0,3
8,882,0,1,2.873308956,3,0,3
8,882,1,1,2.504947719,23,0,3
8,178,1,1,2.873306299,3,0,3
8,178,0,1,2.849778102,5,0,3
8,922,1,1,2.873322066,3,0,3
8,922,0,1,0.8188800394,46,0,3
8,341,1,1,2.872045543,2,1,3
8,341,0,1,0.02676372331,62,0,3
10,882,0,1,2.873268228,3,0,3
10,882,1,1,2.503677748,22,0,3
10,178,1,1,2.873268616,3,0,3
10,178,0,1,2.849926915,5,0,3
10,922,1,1,2.873268613,3,0,3
10,922,0,1,0.8191906296,46,0,3
10,341,1,1,2.872024622,2,1,3
10,341,0,1,0.02721569007,65,0,3
12,882,0,1,2.873195388,3,0,3
12,882,1,1,2.50385288,22,0,3
12,178,1,1,2.873196107,3,0,3
12,178,0,1,2.849865668,5,0,3
12,922,1,1,2.873189567,3,0,3
12,922,0,1,0.8188316435,46,0,3
12,341,1,1,2.872002383,2,1,3
12,341,0,1,0.02674315428,62,0,3
14,882,0,1,2.873197986,3,0,3
14,882,1,1,2.503628654,22,0,3
14,178,1,1,2.873194115,3,0,3
14,178,0,1,2.849850978,5,0,3
14,922,1,1,2.873208794,3,0,3
14,922,0,1,0.8191252644,46,0,3
14,341,1,1,2.87191196,2,1,3
14,341,0,1,0.02722777921,65,0,3
16,882,0,1,2.873281337,3,0,3
16,882,1,1,2.503826145,22,0,3
16,178,1,1,2.873281515,3,0,3
16,178,0,1,2.849778789,5,0,3
16,922,1,1,2.873274797,3,0,3
16,922,0,1,0.8188938101,46,0,3
16,341,1,1,2.871898791,2,1,3
16,341,0,1,0.02673819719,62,0,3
17,882,0,1,2.870545589,3,0,3
17,882,1,1,2.501768,22,0,3
17,178,1,1,2.870547778,3,0,3
17,178,0,1,2.847227826,5,0,3
17,922,1,1,2.870545561,3,0,3
17,922,0,1,0.8124482104,46,0,3
17,810,1,1,2.867679842,2,1,3
17,810,0,1,0.2763973936,58,0,3
19,882,0,1,2.870561887,3,0,3
19,882,1,1,2.501807209,22,0,3
19,178,1,1,2.870561978,3,0,3
19,178,0,1,2.847195396,5,0,3
19,922,1,1,2.870557135,3,0,3
19,922,0,1,0.8122134969,46,0,3
19,810,1,1,2.867663356,2,1,3
19,810,0,1,0.276319744,58,0,3
21,882,0,1,2.870544416,3,0,3
21,882,1,1,2.501710057,22,0,3
21,178,1,1,2.870545979,3,0,3
21,178,0,1,2.847258103,5,0,3
21,922,1,1,2.87054993,3,0,3
21,922,0,1,0.8123716679,46,0,3
21,810,1,1,2.867643873,2,1,3
21,810,0,1,0.2763679321,58,0,3
23,882,0,1,2.870578264,3,0,3
23,882,1,1,2.501785877,22,0,3
23,178,1,1,2.870578912,3,0,3
23,178,0,1,2.847195172,5,0,3
23,922,1,1,2.870570089,3,0,3
23,922,0,1,0.81230532,46,0,3
23,810,1,1,2.867660488,2,1,3
23,810,0,1,0.2763569127,58,0,3
25,882,0,1,2.870567941,3,0,3
25,882,1,1,2.501741641,22,0,3
25,178,1,1,2.870567299,3,0,3
25,178,0,1,2.847200929,5,0,3
25,922,1,1,2.870571032,3,0,3
25,922,0,1,0.812295324,46,0,3
25,810,1,1,2.867664651,2,1,3
25,810,0,1,0.2763374024,58,0,3
27,882,0,1,2.870568244,3,0,3
27,882,1,1,2.501730271,22,0,3
27,178,1,1,2.870568264,3,0,3
27,178,0,1,2.847239316,5,0,3
27,922,1,1,2.870566181,3,0,3
27,922,0,1,0.8123609586,46,0,3
27,810,1,1,2.867666457,2,1,3
27,810,0,1,0.2763700053,58,0,3
29,882,0,1,2.870563836,3,0,3
29,882,1,1,2.501779811,22,0,3
29,178,1,1,2.870564839,3,0,3
29,178,0,1,2.84721606,5,0,3
29,922,1,1,2.870561941,3,0,3
29,922,0,1,0.8122725468,46,0,3
