# scorer=cert K=3 N=1000 M=4200 seed=1 r=0.9 theta=0 veto=0 dynamic_I_backtrack=0 lookahead_k=4 energy=sigma rollout_h=3 rollout_eta=0 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed
0,dec,1000,4200,6.342138618,0.006342138618,75,0,1,0
1,back,999,4191,6.342155384,0.006342155384,1,0,0.9999632666,1
2,dec,1000,4200,6.342043815,0.006342043815,1,0,0.9999632666,0
3,back,999,4191,6.342276635,0.006342276635,1,0,0.9999632666,1
4,dec,1000,4200,6.342216629,0.006342216629,1,0,0.9999632666,0
5,back,999,4191,6.34210804,0.00634210804,1,0,0.9999631059,1
6,dec,1000,4200,6.342176538,0.006342176538,1,0,0.9999631059,0
7,back,999,4191,6.342224784,0.006342224784,0,0,0.9999631059,1
8,dec,1000,4200,6.342180323,0.006342180323,0,0,0.9999631059,0
9,back,999,4196,6.342163632,0.006342163632,0,0,0.9999631059,1
10,dec,1000,4200,6.342149779,0.006342149779,0,0,0.9999631059,0
11,back,999,4196,6.342160825,0.006342160825,0,0,0.9999631059,1
12,dec,1000,4200,6.342178185,0.006342178185,0,0,0.9999631059,0
13,back,999,4191,6.342178436,0.006342178436,0,0,0.9999631059,1
14,dec,1000,4200,6.342168739,0.006342168739,0,0,0.9999631059,0
15,back,999,4197,6.342185199,0.006342185199,0,0,0.9999631059,1
16,dec,1000,4200,6.342175787,0.006342175787,0,0,0.9999631059,0
17,dec,999,4197,6.34216234,0.00634216234,0,0,0.9999631059,1
18,back,998,4193,6.342168623,0.006342168623,0,0,0.9999631059,2
19,dec,999,4197,6.342178063,0.006342178063,0,0,0.9999631059,1
20,back,998,4188,6.342129076,0.006342129076,1,0,0.9999631059,2
21,dec,999,4197,6.342173532,0.006342173532,1,0,0.9999631059,1
22,back,998,4188,6.34217802,0.00634217802,0,0,0.9999631059,2
23,dec,999,4197,6.342172448,0.006342172448,0,0,0.9999631059,1
24,back,998,4188,6.342134538,0.006342134538,1,0,0.9999631059,2
25,dec,999,4197,6.342170867,0.006342170867,1,0,0.9999631059,1
26,back,998,4193,6.34217245,0.00634217245,0,0,0.9999631059,2
27,dec,999,4197,6.342174096,0.006342174096,0,0,0.9999631059,1
28,back,998,4188,6.342134436,0.006342134436,1,0,0.9999631059,2
29,dec,999,4197,6.342171912,0.006342171912,1,0,0.9999631059,1
30,back,998,4188,6.342136103,0.006342136103,1,0,0.9999631059,2
31,dec,999,4197,6.342171874,0.006342171874,1,0,0.9999631059,1
32,back,998,4188,6.342135513,0.006342135513,1,0,0.9999631059,2
33,dec,999,4197,6.342172122,0.006342172122,1,0,0.9999631059,1
34,back,998,4188,6.342172037,0.006342172037,0,0,0.9999631059,2
35,dec,999,4197,6.342171827,0.006342171827,0,0,0.9999631059,1
36,dec,998,4188,6.342135633,0.006342135633,1,0,0.9999631059,2
37,back,997,4179,6.342135789,0.006342135789,0,0,0.9999631059,3
38,dec,998,4188,6.342171811,0.006342171811,1,0,0.9999631059,2
39,back,997,4184,6.342171856,0.006342171856,0,0,0.9999631059,3
40,dec,998,4188,6.342172062,0.006342172062,0,0,0.9999631059,2
41,back,997,4184,6.342172077,0.006342172077,0,0,0.9999631059,3
42,dec,998,4188,6.342172012,0.006342172012,0,0,0.9999631059,2
43,back,997,4184,6.342171992,0.006342171992,0,0,0.9999631059,3
44,dec,998,4188,6.342171976,0.006342171976,0,0,0.9999631059,2
45,back,997,4184,6.342171952,0.006342171952,0,0,0.9999631059,3
46,dec,998,4188,6.342171964,0.006342171964,0,0,0.9999631059,2
47,back,997,4184,6.342172007,0.006342172007,0,0,0.9999631059,3
48,dec,998,4188,6.342172041,0.006342172041,0,0,0.9999631059,2
49,back,997,4184,6.342172003,0.006342172003,0,0,0.9999631059,3
50,dec,998,4188,6.342171954,0.006342171954,0,0,0.9999631059,2
