# scorer=cert energy=sigma K=3 N=1000 M=4200 seed=3 r=0.9 lookahead_k=4
step,vertex,dir,converged,sigma_after,eta_after,chosen,h
0,882,0,1,2.87265051,6,0,3
0,882,1,1,2.504525202,26,0,3
0,178,1,1,2.87264913,6,0,3
0,178,0,1,2.849419587,6,0,3
0,922,1,1,2.873332227,5,1,3
0,922,0,1,0.8184522241,46,0,3
0,341,1,1,2.871973916,5,0,3
0,341,0,1,0.02665927285,62,0,3
2,882,0,1,2.873031261,3,1,3
2,882,1,1,2.504024604,22,0,3
2,178,1,1,2.873026535,3,0,3
2,178,0,1,2.849948113,5,0,3
2,922,1,1,2.872997481,3,0,3
2,922,0,1,0.8186419665,46,0,3
2,341,1,1,2.871863165,2,0,3
2,341,0,1,0.0267071286,62,0,3
4,882,0,1,2.873449309,3,0,3
4,882,1,1,2.504788575,23,0,3
4,178,1,1,2.87344913,3,0,3
4,178,0,1,2.849734396,5,0,3
4,922,1,1,2.873454484,3,1,3
4,922,0,1,0.81925886,46,0,3
4,341,1,1,2.87206043,2,0,3
4,341,0,1,0.02721418537,65,0,3
6,882,0,1,2.873498518,3,0,3
6,882,1,1,2.503386621,20,0,3
6,178,1,1,2.87349912,3,1,3
6,178,0,1,2.849633933,5,0,3
6,922,1,1,2.873471932,3,0,3
6,922,0,1,0.8190030431,46,0,3
6,341,1,1,2.871744745,2,0,3
6,341,0,1,0.02673057435,62,0,3
8,882,0,1,2.87330891,3,0,3
8,882,1,1,2.504946289,23,0,3
8,178,1,1,2.873306855,3,0,3
8,178,0,1,2.849761082,5,0,3
8,922,1,1,2.873321371,3,1,3
8,922,0,1,0.8188796281,46,0,3
8,341,1,1,2.872046506,2,0,3
8,341,0,1,0.02676206201,62,0,3
10,882,0,1,2.873300988,3,0,3
10,882,1,1,2.503699075,22,0,3
10,178,1,1,2.87329653,3,0,3
10,178,0,1,2.849735304,5,0,3
10,922,1,1,2.873306919,3,1,3
10,922,0,1,0.8190381347,46,0,3
10,341,1,1,2.87184082,2,0,3
10,341,0,1,0.02677376837,62,0,3
12,882,0,1,2.873209146,3,0,3
12,882,1,1,2.503648279,22,0,3
12,178,1,1,2.873205303,3,0,3
12,178,0,1,2.849825031,5,0,3
12,922,1,1,2.873216463,3,1,3
12,922,0,1,0.8191361377,46,0,3
12,341,1,1,2.871884285,2,0,3
12,341,0,1,0.02723303732,65,0,3
14,882,0,1,2.87323361,3,0,3
14,882,1,1,2.503737785,22,0,3
14,178,1,1,2.873234593,3,0,3
14,178,0,1,2.849838804,5,0,3
14,922,1,1,2.873234983,3,1,3
14,922,0,1,0.8191395667,46,0,3
14,341,1,1,2.871944466,2,0,3
14,341,0,1,0.02721890664,65,0,3
16,882,0,1,2.873271171,3,1,3
16,882,1,1,2.503757091,22,0,3
16,178,1,1,2.873270844,3,0,3
16,178,0,1,2.84980395,5,0,3
16,922,1,1,2.873269524,3,0,3
16,922,0,1,0.8190680893,46,0,3
16,341,1,1,2.871944112,2,0,3
16,341,0,1,0.02675498273,62,0,3
17,178,1,1,2.870558723,4,0,3
17,178,0,1,2.847203338,6,0,3
17,922,1,1,2.870562749,4,1,3
17,922,0,1,0.8175010677,46,0,3
17,341,1,1,2.870555857,4,0,3
17,341,0,1,0.02515577263,62,0,3
17,810,1,1,2.868979434,4,0,3
17,810,0,1,0.27661189,59,0,3
19,178,1,1,2.870553807,4,0,3
19,178,0,1,2.847217467,6,0,3
19,922,1,1,2.870560976,4,1,3
19,922,0,1,0.8174682773,46,0,3
19,341,1,1,2.870555469,4,0,3
19,341,0,1,0.02514845288,62,0,3
19,810,1,1,2.868974939,4,0,3
19,810,0,1,0.2771819381,61,0,3
21,178,1,1,2.870557279,4,0,3
21,178,0,1,2.847232289,6,0,3
21,922,1,1,2.870563227,4,1,3
21,922,0,1,0.8174209761,46,0,3
21,341,1,1,2.870561396,4,0,3
21,341,0,1,0.02514111768,62,0,3
21,810,1,1,2.868982325,4,0,3
21,810,0,1,0.2771671238,61,0,3
23,178,1,1,2.870557165,4,0,3
23,178,0,1,2.847223515,6,0,3
23,922,1,1,2.870561906,4,0,3
23,922,0,1,0.8173963361,46,0,3
23,341,1,1,2.870562644,4,1,3
23,341,0,1,0.0251410954,62,0,3
23,810,1,1,2.868982693,4,0,3
23,810,0,1,0.2771626315,61,0,3
25,178,1,1,2.870560905,4,0,3
25,178,0,1,2.847225764,6,0,3
25,922,1,1,2.870565682,4,0,3
25,922,0,1,0.8173983626,46,0,3
25,341,1,1,2.870568154,4,1,3
25,341,0,1,0.02514512047,62,0,3
25,810,1,1,2.868983281,4,0,3
25,810,0,1,0.2771835867,61,0,3
27,178,1,1,2.870566402,4,0,3
27,178,0,1,2.847246668,6,0,3
27,922,1,1,2.870572299,4,1,3
27,922,0,1,0.817405516,46,0,3
27,341,1,1,2.870571769,4,0,3
27,341,0,1,0.02514374661,62,0,3
27,810,1,1,2.86898563,4,0,3
27,810,0,1,0.2771667166,61,0,3
29,178,1,1,2.870553281,4,0,3
29,178,0,1,2.847216851,6,0,3
29,922,1,1,2.870557032,4,0,3
29,922,0,1,0.8174058353,46,0,3
29,341,1,1,2.870561977,4,1,3
