# scorer=cert K=3 N=1000 M=4200 seed=15 r=0.9 theta=0 veto=0 dynamic_I_backtrack=0 lookahead_k=4 energy=eta rollout_h=0 rollout_eta=15 eps=0.01 damp=0
step,action,vertex,dir
0,dec,132,1
1,back,132,-1
2,dec,132,1
3,back,132,-1
4,dec,132,1
5,back,132,-1
6,dec,132,1
7,back,132,-1
8,dec,132,1
9,back,132,-1
10,dec,132,1
11,back,132,-1
12,dec,132,1
13,back,132,-1
14,dec,132,1
15,back,132,-1
16,dec,132,1
17,dec,620,0
18,back,620,-1
19,dec,620,0
20,back,620,-1
21,dec,620,0
22,back,620,-1
23,dec,620,0
24,back,620,-1
25,dec,620,0
26,back,620,-1
27,dec,620,0
28,back,620,-1
29,dec,620,0
30,back,620,-1
31,dec,620,0
32,back,620,-1
33,dec,620,0
34,back,620,-1
35,dec,620,0
36,dec,496,1
37,back,496,-1
38,dec,496,1
39,back,496,-1
40,dec,496,1
41,back,496,-1
42,dec,496,1
43,back,496,-1
44,dec,496,1
45,back,496,-1
46,dec,496,1
47,back,496,-1
48,dec,496,1
49,back,496,-1
50,dec,496,1
51,back,496,-1
52,dec,496,1
53,back,496,-1
54,dec,496,1
55,dec,810,0
56,back,810,-1
57,dec,810,0
58,back,810,-1
59,dec,810,0
60,back,810,-1
61,dec,810,0
62,back,810,-1
63,dec,810,0
64,back,810,-1
65,dec,810,0
66,back,810,-1
67,dec,810,0
68,back,810,-1
69,dec,810,0
70,back,810,-1
71,dec,810,0
72,back,810,-1
73,dec,810,0
74,dec,583,0
75,back,583,-1
76,dec,583,0
77,back,583,-1
78,dec,583,0
79,back,583,-1
80,dec,583,0
81,back,583,-1
82,dec,583,0
83,back,583,-1
84,dec,583,0
85,back,583,-1
86,dec,583,0
87,back,583,-1
88,dec,583,0
89,back,583,-1
90,dec,583,0
91,back,583,-1
92,dec,583,0
93,dec,622,0
94,back,622,-1
95,dec,622,0
96,back,622,-1
97,dec,622,0
98,back,622,-1
99,dec,622,0
100,back,622,-1
101,dec,622,0
102,back,622,-1
103,dec,622,0
104,back,622,-1
105,dec,622,0
106,back,622,-1
107,dec,622,0
108,back,622,-1
109,dec,622,0
110,back,622,-1
111,dec,622,0
112,dec,391,0
113,back,391,-1
114,dec,391,0
115,back,391,-1
116,dec,391,0
117,back,391,-1
118,dec,391,0
119,back,391,-1
120,dec,391,0
121,back,391,-1
122,dec,391,0
123,back,391,-1
124,dec,391,0
125,back,391,-1
126,dec,391,0
127,back,391,-1
128,dec,391,0
129,back,391,-1
130,dec,391,0
131,dec,657,1
132,back,657,-1
133,dec,645,0
134,back,645,-1
135,dec,645,0
136,back,645,-1
137,dec,645,0
138,back,645,-1
139,dec,645,0
140,back,645,-1
141,dec,645,0
142,back,645,-1
143,dec,645,0
144,back,645,-1
145,dec,645,0
146,back,645,-1
147,dec,645,0
148,back,645,-1
149,dec,645,0
150,dec,657,1
151,back,657,-1
152,dec,750,0
153,back,750,-1
154,dec,750,0
155,back,750,-1
156,dec,750,0
157,back,750,-1
158,dec,750,0
159,back,750,-1
160,dec,750,0
161,back,750,-1
162,dec,657,1
163,back,657,-1
164,dec,657,1
165,back,657,-1
166,dec,657,1
167,back,657,-1
168,dec,750,0
169,dec,377,1
170,back,377,-1
171,dec,657,1
172,back,657,-1
173,dec,657,1
174,back,657,-1
175,dec,377,1
176,back,377,-1
177,dec,657,1
178,back,657,-1
179,dec,657,1
180,back,657,-1
181,dec,377,1
182,back,377,-1
183,dec,657,1
184,back,657,-1
185,dec,657,1
186,back,657,-1
187,dec,377,1
188,dec,657,1
189,back,657,-1
190,dec,657,1
191,back,657,-1
192,dec,657,1
193,back,657,-1
194,dec,259,0
195,back,259,-1
196,dec,657,1
197,back,657,-1
