# scorer=cert energy=eta K=3 N=1000 M=4200 seed=15 r=0.9 lookahead_k=4
step,vertex,dir,converged,sigma_after,eta_after,chosen,h
0,132,1,1,5.995578095,1,1,1
0,132,0,1,4.72499064,27,0,1
0,620,0,1,5.995237723,1,0,1
0,620,1,1,0.08100663333,70,0,1
0,496,1,1,5.994386204,1,0,1
0,496,0,1,4.622626349,30,0,1
0,810,0,1,5.994103502,1,0,1
0,810,1,1,2.817901119,44,0,1
2,132,1,1,5.995112367,0,1,1
2,132,0,1,4.724885369,27,0,1
2,620,0,1,5.99477088,0,0,1
2,620,1,1,0.08125699864,70,0,1
2,496,1,1,5.993862432,1,0,1
2,496,0,1,4.622796915,30,0,1
2,810,0,1,5.993571925,1,0,1
2,810,1,1,2.817874206,42,0,1
4,132,1,1,5.995015479,0,1,1
4,132,0,1,4.724872236,27,0,1
4,620,0,1,5.994670714,0,0,1
4,620,1,1,0.08082637606,70,0,1
4,496,1,1,5.994330046,1,0,1
4,496,0,1,4.622539094,30,0,1
4,810,0,1,5.9940589,1,0,1
4,810,1,1,2.817903082,42,0,1
6,132,1,1,5.994863265,0,1,1
6,132,0,1,4.72501255,27,0,1
6,620,0,1,5.994519033,0,0,1
6,620,1,1,0.08104685558,70,0,1
6,496,1,1,5.993653163,1,0,1
6,496,0,1,4.622926554,30,0,1
6,810,0,1,5.993380768,1,0,1
6,810,1,1,2.817849849,42,0,1
8,132,1,1,5.995057049,0,1,1
8,132,0,1,4.724957469,27,0,1
8,620,0,1,5.994713511,0,0,1
8,620,1,1,0.08125760307,70,0,1
8,496,1,1,5.993865669,1,0,1
8,496,0,1,4.62289336,30,0,1
8,810,0,1,5.993612314,0,0,1
8,810,1,1,2.817843225,42,0,1
10,132,1,1,5.995080363,0,1,1
10,132,0,1,4.724826845,27,0,1
10,620,0,1,5.99473339,0,0,1
10,620,1,1,0.08098520266,70,0,1
10,496,1,1,5.993928402,1,0,1
10,496,0,1,4.62263594,30,0,1
10,810,0,1,5.993622108,1,0,1
10,810,1,1,2.817832961,42,0,1
12,132,1,1,5.99498497,0,1,1
12,132,0,1,4.724860848,27,0,1
12,620,0,1,5.994640727,0,0,1
12,620,1,1,0.08097577106,70,0,1
12,496,1,1,5.993756409,1,0,1
12,496,0,1,4.622890261,30,0,1
12,810,0,1,5.993443129,1,0,1
12,810,1,1,2.817815925,42,0,1
14,132,1,1,5.99507927,0,1,1
14,132,0,1,4.724850217,27,0,1
14,620,0,1,5.994737167,0,0,1
14,620,1,1,0.08116620119,70,0,1
14,496,1,1,5.993933722,1,0,1
14,496,0,1,4.622921684,30,0,1
14,810,0,1,5.993632811,1,0,1
