# scorer=cert K=3 N=1000 M=4200 seed=16 r=0.9 theta=0 veto=0 dynamic_I_backtrack=0 lookahead_k=4 energy=eta rollout_h=0 rollout_eta=15 eps=0.01 damp=0
step,vertex,fixed,who,sT,sF,sI,score,abspol,degree,sNN
0,1,0,0,0.3163492911,0.26788183,0.4157688789,0.73211817,0.04846746114,10,nan
0,2,0,0,0.3015187206,0.5694569057,0.1290243737,0.6984812794,0.2679381851,16,nan
0,3,0,0,0.6454327969,0.2988470171,0.05572018598,0.7011529829,0.3465857798,16,nan
0,4,0,0,0.1926141542,0.6663027004,0.1410831454,0.8073858458,0.4736885463,8,nan
0,5,0,0,0.9256091053,0.01731182574,0.05707906899,0.9826881743,0.9082972795,12,nan
0,6,0,0,0.0949031409,0.7287035566,0.1763933025,0.9050968591,0.6338004157,10,nan
0,7,0,0,0.5341012008,0.2254253706,0.2404734286,0.7745746294,0.3086758302,16,nan
0,8,0,0,0.5159186264,0.02586831525,0.4582130584,0.9741316848,0.4900503111,4,nan
0,9,0,0,0.89988154,0.05288192747,0.0472365325,0.9471180725,0.8469996126,12,nan
0,10,0,0,0.5493548475,0.2578537737,0.1927913788,0.7421462263,0.2915010737,12,nan
0,11,0,0,0.7593851062,0.134352729,0.1062621648,0.865647271,0.6250323772,9,nan
0,12,0,0,0.2358098234,0.336566136,0.4276240406,0.7641901766,0.1007563126,9,nan
0,13,0,0,0.1676956139,0.6816349109,0.1506694753,0.8323043861,0.513939297,7,nan
0,14,0,0,0.4592120339,0.419581991,0.1212059751,0.580418009,0.03963004285,12,nan
0,15,0,0,0.6144524053,0.07795945907,0.3075881356,0.9220405409,0.5364929462,8,nan
0,16,0,0,0.2303062682,0.7425910928,0.02710263907,0.7696937318,0.5122848246,22,nan
0,17,0,0,0.6501403581,0.2292822559,0.120577386,0.7707177441,0.4208581022,13,nan
0,18,0,0,0.6169405294,0.06819680756,0.314862663,0.9318031924,0.5487437219,11,nan
