# scorer=cert K=3 N=1000 M=4200 seed=15 r=0.9 theta=0 veto=0 dynamic_I_backtrack=0 lookahead_k=4 energy=eta rollout_h=3 rollout_eta=0 eps=0.01 damp=0
step,action,vertex,dir
0,dec,496,1
1,back,496,-1
2,dec,132,1
3,back,132,-1
4,dec,496,1
5,back,496,-1
6,dec,810,0
7,back,810,-1
8,dec,620,0
9,back,620,-1
10,dec,620,0
11,back,620,-1
12,dec,496,1
13,back,496,-1
14,dec,620,0
15,back,620,-1
16,dec,496,1
17,dec,810,0
18,back,810,-1
19,dec,810,0
20,back,810,-1
21,dec,810,0
22,back,810,-1
23,dec,810,0
24,back,810,-1
25,dec,810,0
26,back,810,-1
27,dec,810,0
28,back,810,-1
29,dec,810,0
30,back,810,-1
31,dec,810,0
32,back,810,-1
33,dec,810,0
34,back,810,-1
35,dec,810,0
36,dec,583,0
37,back,583,-1
38,dec,132,1
39,back,810,-1
40,dec,810,0
41,back,810,-1
42,dec,810,0
43,back,810,-1
44,dec,810,0
45,back,810,-1
46,dec,810,0
47,back,810,-1
48,dec,810,0
49,back,810,-1
50,dec,810,0
51,back,810,-1
52,dec,810,0
53,back,810,-1
54,dec,810,0
55,dec,583,0
56,back,583,-1
57,dec,583,0
58,back,583,-1
59,dec,583,0
60,back,583,-1
61,dec,583,0
62,back,583,-1
63,dec,583,0
64,back,583,-1
65,dec,583,0
66,back,583,-1
67,dec,583,0
68,back,583,-1
69,dec,583,0
70,back,583,-1
71,dec,583,0
72,back,583,-1
73,dec,583,0
74,dec,391,0
75,back,391,-1
76,dec,391,0
77,back,391,-1
78,dec,622,0
79,back,622,-1
80,dec,622,0
81,back,622,-1
82,dec,620,0
83,back,583,-1
84,dec,391,0
85,back,391,-1
86,dec,391,0
87,back,391,-1
88,dec,391,0
89,back,391,-1
90,dec,391,0
91,back,391,-1
92,dec,391,0
93,dec,645,0
94,back,645,-1
95,dec,645,0
96,back,645,-1
97,dec,645,0
98,back,645,-1
99,dec,645,0
100,back,645,-1
101,dec,583,0
102,back,391,-1
103,dec,622,0
104,back,622,-1
105,dec,391,0
106,back,391,-1
107,dec,645,0
108,back,645,-1
109,dec,391,0
110,back,391,-1
111,dec,645,0
112,dec,622,0
113,back,645,-1
114,dec,645,0
115,back,645,-1
116,dec,391,0
117,back,391,-1
118,dec,645,0
119,back,645,-1
120,dec,391,0
121,back,391,-1
122,dec,391,0
123,back,391,-1
124,dec,391,0
125,back,391,-1
126,dec,391,0
127,back,391,-1
128,dec,391,0
129,back,391,-1
130,dec,391,0
131,dec,657,1
132,back,657,-1
133,dec,377,1
134,back,377,-1
135,dec,377,1
136,back,377,-1
137,dec,377,1
138,back,377,-1
139,dec,645,0
140,back,645,-1
141,dec,377,1
142,back,377,-1
143,dec,645,0
144,back,645,-1
145,dec,377,1
146,back,377,-1
147,dec,645,0
148,back,645,-1
149,dec,377,1
150,dec,657,1
151,back,657,-1
152,dec,645,0
153,back,377,-1
154,dec,750,0
155,back,750,-1
156,dec,377,1
157,back,377,-1
158,dec,657,1
159,back,657,-1
160,dec,750,0
161,back,750,-1
162,dec,657,1
163,back,657,-1
164,dec,657,1
165,back,657,-1
166,dec,657,1
167,back,657,-1
168,dec,377,1
169,dec,259,0
170,back,259,-1
171,dec,657,1
172,back,657,-1
173,dec,259,0
174,back,259,-1
175,dec,750,0
176,back,377,-1
177,dec,377,1
178,back,377,-1
179,dec,259,0
180,back,259,-1
181,dec,259,0
182,back,259,-1
183,dec,259,0
184,back,259,-1
185,dec,259,0
186,back,259,-1
187,dec,259,0
188,dec,197,0
189,back,197,-1
190,dec,197,0
191,back,197,-1
192,dec,197,0
193,back,197,-1
194,dec,197,0
195,back,197,-1
196,dec,197,0
197,back,197,-1
198,dec,197,0
199,back,197,-1
200,dec,377,1
201,back,259,-1
202,dec,197,0
203,back,197,-1
204,dec,116,0
205,back,116,-1
206,dec,197,0
207,dec,116,0
208,back,197,-1
209,dec,259,0
210,back,116,-1
211,dec,533,1
212,back,533,-1
213,dec,657,1
214,back,657,-1
215,dec,570,0
216,back,570,-1
217,dec,570,0
218,back,570,-1
219,dec,570,0
220,back,570,-1
221,dec,570,0
222,back,570,-1
223,dec,570,0
224,back,570,-1
225,dec,570,0
226,dec,116,0
227,back,570,-1
228,dec,570,0
229,back,570,-1
230,dec,570,0
231,back,570,-1
232,dec,570,0
233,back,570,-1
234,dec,570,0
235,back,570,-1
236,dec,570,0
237,back,570,-1
238,dec,570,0
239,back,570,-1
240,dec,570,0
241,back,570,-1
242,dec,570,0
243,back,570,-1
244,dec,570,0
245,dec,197,0
246,back,570,-1
247,dec,570,0
248,back,570,-1
249,dec,570,0
250,back,570,-1
251,dec,570,0
252,back,570,-1
253,dec,570,0
254,back,570,-1
255,dec,570,0
256,back,570,-1
257,dec,570,0
258,back,570,-1
259,dec,570,0
260,back,570,-1
261,dec,570,0
262,back,570,-1
263,dec,570,0
264,dec,465,0
265,back,465,-1
266,dec,465,0
267,back,465,-1
268,dec,465,0
269,back,465,-1
270,dec,465,0
271,back,465,-1
272,dec,465,0
273,back,465,-1
274,dec,465,0
275,back,465,-1
276,dec,465,0
277,back,465,-1
278,dec,465,0
279,back,465,-1
280,dec,465,0
281,back,465,-1
282,dec,465,0
283,dec,372,0
284,back,465,-1
285,dec,465,0
286,back,570,-1
