START ALGORITHM:
I am going to build an instance with N: 1000 variables and 4200 clauses with a clause density equal to 4.2
START DYNAMIC-I BSP WITH r=0.9:
Decimation scorer: cert
END UNIT PROPAGATION
1000 4200 6.34213862 0.00634213862 4.2
1000 4200 6.34219181 0.00634219181 4.2
1000 4200 6.3420441 0.0063420441 4.2
1000 4200 6.34231298 0.00634231298 4.2
1000 4200 6.3422167 0.0063422167 4.2
1000 4200 6.34214469 0.00634214469 4.2
1000 4200 6.34217651 0.00634217651 4.2
1000 4200 6.34218022 0.00634218022 4.2
1000 4200 6.34214969 0.00634214969 4.2
999 4191 6.34216086 0.00634216086 4.1951952
999 4197 6.34217846 0.00634217846 4.2012012
999 4197 6.34218518 0.00634218518 4.2012012
999 4197 6.34216233 0.00634216233 4.2012012
999 4197 6.34217806 0.00634217806 4.2012012
999 4197 6.34216549 0.00634216549 4.2012012
999 4197 6.34217351 0.00634217351 4.2012012
999 4197 6.34217247 0.00634217247 4.2012012
999 4197 6.34217101 0.00634217101 4.2012012
999 4197 6.3421708 0.0063421708 4.2012012
998 4193 6.34217248 0.00634217248 4.20140281
998 4193 6.3421728 0.0063421728 4.20140281
998 4193 6.34217019 0.00634217019 4.20140281
998 4193 6.3421732 0.0063421732 4.20140281
998 4193 6.3421714 0.0063421714 4.20140281
998 4193 6.34217205 0.00634217205 4.20140281
998 4193 6.34217201 0.00634217201 4.20140281
998 4193 6.34217205 0.00634217205 4.20140281
998 4193 6.3421718 0.0063421718 4.20140281
998 4193 6.34217225 0.00634217225 4.20140281
997 4184 6.34217203 0.00634217203 4.19658977
997 4184 6.34217208 0.00634217208 4.19658977
997 4184 6.34217195 0.00634217195 4.19658977
997 4184 6.342172 0.006342172 4.19658977
997 4184 6.34217201 0.00634217201 4.19658977
997 4184 6.34217199 0.00634217199 4.19658977
997 4184 6.34217199 0.00634217199 4.19658977
997 4184 6.342172 0.006342172 4.19658977
997 4184 6.34217199 0.00634217199 4.19658977
997 4184 6.34217199 0.00634217199 4.19658977
996 4175 6.34213554 0.00634213554 4.19176707
996 4175 6.3421355 0.0063421355 4.19176707
996 4175 6.34213563 0.00634213563 4.19176707
996 4175 6.34213568 0.00634213568 4.19176707
996 4175 6.3421357 0.0063421357 4.19176707
996 4175 6.34213565 0.00634213565 4.19176707
996 4175 6.34213565 0.00634213565 4.19176707
996 4175 6.34213563 0.00634213563 4.19176707
996 4175 6.34213564 0.00634213564 4.19176707
996 4175 6.34213565 0.00634213565 4.19176707
995 4168 6.34175831 0.00634175831 4.18894472
995 4168 6.34175832 0.00634175832 4.18894472
995 4168 6.34175909 0.00634175909 4.18894472
995 4168 6.34175911 0.00634175911 4.18894472
