# scorer=cert K=3 N=1000 M=4200 seed=3 r=0.9 theta=0 veto=0 dynamic_I_backtrack=1 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed
0,dec,1000,4200,2.875502506,0.002875502506,99,0,1,0
1,back,999,4195,2.876742266,0.002876742266,3,0,1,1
2,dec,1000,4200,2.875047583,0.002875047583,1,0,1,0
3,back,999,4195,2.876319206,0.002876319206,0,0,1,1
4,dec,1000,4200,2.875690148,0.002875690148,0,0,1,0
5,back,999,4195,2.87503302,0.00287503302,0,0,1,1
6,dec,1000,4200,2.875785099,0.002875785099,0,0,1,0
7,back,999,4195,2.875956029,0.002875956029,0,0,1,1
8,dec,1000,4200,2.875546704,0.002875546704,0,0,1,0
9,back,999,4195,2.875405452,0.002875405452,0,0,1,1
10,dec,1000,4200,2.875762703,0.002875762703,0,0,1,0
11,back,999,4195,2.875806649,0.002875806649,0,0,1,1
12,dec,1000,4200,2.875403962,0.002875403962,0,0,1,0
13,back,999,4195,2.875545767,0.002875545767,0,0,1,1
14,dec,1000,4200,2.875927498,0.002875927498,0,0,1,0
15,back,999,4195,2.875523809,0.002875523809,0,0,1,1
16,dec,1000,4200,2.875432729,0.002875432729,0,0,1,0
17,dec,999,4195,2.875858561,0.002875858561,0,0,1,1
18,back,998,4193,2.874470447,0.002874470447,1,0,0.9990053022,2
19,dec,999,4195,2.875681062,0.002875681062,1,0,0.9990053022,1
20,back,998,4193,2.87463445,0.00287463445,1,0,0.9990053022,2
21,dec,999,4195,2.875627224,0.002875627224,1,0,0.9990053022,1
22,back,998,4193,2.874678709,0.002874678709,1,0,0.999001148,2
23,dec,999,4195,2.875551697,0.002875551697,1,0,0.999001148,1
24,back,998,4193,2.874719859,0.002874719859,1,0,0.999001148,2
25,dec,999,4195,2.875581083,0.002875581083,1,0,0.999001148,1
26,back,998,4193,2.874639718,0.002874639718,1,0,0.999001148,2
27,dec,999,4195,2.875653052,0.002875653052,1,0,0.999001148,1
28,back,998,4193,2.874616842,0.002874616842,1,0,0.999001148,2
29,dec,999,4195,2.875646528,0.002875646528,1,0,0.999001148,1
30,back,998,4193,2.874616098,0.002874616098,1,0,0.999001148,2
31,dec,999,4195,2.875647559,0.002875647559,1,0,0.999001148,1
32,back,998,4193,2.874624512,0.002874624512,1,0,0.999001148,2
33,dec,999,4195,2.875626396,0.002875626396,1,0,0.999001148,1
34,back,998,4193,2.874645726,0.002874645726,1,0,0.999001148,2
35,dec,999,4195,2.875619229,0.002875619229,1,0,0.999001148,1
36,dec,998,4193,2.874641276,0.002874641276,1,0,0.999001148,2
37,back,997,4188,2.873266955,0.002873266955,2,0,0.9986283118,3
38,dec,998,4193,2.874638773,0.002874638773,2,0,0.9986283118,2
39,back,997,4188,2.87326168,0.00287326168,2,0,0.9986279428,3
40,dec,998,4193,2.874633096,0.002874633096,2,0,0.9986279428,2
41,back,997,4188,2.87325995,0.00287325995,2,0,0.9986279428,3
42,dec,998,4193,2.874634246,0.002874634246,2,0,0.9986279428,2
43,back,997,4188,2.873260607,0.002873260607,2,0,0.9986261442,3
44,dec,998,4193,2.874634719,0.002874634719,2,0,0.9986261442,2
45,back,997,4188,2.873261073,0.002873261073,2,0,0.9986261442,3
46,dec,998,4193,2.874634934,0.002874634934,2,0,0.9986261442,2
47,back,997,4188,2.873261827,0.002873261827,2,0,0.9986261442,3
48,dec,998,4193,2.874636065,0.002874636065,2,0,0.9986261442,2
49,back,997,4188,2.873262961,0.002873262961,2,0,0.9986261442,3
50,dec,998,4193,2.87463724,0.00287463724,2,0,0.9986261442,2
51,back,997,4188,2.873263835,0.002873263835,2,0,0.9986261442,3
52,dec,998,4193,2.874637645,0.002874637645,2,0,0.9986261442,2
53,back,997,4188,2.873263786,0.002873263786,2,0,0.9986261442,3
54,dec,998,4193,2.874637471,0.002874637471,2,0,0.9986261442,2
55,dec,997,4188,2.873263548,0.002873263548,2,0,0.9986261442,3
56,back,996,4176,2.870561343,0.002870561343,1,0,0.997304511,4
57,dec,997,4188,2.873260624,0.002873260624,1,0,0.997304511,3
58,back,996,4176,2.870567013,0.002870567013,1,0,0.997304511,4
59,dec,997,4188,2.873260547,0.002873260547,1,0,0.997304511,3
60,back,996,4176,2.870567431,0.002870567431,1,0,0.997304511,4
61,dec,997,4188,2.873260431,0.002873260431,1,0,0.997304511,3
62,back,996,4176,2.870563197,0.002870563197,1,0,0.9973035247,4
63,dec,997,4188,2.873255927,0.002873255927,1,0,0.9973035247,3
64,back,996,4176,2.870563994,0.002870563994,1,0,0.9973025136,4
65,dec,997,4188,2.873253075,0.002873253075,1,0,0.9973025136,3
66,back,996,4176,2.870562851,0.002870562851,1,0,0.9973025136,4
67,dec,997,4188,2.873252954,0.002873252954,1,0,0.9973025136,3
68,back,996,4176,2.870564086,0.002870564086,1,0,0.9973025136,4
69,dec,997,4188,2.873254372,0.002873254372,1,0,0.9973025136,3
70,back,996,4176,2.87056532,0.00287056532,1,0,0.9973025136,4
71,dec,997,4188,2.873253975,0.002873253975,1,0,0.9973025136,3
72,back,996,4176,2.870564915,0.002870564915,1,0,0.9973025136,4
73,dec,997,4188,2.873254077,0.002873254077,1,0,0.9973025136,3
74,dec,996,4176,2.870565542,0.002870565542,1,0,0.9973025136,4
75,back,995,4166,2.866284738,0.002866284738,1,0,0.9957264343,5
76,dec,996,4176,2.870558604,0.002870558604,1,0,0.9957264343,4
77,back,995,4166,2.86627777,0.00286627777,1,0,0.9957264343,5
78,dec,996,4176,2.870557737,0.002870557737,1,0,0.9957264343,4
79,back,995,4166,2.866273623,0.002866273623,1,0,0.9957264343,5
80,dec,996,4176,2.870553479,0.002870553479,1,0,0.9957264343,4
81,back,995,4166,2.86626324,0.00286626324,1,0,0.9957264343,5
82,dec,996,4176,2.870555497,0.002870555497,1,0,0.9957264343,4
83,back,995,4166,2.86626482,0.00286626482,1,0,0.9957264343,5
84,dec,996,4176,2.870554205,0.002870554205,1,0,0.9957264343,4
85,back,995,4166,2.866269317,0.002866269317,1,0,0.9957264343,5
86,dec,996,4176,2.870557582,0.002870557582,1,0,0.9957264343,4
87,back,995,4166,2.866273582,0.002866273582,1,0,0.9957264343,5
88,dec,996,4176,2.870561787,0.002870561787,1,0,0.9957264343,4
89,back,995,4166,2.866272773,0.002866272773,1,0,0.9957264343,5
90,dec,996,4176,2.870561365,0.002870561365,1,0,0.9957264343,4
91,back,995,4166,2.866275555,0.002866275555,1,0,0.9957264343,5
92,dec,996,4176,2.870564483,0.002870564483,1,0,0.9957264343,4
93,dec,995,4166,2.8662769,0.0028662769,1,0,0.9957264343,5
94,back,994,4155,2.861149866,0.002861149866,1,0,0.9948867918,6
95,dec,995,4166,2.866269857,0.002866269857,1,0,0.9948867918,5
96,back,994,4155,2.861144267,0.002861144267,1,0,0.9948867918,6
97,dec,995,4166,2.866269315,0.002866269315,1,0,0.9948867918,5
98,back,994,4155,2.861150756,0.002861150756,1,0,0.9948867918,6
99,dec,995,4166,2.866274407,0.002866274407,1,0,0.9948867918,5
100,back,994,4155,2.861153555,0.002861153555,1,0,0.9948867918,6
101,dec,995,4166,2.866276275,0.002866276275,1,0,0.9948867918,5
102,back,994,4155,2.861161642,0.002861161642,1,0,0.9948867918,6
103,dec,995,4166,2.86628318,0.00286628318,1,0,0.9948867918,5
104,back,994,4155,2.861165471,0.002861165471,1,0,0.9948867918,6
105,dec,995,4166,2.866286833,0.002866286833,1,0,0.9948867918,5
106,back,994,4155,2.861173206,0.002861173206,1,0,0.9948867918,6
107,dec,995,4166,2.866292636,0.002866292636,1,0,0.9948867918,5
108,back,994,4155,2.861175933,0.002861175933,1,0,0.9948867918,6
109,dec,995,4166,2.866297736,0.002866297736,1,0,0.9948867918,5
110,back,994,4155,2.861177435,0.002861177435,1,0,0.9948867918,6
111,dec,995,4166,2.8662983,0.0028662983,1,0,0.9948867918,5
112,dec,994,4155,2.861177584,0.002861177584,1,0,0.9948867918,6
113,back,993,4148,2.855958238,0.002855958238,2,0,0.9948457799,7
114,dec,994,4155,2.861189796,0.002861189796,2,0,0.9948457799,6
115,back,993,4148,2.855986327,0.002855986327,2,0,0.9948452836,7
116,dec,994,4155,2.861180643,0.002861180643,2,0,0.9948452836,6
117,back,993,4148,2.856001342,0.002856001342,2,0,0.9948447958,7
118,dec,994,4155,2.861181244,0.002861181244,2,0,0.9948447958,6
119,back,993,4148,2.856012145,0.002856012145,2,0,0.9948447958,7
120,dec,994,4155,2.861175692,0.002861175692,2,0,0.9948447958,6
121,back,993,4148,2.856011955,0.002856011955,2,0,0.9948447958,7
122,dec,994,4155,2.861179865,0.002861179865,2,0,0.9948447958,6
123,back,993,4148,2.856011747,0.002856011747,2,0,0.9948447958,7
124,dec,994,4155,2.861180975,0.002861180975,2,0,0.9948447958,6
125,back,993,4148,2.856012376,0.002856012376,2,0,0.9948447958,7
126,dec,994,4155,2.861181193,0.002861181193,2,0,0.9948447958,6
127,back,993,4148,2.856011654,0.002856011654,2,0,0.9948447958,7
128,dec,994,4155,2.861180323,0.002861180323,2,0,0.9948447958,6
129,back,993,4148,2.856009954,0.002856009954,2,0,0.9948447958,7
130,dec,994,4155,2.861179817,0.002861179817,2,0,0.9948447958,6
131,dec,993,4148,2.856009994,0.002856009994,2,0,0.9948447958,7
132,back,992,4141,2.853176928,0.002853176928,1,0,0.9948447958,8
133,dec,993,4152,2.858359175,0.002858359175,1,0,0.9948447958,7
134,back,992,4141,2.853204501,0.002853204501,1,0,0.9948447958,8
135,dec,993,4152,2.85831929,0.00285831929,1,0,0.9948447958,7
136,back,992,4141,2.853204182,0.002853204182,1,0,0.9948447958,8
137,dec,993,4152,2.858331626,0.002858331626,1,0,0.9948447958,7
138,back,992,4141,2.853201063,0.002853201063,1,0,0.9948447958,8
139,dec,993,4152,2.858340768,0.002858340768,1,0,0.9948447958,7
140,back,992,4141,2.853199728,0.002853199728,1,0,0.9948447958,8
141,dec,993,4152,2.858340994,0.002858340994,1,0,0.9948447958,7
142,back,992,4141,2.853214696,0.002853214696,1,0,0.9948447958,8
143,dec,993,4152,2.858339443,0.002858339443,1,0,0.9948447958,7
144,back,992,4141,2.853214515,0.002853214515,1,0,0.9948447958,8
145,dec,993,4152,2.858350896,0.002858350896,1,0,0.9948447958,7
146,back,992,4141,2.853217767,0.002853217767,1,0,0.9948447958,8
147,dec,993,4152,2.858352761,0.002858352761,1,0,0.9948447958,7
148,back,992,4141,2.853220672,0.002853220672,1,0,0.9948447958,8
149,dec,993,4152,2.858355291,0.002858355291,1,0,0.9948447958,7
150,dec,992,4141,2.853221166,0.002853221166,1,0,0.9948447958,8
151,back,991,4135,2.848102637,0.002848102637,1,0,0.9948447958,9
152,dec,992,4141,2.853242576,0.002853242576,1,0,0.9948447958,8
153,back,991,4135,2.848116394,0.002848116394,1,0,0.9948447958,9
154,dec,992,4141,2.853250375,0.002853250375,1,0,0.9948447958,8
155,back,991,4135,2.84813364,0.00284813364,1,0,0.9948447958,9
156,dec,992,4141,2.853259469,0.002853259469,1,0,0.9948447958,8
157,back,991,4135,2.848141323,0.002848141323,1,0,0.9948447958,9
158,dec,992,4141,2.853258044,0.002853258044,1,0,0.9948447958,8
159,back,991,4135,2.848135237,0.002848135237,1,0,0.9948447958,9
160,dec,992,4141,2.853249388,0.002853249388,1,0,0.9948447958,8
161,back,991,4135,2.84812771,0.00284812771,1,0,0.9948447958,9
162,dec,992,4141,2.853240345,0.002853240345,1,0,0.9948447958,8
163,back,991,4135,2.848120469,0.002848120469,1,0,0.9948447958,9
164,dec,992,4141,2.853229708,0.002853229708,1,0,0.9948447958,8
165,back,991,4135,2.848111152,0.002848111152,1,0,0.9948447958,9
166,dec,992,4141,2.853222503,0.002853222503,1,0,0.9948447958,8
167,back,991,4135,2.84810447,0.00284810447,1,0,0.9948447958,9
168,dec,992,4141,2.853215962,0.002853215962,1,0,0.9948447958,8
169,dec,991,4135,2.848100628,0.002848100628,1,0,0.9948447958,9
170,back,990,4130,2.842896187,0.002842896187,1,0,0.9948073837,10
171,dec,991,4135,2.848068925,0.002848068925,1,0,0.9948073837,9
172,back,990,4130,2.842855312,0.002842855312,1,0,0.9948073837,10
173,dec,991,4135,2.848059314,0.002848059314,1,0,0.9948073837,9
174,back,990,4130,2.842862048,0.002842862048,1,0,0.9948073837,10
175,dec,991,4135,2.848067781,0.002848067781,1,0,0.9948073837,9
176,back,990,4130,2.842850736,0.002842850736,1,0,0.9948073837,10
177,dec,991,4135,2.848061579,0.002848061579,1,0,0.9948073837,9
178,back,990,4130,2.842840559,0.002842840559,1,0,0.9948073837,10
179,dec,991,4135,2.848051443,0.002848051443,1,0,0.9948073837,9
180,back,990,4130,2.842843389,0.002842843389,1,0,0.9948073837,10
181,dec,991,4135,2.848046439,0.002848046439,1,0,0.9948073837,9
182,back,990,4130,2.842833691,0.002842833691,1,0,0.9948073837,10
183,dec,991,4135,2.848037942,0.002848037942,1,0,0.9948073837,9
184,back,990,4130,2.842824452,0.002842824452,1,0,0.9948073837,10
185,dec,991,4135,2.848036619,0.002848036619,1,0,0.9948073837,9
186,back,990,4130,2.842825289,0.002842825289,1,0,0.9948073837,10
187,dec,991,4135,2.848034704,0.002848034704,1,0,0.9948073837,9
188,dec,990,4130,2.842822303,0.002842822303,1,0,0.9948073837,10
189,back,989,4121,2.83774961,0.00283774961,0,0,0.9948073837,11
190,dec,990,4130,2.842831735,0.002842831735,0,0,0.9948073837,10
191,back,989,4121,2.837738166,0.002837738166,0,0,0.9947669246,11
192,dec,990,4130,2.842850038,0.002842850038,0,0,0.9947669246,10
193,back,989,4121,2.837759151,0.002837759151,0,0,0.9947669246,11
194,dec,990,4130,2.842865287,0.002842865287,0,0,0.9947669246,10
195,back,989,4121,2.837752085,0.002837752085,0,0,0.9947669246,11
196,dec,990,4126,2.842944828,0.002842944828,1,0,0.9947669246,10
197,back,989,4121,2.837717662,0.002837717662,1,0,0.9947669246,11
198,dec,990,4126,2.842962282,0.002842962282,2,0,0.9947669246,10
199,back,989,4121,2.83770941,0.00283770941,1,0,0.9947669246,11
200,dec,990,4126,2.842907741,0.002842907741,1,0,0.9947669246,10
201,back,989,4121,2.837690364,0.002837690364,1,0,0.9947669246,11
202,dec,990,4126,2.842892114,0.002842892114,1,0,0.9947669246,10
203,back,989,4121,2.837689694,0.002837689694,1,0,0.9947669246,11
204,dec,990,4126,2.842898135,0.002842898135,1,0,0.9947669246,10
205,back,989,4121,2.837687466,0.002837687466,1,0,0.9947669246,11
206,dec,990,4126,2.842892332,0.002842892332,1,0,0.9947669246,10
207,dec,989,4121,2.837678524,0.002837678524,1,0,0.9947669246,11
208,back,988,4116,2.832275425,0.002832275425,1,0,0.994578254,12
209,dec,989,4121,2.837702089,0.002837702089,1,0,0.994578254,11
210,back,988,4116,2.832322349,0.002832322349,1,0,0.994578254,12
211,dec,989,4121,2.83772238,0.00283772238,1,0,0.994578254,11
212,back,988,4116,2.832330292,0.002832330292,1,0,0.994578254,12
213,dec,989,4121,2.837726057,0.002837726057,1,0,0.994578254,11
214,back,988,4116,2.832334434,0.002832334434,1,0,0.994578254,12
215,dec,989,4121,2.837725975,0.002837725975,1,0,0.994578254,11
216,back,988,4116,2.832330211,0.002832330211,1,0,0.994578254,12
217,dec,989,4121,2.837717328,0.002837717328,1,0,0.994578254,11
