# scorer=gamma:0.01 K=3 N=1000 M=4200 seed=1 r=0.9 theta=0 veto=0 dynamic_I_backtrack=0 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed
0,dec,1000,4200,6.342138618,0.006342138618,75,0,1,0
1,back,999,4189,6.340949763,0.006340949763,0,0,0.9987246456,1
2,dec,1000,4200,6.342208845,0.006342208845,0,0,0.9987246456,0
3,back,999,4189,6.340738607,0.006340738607,0,0,0.9986951136,1
4,dec,1000,4200,6.34203586,0.00634203586,0,0,0.9986951136,0
5,back,999,4189,6.340925912,0.006340925912,0,0,0.9986785945,1
6,dec,1000,4200,6.342311227,0.006342311227,0,0,0.9986785945,0
7,back,999,4189,6.340865797,0.006340865797,0,0,0.9986785945,1
8,dec,1000,4200,6.342224577,0.006342224577,0,0,0.9986785945,0
9,back,999,4189,6.341042366,0.006341042366,0,0,0.9986785945,1
10,dec,1000,4200,6.342147689,0.006342147689,0,0,0.9986785945,0
11,back,999,4189,6.340807952,0.006340807952,0,0,0.9986785945,1
12,dec,1000,4200,6.342175171,0.006342175171,0,0,0.9986785945,0
13,back,999,4189,6.340969547,0.006340969547,0,0,0.9986785945,1
14,dec,1000,4200,6.34218496,0.00634218496,0,0,0.9986785945,0
15,back,999,4189,6.340911773,0.006340911773,0,0,0.9986785945,1
16,dec,1000,4200,6.342149433,0.006342149433,0,0,0.9986785945,0
17,dec,999,4189,6.340911509,0.006340911509,0,0,0.9986785945,1
18,back,998,4184,6.339878055,0.006339878055,1,0,0.9980116773,2
19,dec,999,4189,6.340926222,0.006340926222,1,0,0.9980116773,1
20,back,998,4184,6.33986405,0.00633986405,1,0,0.9980116773,2
21,dec,999,4189,6.34092846,0.00634092846,1,0,0.9980116773,1
22,back,998,4184,6.339861018,0.006339861018,1,0,0.9980116773,2
23,dec,999,4189,6.340919024,0.006340919024,1,0,0.9980116773,1
24,back,998,4184,6.339869506,0.006339869506,1,0,0.9980116773,2
25,dec,999,4189,6.340916383,0.006340916383,1,0,0.9980116773,1
26,back,998,4184,6.339866766,0.006339866766,1,0,0.9980116773,2
27,dec,999,4189,6.340920741,0.006340920741,1,0,0.9980116773,1
28,back,998,4184,6.339866083,0.006339866083,1,0,0.9980116773,2
29,dec,999,4189,6.340918811,0.006340918811,1,0,0.9980116773,1
30,back,998,4184,6.339868749,0.006339868749,1,0,0.9980116773,2
31,dec,999,4189,6.340918803,0.006340918803,1,0,0.9980116773,1
32,back,998,4184,6.339868727,0.006339868727,1,0,0.9980116773,2
33,dec,999,4189,6.34091996,0.00634091996,1,0,0.9980116773,1
34,back,998,4184,6.339868039,0.006339868039,1,0,0.9980116773,2
35,dec,999,4189,6.340919371,0.006340919371,1,0,0.9980116773,1
36,dec,998,4184,6.339868671,0.006339868671,1,0,0.9980116773,2
37,back,997,4175,6.339831175,0.006339831175,1,0,0.9972806261,3
38,dec,998,4184,6.339867552,0.006339867552,1,0,0.9972806261,2
39,back,997,4175,6.339831063,0.006339831063,1,0,0.9972806261,3
40,dec,998,4184,6.339867739,0.006339867739,1,0,0.9972806261,2
41,back,997,4175,6.339831302,0.006339831302,1,0,0.9972806142,3
42,dec,998,4184,6.339867864,0.006339867864,1,0,0.9972806142,2
43,back,997,4175,6.339831178,0.006339831178,1,0,0.9972802567,3
44,dec,998,4184,6.339867768,0.006339867768,1,0,0.9972802567,2
45,back,997,4175,6.339831215,0.006339831215,1,0,0.9972800186,3
46,dec,998,4184,6.339867725,0.006339867725,1,0,0.9972800186,2
47,back,997,4175,6.33983121,0.00633983121,1,0,0.9972800186,3
48,dec,998,4184,6.339867728,0.006339867728,1,0,0.9972800186,2
