# scorer=pol K=3 N=1000 M=4200 seed=1 r=0.9 theta=0 veto=0 dynamic_I_backtrack=0 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed
0,dec,1000,4200,6.342138618,0.006342138618,75,0,1,0
1,back,999,4189,6.340949763,0.006340949763,0,0,0.9957146649,1
2,dec,1000,4200,6.342208845,0.006342208845,0,0,0.9957146649,0
3,back,999,4189,6.340738607,0.006340738607,0,0,0.9956320451,1
4,dec,1000,4200,6.34203586,0.00634203586,0,0,0.9956320451,0
5,back,999,4189,6.340925912,0.006340925912,0,0,0.995598354,1
6,dec,1000,4200,6.342311227,0.006342311227,0,0,0.995598354,0
7,back,999,4189,6.340865797,0.006340865797,0,0,0.995598354,1
8,dec,1000,4200,6.342224577,0.006342224577,0,0,0.995598354,0
9,back,999,4189,6.341042366,0.006341042366,0,0,0.995598354,1
10,dec,1000,4200,6.342147689,0.006342147689,0,0,0.995598354,0
11,back,999,4189,6.340807952,0.006340807952,0,0,0.995598354,1
12,dec,1000,4200,6.342175171,0.006342175171,0,0,0.995598354,0
13,back,999,4189,6.340969547,0.006340969547,0,0,0.995598354,1
14,dec,1000,4200,6.34218496,0.00634218496,0,0,0.995598354,0
15,back,999,4189,6.340911773,0.006340911773,0,0,0.995598354,1
16,dec,1000,4200,6.342149433,0.006342149433,0,0,0.995598354,0
17,dec,999,4189,6.340911509,0.006340911509,0,0,0.995598354,1
18,back,998,4181,6.335686677,0.006335686677,0,0,0.9827776201,2
19,dec,999,4189,6.340917123,0.006340917123,0,0,0.9827776201,1
20,back,998,4181,6.335696317,0.006335696317,0,0,0.9827438335,2
21,dec,999,4189,6.340891038,0.006340891038,0,0,0.9827438335,1
22,back,998,4181,6.335664997,0.006335664997,0,0,0.9826885149,2
23,dec,999,4189,6.340832789,0.006340832789,0,0,0.9826885149,1
24,back,998,4181,6.335637548,0.006335637548,0,0,0.9826885149,2
25,dec,999,4189,6.340860451,0.006340860451,0,0,0.9826885149,1
26,back,998,4181,6.335672366,0.006335672366,0,0,0.9826885149,2
27,dec,999,4189,6.340869909,0.006340869909,0,0,0.9826885149,1
28,back,998,4181,6.335681399,0.006335681399,0,0,0.9826885149,2
29,dec,999,4189,6.340921881,0.006340921881,0,0,0.9826885149,1
30,back,998,4181,6.335720787,0.006335720787,0,0,0.982680165,2
31,dec,999,4189,6.340959922,0.006340959922,1,0,0.982680165,1
32,back,998,4181,6.335772729,0.006335772729,0,0,0.982680165,2
33,dec,999,4189,6.341012993,0.006341012993,0,0,0.982680165,1
34,back,998,4181,6.335750532,0.006335750532,0,0,0.982680165,2
35,dec,999,4189,6.340879654,0.006340879654,0,0,0.982680165,1
36,dec,998,4181,6.335614227,0.006335614227,0,0,0.982680165,2
37,back,997,4170,6.32881808,0.00632881808,0,0,0.981601875,3
38,dec,998,4181,6.335636176,0.006335636176,0,0,0.981601875,2
39,back,997,4170,6.328876923,0.006328876923,0,0,0.981601875,3
40,dec,998,4181,6.335646746,0.006335646746,0,0,0.981601875,2
41,back,997,4170,6.328873074,0.006328873074,0,0,0.981601875,3
42,dec,998,4181,6.335602811,0.006335602811,0,0,0.981601875,2
