# scorer=cert K=3 N=1000 M=4200 seed=16 r=0.9 theta=0 veto=0 dynamic_I_backtrack=0 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed
0,dec,1000,4200,9.954467904,0.009954467904,60,0,1,0
1,back,999,4191,9.95479507,0.00995479507,0,0,1,1
2,dec,1000,4200,9.954137762,0.009954137762,0,0,1,0
3,back,999,4191,9.954353337,0.009954353337,0,0,1,1
4,dec,1000,4200,9.954314283,0.009954314283,0,0,1,0
5,back,999,4191,9.954181763,0.009954181763,0,0,1,1
6,dec,1000,4200,9.954176714,0.009954176714,0,0,1,0
7,back,999,4191,9.954357236,0.009954357236,0,0,1,1
8,dec,1000,4200,9.954214521,0.009954214521,0,0,1,0
9,back,999,4191,9.954358066,0.009954358066,0,0,1,1
10,dec,1000,4200,9.954366538,0.009954366538,0,0,1,0
11,back,999,4191,9.954319648,0.009954319648,0,0,1,1
12,dec,1000,4200,9.954311987,0.009954311987,0,0,1,0
13,back,999,4191,9.954326922,0.009954326922,0,0,1,1
14,dec,1000,4200,9.954275004,0.009954275004,0,0,1,0
15,back,999,4191,9.954260909,0.009954260909,0,0,1,1
16,dec,1000,4200,9.954300053,0.009954300053,0,0,1,0
17,dec,999,4191,9.954276291,0.009954276291,0,0,1,1
18,back,998,4182,9.954242399,0.009954242399,1,0,0.999941613,2
19,dec,999,4191,9.954297906,0.009954297906,1,0,0.999941613,1
20,back,998,4182,9.954239521,0.009954239521,1,0,0.9999415858,2
21,dec,999,4191,9.954296938,0.009954296938,1,0,0.9999415858,1
22,back,998,4182,9.95423661,0.00995423661,1,0,0.9999415858,2
23,dec,999,4191,9.954295571,0.009954295571,1,0,0.9999415858,1
24,back,998,4182,9.954238207,0.009954238207,1,0,0.9999415858,2
25,dec,999,4191,9.954297278,0.009954297278,1,0,0.9999415858,1
26,back,998,4182,9.954237392,0.009954237392,1,0,0.9999415858,2
27,dec,999,4191,9.954295481,0.009954295481,1,0,0.9999415858,1
28,back,998,4182,9.954237679,0.009954237679,1,0,0.9999415858,2
29,dec,999,4191,9.95429583,0.00995429583,1,0,0.9999415858,1
30,back,998,4182,9.954237781,0.009954237781,1,0,0.9999415858,2
31,dec,999,4191,9.954296089,0.009954296089,1,0,0.9999415858,1
32,back,998,4182,9.9542376,0.0099542376,1,0,0.9999415858,2
33,dec,999,4191,9.954295906,0.009954295906,1,0,0.9999415858,1
34,back,998,4182,9.954237652,0.009954237652,1,0,0.9999415858,2
35,dec,999,4191,9.954295952,0.009954295952,1,0,0.9999415858,1
36,dec,998,4182,9.954237674,0.009954237674,1,0,0.9999415858,2
37,back,997,4177,9.953403882,0.009953403882,1,0,0.999166221,3
38,dec,998,4182,9.954237506,0.009954237506,1,0,0.999166221,2
39,back,997,4177,9.95340431,0.00995340431,1,0,0.999166221,3
40,dec,998,4182,9.954237758,0.009954237758,1,0,0.999166221,2
41,back,997,4177,9.953404393,0.009953404393,1,0,0.999166221,3
42,dec,998,4182,9.95423762,0.00995423762,1,0,0.999166221,2
43,back,997,4177,9.953404435,0.009953404435,1,0,0.999166221,3
44,dec,998,4182,9.954237596,0.009954237596,1,0,0.999166221,2
45,back,997,4177,9.953404458,0.009953404458,1,0,0.999166221,3
46,dec,998,4182,9.954237667,0.009954237667,1,0,0.999166221,2
47,back,997,4177,9.953404403,0.009953404403,1,0,0.999166221,3
48,dec,998,4182,9.954237606,0.009954237606,1,0,0.999166221,2
49,back,997,4177,9.953404286,0.009953404286,1,0,0.999166221,3
50,dec,998,4182,9.95423761,0.00995423761,1,0,0.999166221,2
51,back,997,4177,9.953404265,0.009953404265,1,0,0.999166221,3
52,dec,998,4182,9.954237627,0.009954237627,1,0,0.999166221,2
53,back,997,4177,9.953404256,0.009953404256,1,0,0.999166221,3
54,dec,998,4182,9.95423762,0.00995423762,1,0,0.999166221,2
55,dec,997,4177,9.95340424,0.00995340424,1,0,0.999166221,3
56,back,996,4170,9.952542082,0.009952542082,1,0,0.9991378644,4
57,dec,997,4177,9.953403973,0.009953403973,1,0,0.9991378644,3
58,back,996,4170,9.952542319,0.009952542319,1,0,0.9991378644,4
59,dec,997,4177,9.953404088,0.009953404088,1,0,0.9991378644,3
60,back,996,4170,9.952542013,0.009952542013,1,0,0.9991378644,4
61,dec,997,4177,9.953403526,0.009953403526,1,0,0.9991378644,3
62,back,996,4170,9.952541765,0.009952541765,1,0,0.9991378644,4
63,dec,997,4177,9.95340349,0.00995340349,1,0,0.9991378644,3
64,back,996,4170,9.952541616,0.009952541616,1,0,0.9991378644,4
65,dec,997,4177,9.95340357,0.00995340357,1,0,0.9991378644,3
66,back,996,4170,9.952541612,0.009952541612,1,0,0.9991378644,4
67,dec,997,4177,9.953403537,0.009953403537,1,0,0.9991378644,3
68,back,996,4170,9.95254149,0.00995254149,1,0,0.9991378644,4
69,dec,997,4177,9.953403495,0.009953403495,1,0,0.9991378644,3
70,back,996,4170,9.952541466,0.009952541466,1,0,0.9991378644,4
71,dec,997,4177,9.953403496,0.009953403496,1,0,0.9991378644,3
72,back,996,4170,9.952541487,0.009952541487,1,0,0.9991378644,4
73,dec,997,4177,9.953403507,0.009953403507,1,0,0.9991378644,3
74,dec,996,4170,9.952541499,0.009952541499,1,0,0.9991378644,4
75,back,995,4166,9.95149561,0.00995149561,1,0,0.9989548108,5
76,dec,996,4170,9.952541607,0.009952541607,1,0,0.9989548108,4
77,back,995,4166,9.95149592,0.00995149592,1,0,0.9989545228,5
78,dec,996,4170,9.95254151,0.00995254151,1,0,0.9989545228,4
79,back,995,4166,9.95149554,0.00995149554,1,0,0.9989545228,5
80,dec,996,4170,9.952541381,0.009952541381,1,0,0.9989545228,4
81,back,995,4166,9.951495637,0.009951495637,1,0,0.9989545228,5
82,dec,996,4170,9.952541543,0.009952541543,1,0,0.9989545228,4
83,back,995,4166,9.951495433,0.009951495433,1,0,0.9989545228,5
84,dec,996,4170,9.95254136,0.00995254136,1,0,0.9989545228,4
85,back,995,4166,9.951495262,0.009951495262,1,0,0.9989545135,5
86,dec,996,4170,9.952541313,0.009952541313,1,0,0.9989545135,4
87,back,995,4166,9.951495184,0.009951495184,1,0,0.9989544438,5
88,dec,996,4170,9.952541232,0.009952541232,1,0,0.9989544438,4
89,back,995,4166,9.951495179,0.009951495179,1,0,0.9989544238,5
90,dec,996,4170,9.952541238,0.009952541238,1,0,0.9989544238,4
91,back,995,4166,9.951495204,0.009951495204,1,0,0.9989544238,5
92,dec,996,4170,9.952541263,0.009952541263,1,0,0.9989544238,4
93,dec,995,4166,9.951495207,0.009951495207,1,0,0.9989544238,5
94,back,994,4159,9.950104974,0.009950104974,1,0,0.998609731,6
95,dec,995,4166,9.951496716,0.009951496716,1,0,0.998609731,5
96,back,994,4159,9.95010619,0.00995010619,1,0,0.998609731,6
97,dec,995,4166,9.951496677,0.009951496677,1,0,0.998609731,5
98,back,994,4159,9.950105086,0.009950105086,1,0,0.9986097237,6
99,dec,995,4166,9.951496629,0.009951496629,1,0,0.9986097237,5
100,back,994,4159,9.950105371,0.009950105371,1,0,0.9986084631,6
101,dec,995,4166,9.95149663,0.00995149663,1,0,0.9986084631,5
102,back,994,4159,9.950104951,0.009950104951,1,0,0.9986084631,6
103,dec,995,4166,9.951496144,0.009951496144,1,0,0.9986084631,5
104,back,994,4159,9.950104659,0.009950104659,1,0,0.9986084631,6
105,dec,995,4166,9.95149591,0.00995149591,1,0,0.9986084631,5
106,back,994,4159,9.950104636,0.009950104636,1,0,0.9986084631,6
107,dec,995,4166,9.95149583,0.00995149583,1,0,0.9986084631,5
108,back,994,4159,9.950104515,0.009950104515,1,0,0.9986084631,6
109,dec,995,4166,9.951495766,0.009951495766,1,0,0.9986084631,5
110,back,994,4159,9.950104458,0.009950104458,1,0,0.9986084631,6
111,dec,995,4166,9.951495769,0.009951495769,1,0,0.9986084631,5
112,dec,994,4159,9.950104444,0.009950104444,1,0,0.9986084631,6
113,back,993,4150,9.947956172,0.009947956172,1,0,0.99785626,7
114,dec,994,4159,9.950103526,0.009950103526,1,0,0.99785626,6
115,back,993,4150,9.947956906,0.009947956906,1,0,0.9978531242,7
116,dec,994,4159,9.950104086,0.009950104086,1,0,0.9978531242,6
117,back,993,4150,9.947956713,0.009947956713,1,0,0.9978531242,7
118,dec,994,4159,9.950102246,0.009950102246,1,0,0.9978531242,6
119,back,993,4150,9.947955899,0.009947955899,1,0,0.9978531242,7
120,dec,994,4159,9.950102565,0.009950102565,1,0,0.9978531242,6
