# scorer=cert K=3 N=1000 M=4200 seed=8 r=0.9 theta=0 veto=0 dynamic_I_backtrack=1 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed
0,dec,1000,4200,1.071763958,0.001071763958,87,0,1,0
1,back,999,4192,1.073420046,0.001073420046,2,0,1,1
2,dec,1000,4200,1.072720886,0.001072720886,0,0,1,0
3,back,999,4192,1.072217238,0.001072217238,0,0,1,1
4,dec,1000,4200,1.073386503,0.001073386503,0,0,1,0
5,back,999,4192,1.072419854,0.001072419854,0,0,1,1
6,dec,1000,4200,1.072981613,0.001072981613,0,0,1,0
7,back,999,4192,1.07287955,0.00107287955,0,0,1,1
8,dec,1000,4200,1.072413386,0.001072413386,0,0,1,0
9,back,999,4192,1.073052732,0.001073052732,0,0,1,1
10,dec,1000,4200,1.072475621,0.001072475621,0,0,1,0
11,back,999,4192,1.07285487,0.00107285487,0,0,1,1
12,dec,1000,4200,1.072745078,0.001072745078,0,0,1,0
13,back,999,4192,1.072671188,0.001072671188,0,0,1,1
14,dec,1000,4200,1.072899069,0.001072899069,0,0,1,0
15,back,999,4192,1.072671726,0.001072671726,0,0,1,1
16,dec,1000,4200,1.072824547,0.001072824547,0,0,1,0
17,dec,999,4192,1.072767942,0.001072767942,0,0,1,1
18,back,998,4184,1.07268781,0.00107268781,0,0,1,2
19,dec,999,4192,1.072862081,0.001072862081,0,0,1,1
20,back,998,4184,1.072695755,0.001072695755,0,0,1,2
21,dec,999,4192,1.072804031,0.001072804031,0,0,1,1
22,back,998,4184,1.07277218,0.00107277218,0,0,1,2
23,dec,999,4192,1.072714089,0.001072714089,0,0,1,1
24,back,998,4184,1.072793199,0.001072793199,0,0,1,2
25,dec,999,4192,1.072733955,0.001072733955,0,0,1,1
26,back,998,4184,1.072755416,0.001072755416,0,0,1,2
27,dec,999,4192,1.072786295,0.001072786295,0,0,1,1
28,back,998,4184,1.072730031,0.001072730031,0,0,1,2
29,dec,999,4192,1.072776548,0.001072776548,0,0,1,1
30,back,998,4184,1.07275937,0.00107275937,0,0,1,2
31,dec,999,4192,1.072751878,0.001072751878,0,0,1,1
32,back,998,4184,1.072779822,0.001072779822,0,0,1,2
33,dec,999,4192,1.072748162,0.001072748162,0,0,1,1
34,back,998,4184,1.072765405,0.001072765405,0,0,1,2
35,dec,999,4192,1.072762073,0.001072762073,0,0,1,1
36,dec,998,4184,1.072749995,0.001072749995,0,0,1,2
37,back,997,4176,1.072759375,0.001072759375,0,0,0.9999856427,3
38,dec,998,4184,1.072749883,0.001072749883,0,0,0.9999856427,2
39,back,997,4176,1.072750736,0.001072750736,0,0,0.9999856137,3
40,dec,998,4184,1.072761696,0.001072761696,0,0,0.9999856137,2
41,back,997,4176,1.072739118,0.001072739118,0,0,0.9999855974,3
42,dec,998,4184,1.072771047,0.001072771047,0,0,0.9999855974,2
43,back,997,4176,1.072737193,0.001072737193,0,0,0.9999855974,3
44,dec,998,4184,1.072764428,0.001072764428,0,0,0.9999855974,2
45,back,997,4176,1.072747912,0.001072747912,0,0,0.9999855756,3
46,dec,998,4184,1.072754478,0.001072754478,0,0,0.9999855756,2
47,back,997,4176,1.072754324,0.001072754324,0,0,0.9999855756,3
48,dec,998,4184,1.072754496,0.001072754496,0,0,0.9999855756,2
49,back,997,4176,1.072748344,0.001072748344,0,0,0.9999855756,3
50,dec,998,4184,1.072761799,0.001072761799,0,0,0.9999855756,2
51,back,997,4176,1.072741442,0.001072741442,0,0,0.9999855756,3
52,dec,998,4184,1.072765317,0.001072765317,0,0,0.9999855756,2
53,back,997,4176,1.072742443,0.001072742443,0,0,0.9999855756,3
54,dec,998,4184,1.072761949,0.001072761949,0,0,0.9999855756,2
55,dec,997,4176,1.072747085,0.001072747085,0,0,0.9999855756,3
56,back,996,4166,1.072120424,0.001072120424,1,0,0.9993718857,4
57,dec,997,4176,1.072746665,0.001072746665,1,0,0.9993718857,3
58,back,996,4166,1.072115937,0.001072115937,1,0,0.9993718857,4
59,dec,997,4176,1.07274481,0.00107274481,1,0,0.9993718857,3
60,back,996,4166,1.072118254,0.001072118254,1,0,0.9993718857,4
61,dec,997,4176,1.072747748,0.001072747748,1,0,0.9993718857,3
62,back,996,4166,1.072118131,0.001072118131,1,0,0.9993717347,4
63,dec,997,4176,1.072745383,0.001072745383,1,0,0.9993717347,3
64,back,996,4166,1.072116822,0.001072116822,1,0,0.9993717347,4
65,dec,997,4176,1.072745748,0.001072745748,1,0,0.9993717347,3
66,back,996,4166,1.072117356,0.001072117356,1,0,0.9993717347,4
67,dec,997,4176,1.072745375,0.001072745375,1,0,0.9993717347,3
68,back,996,4166,1.072116615,0.001072116615,1,0,0.9993717347,4
69,dec,997,4176,1.072745226,0.001072745226,1,0,0.9993717347,3
70,back,996,4166,1.072116886,0.001072116886,1,0,0.9993717046,4
71,dec,997,4176,1.072745431,0.001072745431,1,0,0.9993717046,3
72,back,996,4166,1.072116689,0.001072116689,1,0,0.9993716986,4
73,dec,997,4176,1.072745046,0.001072745046,1,0,0.9993716986,3
74,dec,996,4166,1.072116468,0.001072116468,1,0,0.9993716986,4
75,back,995,4156,1.071414302,0.001071414302,0,0,0.9992953921,5
76,dec,996,4166,1.072116635,0.001072116635,0,0,0.9992953921,4
77,back,995,4156,1.071414767,0.001071414767,0,0,0.9992953921,5
78,dec,996,4166,1.072116598,0.001072116598,0,0,0.9992953921,4
79,back,995,4156,1.071414835,0.001071414835,0,0,0.9992953921,5
80,dec,996,4166,1.072116998,0.001072116998,0,0,0.9992953921,4
81,back,995,4156,1.071414916,0.001071414916,0,0,0.9992953921,5
82,dec,996,4166,1.07211752,0.00107211752,0,0,0.9992953921,4
83,back,995,4156,1.071414647,0.001071414647,0,0,0.9992953921,5
84,dec,996,4166,1.072117561,0.001072117561,0,0,0.9992953921,4
85,back,995,4156,1.07141435,0.00107141435,0,0,0.9992953921,5
86,dec,996,4166,1.07211801,0.00107211801,0,0,0.9992953921,4
87,back,995,4156,1.071414535,0.001071414535,0,0,0.9992953921,5
88,dec,996,4166,1.072117873,0.001072117873,0,0,0.9992953921,4
89,back,995,4156,1.071414271,0.001071414271,0,0,0.9992953921,5
90,dec,996,4166,1.072118088,0.001072118088,0,0,0.9992953921,4
91,back,995,4156,1.071414148,0.001071414148,0,0,0.9992953921,5
92,dec,996,4166,1.072118141,0.001072118141,0,0,0.9992953921,4
93,dec,995,4156,1.071414199,0.001071414199,0,0,0.9992953921,5
94,back,994,4148,1.070541485,0.001070541485,1,0,0.999126102,6
95,dec,995,4156,1.071413261,0.001071413261,1,0,0.999126102,5
96,back,994,4148,1.070540883,0.001070540883,1,0,0.999126102,6
97,dec,995,4156,1.071413227,0.001071413227,1,0,0.999126102,5
