# scorer=pol K=3 N=1000 M=4200 seed=10 r=0.9 theta=0 veto=0 dynamic_I_backtrack=0 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed
0,dec,1000,4200,10.40496695,0.01040496695,57,0,1,0
1,back,999,4189,10.40067308,0.01040067308,0,0,0.9888783447,1
2,dec,1000,4200,10.40475714,0.01040475714,0,0,0.9888783447,0
3,back,999,4189,10.40074008,0.01040074008,0,0,0.9888783447,1
4,dec,1000,4200,10.40506644,0.01040506644,0,0,0.9888783447,0
5,back,999,4189,10.40047925,0.01040047925,0,0,0.9888576223,1
6,dec,1000,4200,10.4049324,0.0104049324,0,0,0.9888576223,0
7,back,999,4189,10.40059025,0.01040059025,0,0,0.9888576223,1
8,dec,1000,4200,10.40493572,0.01040493572,0,0,0.9888576223,0
9,back,999,4189,10.4005841,0.0104005841,0,0,0.9888576223,1
10,dec,1000,4200,10.40487477,0.01040487477,0,0,0.9888576223,0
11,back,999,4189,10.4006299,0.0104006299,0,0,0.9888576223,1
12,dec,1000,4200,10.40491833,0.01040491833,0,0,0.9888576223,0
13,back,999,4189,10.4006213,0.0104006213,0,0,0.9888576223,1
14,dec,1000,4200,10.40487614,0.01040487614,0,0,0.9888576223,0
15,back,999,4189,10.40062973,0.01040062973,0,0,0.9888576223,1
16,dec,1000,4200,10.40491453,0.01040491453,0,0,0.9888576223,0
17,dec,999,4189,10.40063485,0.01040063485,0,0,0.9888576223,1
18,back,998,4177,10.39423937,0.01039423937,0,0,0.9836589172,2
19,dec,999,4189,10.40062471,0.01040062471,0,0,0.9836589172,1
20,back,998,4177,10.39427075,0.01039427075,0,0,0.9836015659,2
21,dec,999,4189,10.40061479,0.01040061479,0,0,0.9836015659,1
22,back,998,4177,10.39424535,0.01039424535,0,0,0.9836015659,2
23,dec,999,4189,10.40061476,0.01040061476,0,0,0.9836015659,1
24,back,998,4177,10.39425206,0.01039425206,0,0,0.9836015659,2
25,dec,999,4189,10.40062807,0.01040062807,0,0,0.9836015659,1
26,back,998,4177,10.39425764,0.01039425764,0,0,0.9836015659,2
27,dec,999,4189,10.40063791,0.01040063791,0,0,0.9836015659,1
28,back,998,4177,10.39426177,0.01039426177,0,0,0.9836015659,2
29,dec,999,4189,10.4006424,0.0104006424,0,0,0.9836015659,1
30,back,998,4177,10.39426137,0.01039426137,0,0,0.9836015659,2
31,dec,999,4189,10.40063612,0.01040063612,0,0,0.9836015659,1
32,back,998,4177,10.39425464,0.01039425464,0,0,0.9836015659,2
33,dec,999,4189,10.40063371,0.01040063371,0,0,0.9836015659,1
34,back,998,4177,10.39424823,0.01039424823,0,0,0.9836015659,2
35,dec,999,4189,10.40062809,0.01040062809,0,0,0.9836015659,1
36,dec,998,4177,10.39424452,0.01039424452,0,0,0.9836015659,2
37,back,997,4166,10.39189327,0.01039189327,1,0,0.9799627421,3
38,dec,998,4177,10.39423638,0.01039423638,0,0,0.9799627421,2
39,back,997,4166,10.39190692,0.01039190692,0,0,0.9798876716,3
40,dec,998,4177,10.39424411,0.01039424411,0,0,0.9798876716,2
41,back,997,4166,10.39190403,0.01039190403,0,0,0.9798876716,3
42,dec,998,4177,10.39423942,0.01039423942,0,0,0.9798876716,2
43,back,997,4166,10.39189924,0.01039189924,0,0,0.9798876716,3
44,dec,998,4177,10.3942385,0.0103942385,0,0,0.9798876716,2
45,back,997,4166,10.39189948,0.01039189948,0,0,0.9798876716,3
46,dec,998,4177,10.39423532,0.01039423532,0,0,0.9798876716,2
47,back,997,4166,10.39190014,0.01039190014,1,0,0.9798876716,3
48,dec,998,4177,10.39423622,0.01039423622,0,0,0.9798876716,2
49,back,997,4166,10.39190823,0.01039190823,0,0,0.9798876716,3
50,dec,998,4177,10.39424054,0.01039424054,0,0,0.9798876716,2
51,back,997,4166,10.39190388,0.01039190388,0,0,0.9798876716,3
52,dec,998,4177,10.39423553,0.01039423553,0,0,0.9798876716,2
