config	seed	status	returncode	steps	sigma_initial	sigma_final	max_drop	terminal_drop	max_drop_preterminal	mean_drop	mean_abs_delta	mean_abs_delta_preterminal	auc_sigma	auc_per_step	max_fixed	fixed_frontier_max_drop	fixed_frontier_mean_drop	fixed_frontier_roughness	fixed_frontier_auc	fixed_frontier_auc_per_level	eta_mean	wall_seconds
cert	6	sat	0	8275	9.344595546	0.0	2.892588134138866	7.913943945e-10	2.892588134138866	0.0011292562593353476	0.014669662596012082	0.014671435579067995	53524.348810994656	6.468199252083946	518	0.12011307300000018	0.012455944637065638	0.013480383216216208	3186.0216967445	6.150621036186293	2.914330594490092	9.069699317000413
cert	7	sat	0	6432	8.832795293	0.0	5.816980939999152	0.0	5.816980939999152	0.0013732579746579601	0.00936517360090172	0.00936662985554344	50249.1014284875	7.812360296717584	364	0.027528699999999517	0.007769627346153846	0.007889104269230772	2832.91956739	7.782746064258242	2.1204725633452512	5.825527341999987
cert	8	sp-nonconvergence	255	4166	1.071763958	-1.933870888	0.02161949299999999	0.0	0.02161949299999999	0.000721467797887662	0.013755775823831496	0.013755775823831496	-570.41164958602	-0.13692070321315888	229	0.0194432175	0.013120440262008735	0.013200581882969435	-36.262771121194	-0.15835271231962444	2.3954883609311257	4.8538377069999115
cert	9	sp-nonconvergence	255	2824	2.580960305	1.363835756	0.01171817900000005	0.0	0.01171817900000005	0.00043099311225212465	0.008123954056303123	0.008123954056303123	5831.2695106435	2.0648971354969903	157	0.01161287100000008	0.007810188101910827	0.007853381579617826	321.656788152	2.0487693512866243	1.7734513274336283	2.9582852969997475
cert	10	sat	0	7272	10.40496695	0.0	4.714713001981043	-6.76125822e-14	4.714713001981043	0.001430826038228823	0.015659508147689793	0.01566166184156239	57096.06649473602	7.851494292455448	418	0.021521534000000564	0.01325405653110048	0.013786883387559819	3244.120947635	7.761054898648325	2.851643063385123	7.236419164000836
cert	11	sp-nonconvergence	255	3357	4.423371311	1.688610585	0.029381016999999954	0.0	0.029381016999999954	0.0008146442436699435	0.01543938597378612	0.01543938597378612	10478.207020438	3.1213008699547213	217	0.027143275999999883	0.012599673364055302	0.01378787408294931	631.282014559	2.9091337076451613	2.4383561643835616	3.9754665229993407
cert	12	sp-nonconvergence	255	8344	8.521444757	0.5285509111	0.026796538000000147	0.0	0.026796538000000147	0.0009579211224712367	0.016452130692964997	0.016452130692964997	40608.46786817545	4.866786657259762	694	0.025321088000000103	0.011517545615129682	0.012548645839625368	2511.5356978184	3.618927518470317	2.992091072498502	7.416791053999987
cert	13	sat	0	8303	7.335085908	0.0	3.1521913973874898	5.330957897e-12	3.1521913973874898	0.0008834259795254727	0.010200285259062991	0.010201513913032364	46488.88091168862	5.599046237707891	475	3.305461010994669	0.015442850774725618	0.01630314997051509	2623.040573230003	5.522190680484217	2.741690751445087	7.326011736999135
cert	14	sat	0	8788	8.351883772	0.0	1.755309763671558	3.888334099e-12	1.755309763671558	0.0009503736654528904	0.013136787661811561	0.013138282687151032	41025.688592157334	4.66837603461053	603	0.9039728304980559	0.013850553519064862	0.014868563220557402	2679.016334074504	4.4428131576691605	3.1364205256570714	6.765168951000305
cert	15	walksat-fail	0	11436	5.995062165	0.0	0.8394038422447183	-1.498801083e-14	0.8394038422447183	0.0005242271917628541	0.008927100323137463	0.00892788100528203	40524.317058079054	3.543574419209431	738	0.31586547023333333	0.008123981177506776	0.009242177258807592	2473.8843724312	3.352146846112737	3.083238611524001	80.38682768400031
cert	16	sp-nonconvergence	255	11266	9.954467904	0.06386834897	0.026704643560000005	0.0	0.026704643560000005	0.000877915813512338	0.014950533738216754	0.014950533738216754	55404.47557573188	4.917848000686302	916	0.022468087000000025	0.010797597767499998	0.012253960988351523	3637.168795811855	3.970708292371021	3.983757876985888	7.710699661000035
cert	17	sp-nonconvergence	255	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.22597086899986607
cert	18	sp-nonconvergence	255	3338	7.49334327	4.408482204	0.026889794999999772	0.0	0.026889794999999772	0.0009241644895146792	0.017527531641701618	0.017527531641701618	20753.816332615	6.217440483108148	192	0.02571153499999923	0.016067344244791667	0.016358413140625014	1178.6428483525	6.138764835169272	2.885893980233603	4.286227112999768
cert	19	sp-nonconvergence	255	6923	8.514849122	3.355133227	0.022149111999999693	0.0	0.022149111999999693	0.0007453005770619673	0.014874857423804707	0.014874857423804707	43083.6050483625	6.223256543169508	385	0.021505926999999758	0.013403377774025976	0.014018157566233754	2376.4845340435	6.172687101411688	2.7755632582322356	7.386381132999304
cert	20	sat	0	7334	4.999950191	0.0	2.63514998675522	-6.672440378e-14	2.63514998675522	0.0006817494124625034	0.006705089805972207	0.00670600417796265	27829.887254209745	3.7946396583323896	452	2.6897632950000667	0.011065295800885102	0.011874623327433774	1696.992769537	3.754408782161504	2.1119291070211315	6.032416252000985
pol	6	sat	0	6728	9.344595546	0.0	3.0347299202686244	6.731375357e-09	3.0347299202686244	0.0013889113475029728	0.0165526161578478	0.016555076780625632	42674.84268133773	6.3428719799848	385	0.09065626599999987	0.016340270051948054	0.017108676623376628	2407.332999705	6.252812986246753	2.877099123198098	7.5626145669994
pol	7	sat	0	4612	8.832795293	0.0	6.058423448873418	1.265825222e-10	6.058423448873418	0.001915176776452732	0.01151158635060709	0.011514082899343595	36512.12434702562	7.916765903518131	254	0.05595112300000071	0.010227616783464568	0.010477701232283464	2006.2004909065	7.898427129553149	2.062865814003902	4.497625713000161
pol	8	sp-nonconvergence	255	3383	1.071763958	-1.892646726	0.04004567800000003	0.0	0.04004567800000003	0.0008762668294413242	0.014396547083356784	0.014396547083356784	-526.521173227973	-0.1556373553733293	186	0.08649227500000012	0.015929358193548387	0.016063995195698923	-32.674519974735	-0.17566946222975804	2.6220449172576834	4.175881912000477
pol	9	sp-nonconvergence	255	2398	2.580960305	1.332637983	0.02013559999999992	0.0	0.02013559999999992	0.0005205681075896581	0.008292950006672229	0.008292950006672229	4889.790740953	2.0391120687877398	137	0.024160047999999712	0.009164417043795623	0.00916702381751825	276.1647750935	2.0158012780547443	1.747811588161734	2.5647326770013024
pol	10	sat	0	5218	10.40496695	0.0	5.153388862999892	1.07913678e-13	5.153388862999892	0.0019940526926025296	0.017566603981985427	0.017569971166954156	41805.488620529	8.011783944141243	289	0.09537580499999976	0.017684501346020762	0.01772842771280277	2304.0851410095	7.97261294466955	2.7072236060547996	5.846696468999653
pol	11	sp-nonconvergence	255	2183	4.423371311	2.157361608	0.044799253000000316	0.0	0.044799253000000316	0.0010380255167201102	0.01756851864177738	0.01756851864177738	7389.0371547055	3.3848085912530923	121	0.07150139400000022	0.018736184826446282	0.020208624611570254	404.794530009	3.3454093389173556	2.498168498168498	2.7682948149995354
pol	12	sp-nonconvergence	255	6098	8.521444757	1.278406949	0.05178165500000009	0.0	0.05178165500000009	0.0011877726808789766	0.01708334561102	0.01708334561102	32530.957056485	5.334692859377665	407	0.08133616599999982	0.01779678210810811	0.018904861061425065	1889.229268547	4.641840954660934	2.7470077061813414	6.753541092999512
pol	13	sat	0	7053	7.335085908	0.0	2.9714194590000242	0.0	2.9714194590000242	0.0010399951663122077	0.009962966895221904	0.009964379681225197	38127.666903819	5.405879328487027	396	0.0826067479999999	0.010875646593434343	0.01100380627525253	2124.6662581235	5.365318833645202	2.353274737737454	6.459827419999783
pol	14	sat	0	6778	8.351883772	0.0	1.805991097999944	-4.851674618e-14	1.805991097999944	0.0012322047465329006	0.014409159949542663	0.014411286135163069	32671.168847387	4.820178348685011	426	0.06609677600000019	0.015152698572769956	0.015703981600938968	1993.930770719	4.680588663659624	2.8051335005163005	6.721094808999624
pol	15	sat	0	7103	5.995062165	0.0	1.7431122829984949	-5.340172748e-14	1.7431122829984949	0.0008440183253554836	0.009479253613825157	0.009480588343987618	28570.2311557705	4.022276665601929	401	0.056676973999999714	0.010391696967581047	0.010428159840399	1609.815270144	4.014501920558604	2.498733108108108	6.754819579000468
pol	16	sat	0	7484	9.954467904	0.0	1.6086407109621021	-5.551115123e-14	1.6086407109621021	0.0013300999337252804	0.015922749677712466	0.015924877534144066	42790.232995699036	5.717561864737979	447	0.07366026999999953	0.018349231749440715	0.018604295467561524	2493.440411437	5.57816646853915	2.8847027388109554	6.90029354500075
pol	17	sp-nonconvergence	255	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.21281817999988561
pol	18	sp-nonconvergence	255	2383	7.49334327	4.829089967	0.04906114699999975	0.0	0.04906114699999975	0.0011180248858581618	0.018751165642887115	0.018751165642887115	15180.3391776955	6.370264027568401	134	0.06321965500000015	0.019956702283582085	0.020484177850746278	845.462146553	6.309419004126866	2.620805369127517	2.8892839280015323
pol	19	sp-nonconvergence	255	5364	8.514849122	3.500129533	0.06780361499999987	0.0	0.06780361499999987	0.0009348843379940342	0.016071733135906038	0.016071733135906038	32998.5967477855	6.1518636740838	289	0.0654194669999999	0.017400883678200696	0.017582951512110735	1775.2146852935	6.142611367797578	2.696551724137931	6.045307578000575
pol	20	sat	0	5438	4.999950191	0.0	2.689870080819999	0.0	2.689870080819999	0.0009194465228025009	0.007784167327142356	0.007785599029795868	20633.62272349168	3.7943403316461346	331	0.06841268400000011	0.0069838547673716014	0.00794775541389728	1253.262356854	3.786291108320242	2.155727155727156	5.369699353999749
dynI	6	sat	0	10412	9.344595546	0.0	2.7257416291221594	-1.598721155e-14	2.7257416291221594	0.0008974832449097196	0.014828506716673073	0.014829931028143313	62570.64267224688	6.009473940861207	549	2.876050893	0.017021434413479055	0.018880211998178503	3297.1399912475	6.005719474039162	3.218476903870162	10.806116247000318
dynI	7	sat	0	6922	8.832795293	0.0	5.847892255000049	-4.96269692e-14	5.847892255000049	0.0012760467051430222	0.009636883839497274	0.009638276251553257	53845.8399706795	7.778942497931162	365	0.046321284999999435	0.007814390063013698	0.008084538912328769	2839.1896341345	7.778601737354794	2.222302470027445	6.843598887000553
dynI	8	sp-nonconvergence	255	3906	1.071763958	-1.545273552	0.021272771999999884	0.0	0.021272771999999884	0.0006700044828469023	0.013587119106040964	0.013587119106040964	85.57638326847501	0.02190895628993216	206	0.019706076999999933	0.0126954998592233	0.012755567849514565	4.345738310017	0.021095817038917476	2.2339390836959305	4.955171719999271
